modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
IntervalRootFinding,slope,false,false,0,1,"Union{Interval{Float64}, Interval{BigFloat}}","var""#42#51"",Interval{BigFloat},BigFloat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/slopes.jl,6
IntervalRootFinding,iterate,true,true,0,1,"Union{Nothing, Tuple{BBTree{Root{IntervalBox{2,Float64}}},BBTree{Root{IntervalBox{2,Float64}}}}}","DepthFirstSearch{IntervalBox{2,Float64},Newton{IntervalRootFinding.var""#g#33""{var""#f#20""},IntervalRootFinding.var""#g_jac#34""{var""#19#21""}},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/branch_and_bound.jl,300
IntervalRootFinding,slope,true,true,0,1,Interval{BigFloat},"var""#43#52"",Interval{BigFloat},BigFloat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/slopes.jl,6
IntervalRootFinding,iterate,true,true,0,1,"Union{Nothing, Tuple{BBTree{Root{IntervalBox{3,Float64}}},BBTree{Root{IntervalBox{3,Float64}}}}}","DepthFirstSearch{IntervalBox{3,Float64},Newton{typeof(Main.SmileyExample52.f),IntervalRootFinding.var""#43#44""{typeof(Main.SmileyExample52.f)}},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/branch_and_bound.jl,300
IntervalRootFinding,𝒦,true,true,0,1,"SArray{Tuple{3},Interval{Float64},1,3}","typeof(Main.SmileyExample52.f),IntervalRootFinding.var""#43#44""{typeof(Main.SmileyExample52.f)},IntervalBox{3,Float64},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/contractors.jl,48
IntervalRootFinding,#newton1d#53,true,true,88,1,"Array{Root{Interval{Float64}},1}","Int64,Float64,Bool,Bool,typeof(newton1d),var""#f5#34"",var""#f5′#35"",Interval{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/newton1d.jl,6
IntervalRootFinding,bisect,true,true,0,1,"Tuple{Root{IntervalBox{2,Float64}},Root{IntervalBox{2,Float64}}}","DepthFirstSearch{IntervalBox{2,Float64},Krawczyk{IntervalRootFinding.var""#69#70""{var""#f#17""},IntervalRootFinding.var""#43#44""{IntervalRootFinding.var""#69#70""{var""#f#17""}}},Float64},Root{IntervalBox{2,Float64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/roots.jl,53
IntervalRootFinding,iterate,true,true,7,2,"Union{Nothing, Tuple{BBTree{Root{IntervalBox{2,Float64}}},BBTree{Root{IntervalBox{2,Float64}}}}}","DepthFirstSearch{IntervalBox{2,Float64},Newton{typeof(Main.SmileyExample22.f),IntervalRootFinding.var""#43#44""{typeof(Main.SmileyExample22.f)}},Float64},BBTree{Root{IntervalBox{2,Float64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/branch_and_bound.jl,300
IntervalRootFinding,#newton1d#53,true,true,88,1,"Array{Root{Interval{Float64}},1}","Float64,Float64,Bool,Bool,typeof(newton1d),typeof(sin),IntervalRootFinding.var""#55#56""{typeof(sin)},Interval{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalRootFinding/shhVj/src/newton1d.jl,6
IntervalArithmetic,iterate,true,true,0,1,"Tuple{Interval{Float64},Int64}","IntervalBox{3,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IntervalRootFinding/depot/packages/IntervalArithmetic/dhnJB/src/multidim/intervalbox.jl,32
