modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
DataFrames,istable,2,1.0,1.0,1,0,0,35,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/DataFrames/vQokV/src/other/tables.jl,1
DataFrames,_getcol,1,0.0,0.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/DataFrames/vQokV/src/abstractdataframe/sort.jl,71
StatsModels,degree,1,1.0,1.0,1,0,0,207,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/StatsModels/JZLpf/src/formula.jl,268
TimeSeries,find_dupes_index,1,1.0,1.0,1,0,0,138,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/TimeSeries/sehpz/src/utilities.jl,132
IterableTables,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/IterableTables/MvidQ/src/IterableTables.jl,1
DataFrames,fillfirst!,3,1.0,0.6666666666666666,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/DataFrames/vQokV/src/groupeddataframe/splitapplycombine.jl,131
DataFrames,_agg2idx_map_helper,1,1.0,1.0,1,0,0,471,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/DataFrames/vQokV/src/groupeddataframe/splitapplycombine.jl,185
StatsModels,missing_omit,2,0.0,0.0,2,0,1,404,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/StatsModels/JZLpf/src/modelframe.jl,54
StatsModels,is_call,2,1.0,1.0,1,0,0,35,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/StatsModels/JZLpf/src/formula.jl,16
DataFrames,getindex,3,1.0,0.6666666666666666,1,0,0,439,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/DataFrames/vQokV/src/dataframe/dataframe.jl,563
Dates,UTM,1,1.0,1.0,1,0,0,53,/build/source/usr/share/julia/stdlib/v1.5/Dates/src/types.jl,74
DataFrames,hashrows,33,0.7272727272727273,0.45454545454545453,2,0,1,463,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/DataFrames/vQokV/src/groupeddataframe/utils.jl,59
StatsModels,@formula,1,0.0,0.0,1,4,0,193,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/StatsModels/JZLpf/src/formula.jl,60
DataFrames,getindex,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/DataFrames/vQokV/src/other/index.jl,297
DataFrames,#ourshow#679,5,1.0,0.6,1,0,0,336,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/DataFrames/vQokV/src/abstractdataframe/show.jl,35
PrettyTables,_getdata,1,0.0,0.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/PrettyTables/Y5Fj5/src/tables.jl,120
StatsModels,collect_matrix_terms,2,0.0,0.0,1,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/StatsModels/JZLpf/src/terms.jl,290
StatsModels,drop_term,1,0.0,0.0,1,0,1,118,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/IterableTables/depot/packages/StatsModels/JZLpf/src/schema.jl,361
