modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
JSONTables,misselT,false,false,0,1,Type,"Type{Union{Nothing, T}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,18
JSONTables,missT,true,true,0,1,Type{Int64},Type{Int64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,36
JSONTables,misselT,true,true,0,1,"Type{Union{Missing, Float64}}","Type{Union{Nothing, Float64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,18
JSONTables,missT,true,true,0,1,Type{String},Type{String},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,36
JSONTables,jsontable,true,false,9,1,"JSONTables.Table{true,JSON3.Object{Base.CodeUnits{UInt8,String},Array{UInt64,1}}}","JSON3.Object{Base.CodeUnits{UInt8,String},Array{UInt64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,20
JSONTables,jsontable,true,false,18,1,"JSONTables.Table{false,JSON3.Array{JSON3.Object,Base.CodeUnits{UInt8,String},Array{UInt64,1}}}","JSON3.Array{JSON3.Object,Base.CodeUnits{UInt8,String},Array{UInt64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,38
JSONTables,misselT,true,true,0,1,"Type{Union{Missing, String}}","Type{Union{Nothing, String}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,18
JSONTables,miss,false,false,0,1,Any,Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,80
JSONTables,missT,true,true,0,1,Type{Float64},Type{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,36
JSONTables,arraytable,false,false,0,1,Any,"NamedTuple{(:a, :b, :c),Tuple{Array{Int64,1},Array{Union{Missing, Float64},1},Array{Union{Missing, String},1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JSONTables/depot/packages/JSONTables/g5bSA/src/JSONTables.jl,154
