modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
JWAS,BayesL!,true,false,3,1,Nothing,"Any,Any,Any,Any,Any,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/markers/BayesianAlphabet/BayesC0L.jl,25
JWAS.PedModule,getInbreeding,true,true,3,1,"Array{AbstractFloat,1}",JWAS.PedModule.Pedigree,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/2.PedModule/src/PedModule.jl,262
JWAS,Gibbs,true,false,4,1,Nothing,"Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/iterative_solver/solver.jl,152
JWAS,#runMCMC#99,false,false,45,1,Any,"Bool,Int64,Bool,Int64,Int64,Int64,Bool,Bool,JWAS.PedModule.Pedigree,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Int64,Bool,Int64,Bool,Bool,String,Bool,String,Float64,Bool,Bool,typeof(runMCMC),JWAS.MME,DataFrame",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/JWAS.jl,144
JWAS,MTGBLUP!,true,false,12,1,Nothing,"JWAS.Genotypes,Array{Union{Array{Float32,1}, Array{Float64,1}},1},Array{Float64,1},Array{Float32,2},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/markers/BayesianAlphabet/GBLUP.jl,41
JWAS,mkmat_incidence_factor,false,false,8,1,"Union{SparseArrays.SparseMatrixCSC{Float64,Int64}, SparseArrays.SparseVector{_A,Int64} where _A}","AbstractArray{T,1} where T,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/markers/tools4genotypes.jl,99
JWAS,BayesL!,true,false,3,1,Nothing,"Any,Any,Any,Array{Float32,1},Any,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/markers/BayesianAlphabet/BayesC0L.jl,25
JWAS,output_result,true,false,28,1,"Dict{Any,Any}","JWAS.MME,Any,Any,Any,Any,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/output.jl,84
JWAS,sample_variance,true,true,0,1,Float64,"Array{Float64,1},Int64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/variance_components.jl,60
JWAS,getData,false,false,13,1,Any,"JWAS.ModelTerm,DataFrame,JWAS.MME",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JWAS/depot/packages/JWAS/v6u0V/src/1.JWAS/src/build_MME.jl,148
