modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
JuliaFormatter,pipe_to_function_call_pass!,true,true,9,3,Nothing,JuliaFormatter.FST,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/passes.jl,89
JuliaFormatter,p_colonopcall,true,true,11,1,JuliaFormatter.FST,"DefaultStyle,CSTParser.EXPR,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/pretty.jl,1289
JuliaFormatter,#format#171,true,true,0,1,Bool,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(format),String,BlueStyle",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/JuliaFormatter.jl,558
JuliaFormatter,p_braces,true,true,0,1,JuliaFormatter.FST,"JuliaFormatter.AbstractStyle,CSTParser.EXPR,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/pretty.jl,1736
JuliaFormatter,format_text,true,true,0,1,String,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/JuliaFormatter.jl,309
JuliaFormatter,p_comprehension,true,true,5,1,JuliaFormatter.FST,"YASStyle,CSTParser.EXPR,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/yas/pretty.jl,215
JuliaFormatter,print_stringh,true,true,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},JuliaFormatter.FST,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/print.jl,106
JuliaFormatter,#nest!#102,true,false,0,1,Nothing,"Int64,typeof(JuliaFormatter.nest!),JuliaFormatter.AbstractStyle,Array{JuliaFormatter.FST,1},JuliaFormatter.State,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/nest.jl,44
JuliaFormatter,pretty,true,true,0,1,JuliaFormatter.FST,"DefaultStyle,CSTParser.EXPR,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/pretty.jl,2
JuliaFormatter,is_block,true,false,10,9,Bool,"Union{CSTParser.EXPR, JuliaFormatter.FST}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/fst.jl,525
JuliaFormatter,p_tupleh,true,true,20,1,JuliaFormatter.FST,"JuliaFormatter.AbstractStyle,CSTParser.EXPR,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/pretty.jl,1709
JuliaFormatter,p_row,true,true,7,1,JuliaFormatter.FST,"JuliaFormatter.AbstractStyle,CSTParser.EXPR,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/pretty.jl,1997
JuliaFormatter,n_conditionalopcall!,true,true,2,1,Nothing,"BlueStyle,JuliaFormatter.FST,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/blue/nest.jl,84
JuliaFormatter,#p_block#85,true,true,37,1,JuliaFormatter.FST,"Bool,Bool,Bool,typeof(JuliaFormatter.p_block),DefaultStyle,CSTParser.EXPR,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/pretty.jl,628
JuliaFormatter,#format_md#158,true,true,0,1,String,"BlueStyle,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(format_md),String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/markdown.jl,8
JuliaFormatter,#format_md#159,true,false,3,2,String,"Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(format_md),String,JuliaFormatter.AbstractStyle",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/markdown.jl,12
JuliaFormatter,format_text,true,true,0,1,String,"String,JuliaFormatter.FormatRule{DefaultStyle}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/pretty.jl,242
JuliaFormatter,#p_block#86,true,false,0,1,JuliaFormatter.FST,"Bool,Bool,Bool,typeof(JuliaFormatter.p_block),JuliaFormatter.AbstractStyle,CSTParser.EXPR,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/pretty.jl,686
JuliaFormatter,n_vect!,true,true,0,1,"Union{Nothing, Int64}","DefaultStyle,JuliaFormatter.FST,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/nest.jl,282
JuliaFormatter,#n_block!#129,true,true,0,1,Nothing,"Int64,typeof(JuliaFormatter.n_block!),BlueStyle,JuliaFormatter.FST,JuliaFormatter.State",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaFormatter/depot/packages/JuliaFormatter/FlpTt/src/styles/default/nest.jl,754
