modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
JuliaInterpreter,evaluate_abstracttype,true,false,1,1,Bool,"var""#limexec!#1""{Base.RefValue{Int64}},Frame,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,330
JuliaInterpreter,evaluate_primitivetype,true,false,1,1,Bool,"var""#limexec!#1""{Base.RefValue{Int64}},Frame,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,338
JuliaInterpreter,mapany,true,true,0,1,"Array{Any,1}","JuliaInterpreter.var""#48#52"",Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/packagedef.jl,37
JuliaInterpreter,linetable,false,false,0,1,"Union{Expr, Core.LineInfoNode, LineNumberNode}","JuliaInterpreter.FrameCode,Int32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,285
JuliaInterpreter,maybe_reset_frame!,false,false,0,1,"Tuple{Union{Nothing, Frame},BreakpointRef}","typeof(finish_and_return!),Frame,BreakpointRef,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/commands.jl,346
JuliaInterpreter,breakpoint,true,true,0,1,JuliaInterpreter.BreakpointSignature,"Method,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/breakpoints.jl,134
JuliaInterpreter,unpack_splatcall,false,false,5,2,"Tuple{Bool,Any}",Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,197
JuliaInterpreter,scopeof,true,true,1,1,Method,Method,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,5
JuliaInterpreter,pc_expr,false,false,0,1,Any,"Core.CodeInfo,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,56
JuliaInterpreter,breakpointchar,true,true,3,4,Char,JuliaInterpreter.BreakpointState,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/types.jl,52
JuliaInterpreter.CompiledCalls,##compiledcall#390,true,true,0,1,Ptr{Nothing},"Ptr{Nothing},Int64,Int32,Int32,RawFD,Int64,Val{Float64},Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter.CompiledCalls,##compiledcall#359,true,true,0,1,UInt32,"Array{UInt8,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,breakpoint,true,true,4,1,JuliaInterpreter.BreakpointFileLocation,"String,Int64,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/breakpoints.jl,145
JuliaInterpreter,lookup_return,false,false,6,7,Any,"Frame,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,634
JuliaInterpreter,namedtuple,false,false,7,1,NamedTuple,"Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/construct.jl,62
JuliaInterpreter.CompiledCalls,##compiledcall#288,false,false,0,1,Any,"Type{T} where T,Int64,Int64,UInt64,Array{UInt64,1},Array{UInt64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter.CompiledCalls,##compiledcall#259,true,true,0,1,"Array{UInt8,1}",String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter.CompiledCalls,##compiledcall#253,true,false,0,1,"Array{Any,1}","Type{T} where T,Int64,Val{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,@breakpoint,true,false,3,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/breakpoints.jl,402
JuliaInterpreter,handle_err,false,false,10,2,"Union{Int64, BreakpointRef}","Any,Frame,UndefVarError",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,605
