modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
JuliaInterpreter,getfile,3,1.0,1.0,1,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,330
JuliaInterpreter.CompiledCalls,##compiledcall#353,1,1.0,1.0,1,0,0,97,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,finish_stack!,1,0.0,0.0,1,1,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/commands.jl,55
JuliaInterpreter,parametric_type_to_expr,1,0.0,0.0,1,1,0,435,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,248
JuliaInterpreter,#evaluate_call_recurse!#60,5,0.0,0.0,1,4,0,1860,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,200
JuliaInterpreter,maybe_step_through_kwprep!,2,1.0,0.0,1,1,0,2773,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/commands.jl,254
JuliaInterpreter.CompiledCalls,##compiledcall#342,1,1.0,1.0,1,0,0,125,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,get_framecode,1,1.0,1.0,1,0,0,230,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/construct.jl,200
JuliaInterpreter,step_expr!,10,1.0,0.0,1,5,0,6324,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,432
JuliaInterpreter,leaf,3,0.6666666666666666,0.6666666666666666,3,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/types.jl,275
JuliaInterpreter.CompiledCalls,##compiledcall#356,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter.CompiledCalls,##compiledcall#300,1,1.0,1.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter.CompiledCalls,##compiledcall#414,1,1.0,1.0,1,0,0,106,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,evaluate_primitivetype,5,1.0,0.0,1,1,0,382,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,338
JuliaInterpreter,add_to_existing_framecodes,2,1.0,1.0,1,0,0,171,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/breakpoints.jl,57
JuliaInterpreter,step_expr!,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,590
JuliaInterpreter,unwind_exception,3,1.0,0.6666666666666666,1,0,0,283,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/commands.jl,371
JuliaInterpreter,breakpoint,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/breakpoints.jl,133
JuliaInterpreter,linenumber,3,1.0,1.0,2,0,0,126,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,370
JuliaInterpreter,unpack_splatcall,7,0.7142857142857143,0.7142857142857143,2,0,0,228,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,197
JuliaInterpreter.CompiledCalls,##compiledcall#402,1,1.0,1.0,1,0,0,166,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter.CompiledCalls,##compiledcall#270,1,1.0,1.0,1,0,0,103,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,367
JuliaInterpreter.CompiledCalls,##compiledcall#387,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,replace_coretypes!,1,1.0,1.0,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,397
JuliaInterpreter.CompiledCalls,##compiledcall#312,1,1.0,1.0,1,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,breakpoints,1,1.0,1.0,1,0,0,36,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/breakpoints.jl,8
JuliaInterpreter.CompiledCalls,##compiledcall#273,3,0.0,0.0,1,0,0,121,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,linenumber,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,375
JuliaInterpreter,eval,2,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/JuliaInterpreter.jl,1
JuliaInterpreter,evaluate_call_recurse!,5,0.0,0.0,1,1,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/interpret.jl,200
JuliaInterpreter.CompiledCalls,##compiledcall#401,1,1.0,1.0,1,0,0,276,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter.CompiledCalls,##compiledcall#352,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter.CompiledCalls,##compiledcall#315,1,1.0,1.0,1,0,0,78,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,remove,3,1.0,0.0,1,0,0,201,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/breakpoints.jl,282
JuliaInterpreter,firehooks,6,1.0,0.0,1,0,0,870,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/breakpoints.jl,47
JuliaInterpreter.CompiledCalls,##compiledcall#369,1,1.0,1.0,1,0,0,80,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/optimize.jl,377
JuliaInterpreter,is_return,1,1.0,0.0,1,1,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,156
JuliaInterpreter,static_eval,1,0.0,0.0,1,0,0,97,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/JuliaInterpreter/depot/packages/JuliaInterpreter/QbBZX/src/utils.jl,742
