modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
LLVM,InitializeTransformUtils,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/src/init.jl,13
LLVM.API,LLVMOrcCreateIndirectStub,1,1.0,1.0,1,0,0,264,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/lib/libLLVM_h.jl,4164
LLVM,loop_unswitch!,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/src/transform.jl,84
LLVM,asm_verbosity!,1,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/src/targetmachine.jl,38
LLVM.API,LLVMRunFunction,1,1.0,1.0,1,0,0,313,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/lib/libLLVM_h.jl,3711
LLVM.API,LLVMAddGlobal,6,1.0,0.8333333333333334,1,0,0,266,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/lib/libLLVM_h.jl,1588
LLVM,identify,1,1.0,1.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/src/core/instructions.jl,118
LLVM.API,LLVMInt32Type,1,1.0,1.0,1,0,0,179,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/lib/libLLVM_h.jl,484
LLVM,loop_idiom!,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/src/transform.jl,84
LLVM,dce!,1,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/src/transform.jl,89
LLVM,array_alloca!,1,0.0,0.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/src/irbuilder.jl,225
LLVM.API,LLVMBuildStore,9,1.0,0.6666666666666666,1,0,0,267,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/lib/libLLVM_h.jl,2564
LLVM.API,LLVMInitializeIPO,1,1.0,1.0,1,0,0,207,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LLVM/depot/packages/LLVM/7Q46C/lib/libLLVM_h.jl,3828
