modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
LatexPrint,latex_form,1,1.0,0.0,1,0,0,633,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,225
LatexPrint,latex_form,1,0.0,0.0,1,0,0,305,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,150
LatexPrint,latex_form,1,1.0,0.0,1,0,0,436,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,170
LatexPrint,latex_form,1,0.0,0.0,1,0,0,179,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,109
LatexPrint,latex_form,1,0.0,0.0,1,0,0,514,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,191
LatexPrint,latex_form,1,0.0,0.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,250
LatexPrint,latex_form,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,106
LatexPrint,latex_form,1,1.0,1.0,1,0,0,309,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,123
LatexPrint,latex_form,1,0.0,0.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,147
LatexPrint,latex_form,1,1.0,1.0,1,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,144
LatexPrint,latex_form,1,0.0,0.0,1,0,0,275,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LatexPrint/depot/packages/LatexPrint/cd7Dj/src/LatexPrint.jl,215
