modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
LibCEED.C,CeedElemRestrictionCreateVector,true,true,0,1,Int32,"Ptr{Nothing},Base.RefValue{Ptr{Nothing}},Ptr{Nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,133
LibCEED,witharray_read,true,true,2,1,Float64,"typeof(sum),CeedVector,LibCEED.C.CeedMemType",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/CeedVector.jl,298
LibCEED,generate_user_qfunction,false,false,23,1,"UserQFunction{_A,_B} where _B where _A","Ceed,Module,Symbol,Array{Tuple{Symbol,Int64},1},Array{Symbol,1},NamedTuple{(:name, :type),Tuple{Symbol,Symbol}},Array{Array{Int64,1},1},Array{Array{Int64,1},1},Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/UserQFunction.jl,16
LibCEED,#assemble_diagonal!#35,true,true,0,1,Int32,"RequestImmediate,typeof(assemble_diagonal!),Operator,CeedVector",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Operator.jl,135
LibCEED,ceed_show,true,true,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},ElemRestriction,typeof(LibCEED.C.CeedElemRestrictionView)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Misc.jl,117
LibCEED,getmultiplicity,true,true,0,1,"Array{Float64,1}",ElemRestriction,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/ElemRestriction.jl,284
LibCEED,tmp_view,true,true,0,1,SubString{String},"Ptr{Nothing},typeof(LibCEED.C.CeedQFunctionView)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Misc.jl,106
LibCEED,det,true,true,0,1,Float64,"Array{Float64,2},CeedDim{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Misc.jl,17
LibCEED,apply!,true,true,0,1,Int32,"Basis,Int64,LibCEED.C.CeedTransposeMode,LibCEED.C.CeedEvalMode,CeedVector,CeedVector",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Basis.jl,187
LibCEED.C,CeedVectorSetValue,true,true,0,1,Int32,"Ptr{Nothing},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,65
LibCEED.C,CeedElemRestrictionCreate,true,true,0,1,Int32,"Ptr{Nothing},Int64,Int32,Int64,Int64,Int32,LibCEED.C.CeedMemType,LibCEED.C.CeedCopyMode,Array{Int32,1},Base.RefValue{Ptr{Nothing}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,117
LibCEED,@interior_qf,false,false,11,1,Any,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/UserQFunction.jl,236
LibCEED.C,CeedElemRestrictionGetNumElements,true,true,0,1,Int32,"Ptr{Nothing},Base.RefValue{Int32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,149
LibCEED.C,CeedQFunctionCreateInteriorByName,true,true,0,1,Int32,"Ptr{Nothing},String,Base.RefValue{Ptr{Nothing}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,285
LibCEED,@witharray,true,false,0,1,Expr,"LineNumberNode,Module,Any,Expr,Vararg{Expr,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/CeedVector.jl,191
LibCEED.C,CeedBasisGetNumNodes,true,true,0,1,Int32,"Ptr{Nothing},Base.RefValue{Int32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,217
LibCEED.C,CeedQFunctionSetCUDAUserFunction,true,true,0,0,Union{},"Ptr{Nothing},Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,424
LibCEED,ceed_show,true,false,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},ElemRestriction,Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Misc.jl,117
LinearAlgebra,norm,true,true,0,1,Float64,Float64,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/generic.jl,647
LibCEED.C,CeedOperatorLinearAssembleAddDiagonal,true,true,0,1,Int32,"Ptr{Nothing},Ptr{Nothing},Ptr{Nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,365
LibCEED.C,CeedVectorCreate,true,true,0,1,Int32,"Ptr{Nothing},Int64,Base.RefValue{Ptr{Nothing}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,57
LibCEED,destroy,true,true,0,1,Int32,Basis,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Basis.jl,32
LibCEED.C,CeedVectorGetArrayRead,true,true,0,1,Int32,"Ptr{Nothing},LibCEED.C.CeedMemType,Base.RefValue{Ptr{Float64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,81
LibCEED.C,CeedInit,true,true,0,1,Int32,"String,Base.RefValue{Ptr{Nothing}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,5
LibCEED,ceed_show,true,true,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Context,typeof(LibCEED.C.CeedQFunctionContextView)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Misc.jl,117
LibCEED,destroy,true,true,0,1,Int32,CeedVector,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/CeedVector.jl,32
LinearAlgebra,norm,true,true,6,7,Float64,"Array{Float64,1},Float64",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/generic.jl,604
LibCEED,#create_interior_qfunction#25,true,true,5,1,QFunction,"Int64,typeof(create_interior_qfunction),Ceed,UserQFunction{var""###qf#274"",Nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/QFunction.jl,34
LibCEED,apply_add!,true,true,0,1,Int32,"Operator,CeedVector,CeedVector",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Operator.jl,118
LibCEED,set_context!,true,true,0,1,Int32,"QFunction,Context",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/QFunction.jl,104
LibCEED,getinterp1d,true,true,0,1,"Array{Float64,2}",Basis,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Basis.jl,356
