modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
LibCEED.C,CeedView,1,1.0,1.0,1,0,0,128,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,17
LibCEED.C,CeedBasisCreateTensorH1Lagrange,1,1.0,1.0,1,0,0,271,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,185
LibCEED,apply!,1,1.0,1.0,1,0,0,202,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/QFunction.jl,142
LibCEED.C,CeedElemRestrictionGetLVectorSize,1,1.0,1.0,1,0,0,132,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,157
LibCEED.C,CeedLobattoQuadrature,1,1.0,1.0,1,0,0,180,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,265
LibCEED,meta_user_qfunction,1,1.0,0.0,1,0,0,1664,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/UserQFunction.jl,132
LibCEED,apply!,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Operator.jl,100
LinearAlgebra,norm,1,1.0,1.0,1,0,0,49,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/generic.jl,647
LibCEED,#apply!#33,1,1.0,1.0,1,0,0,96,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Operator.jl,100
LibCEED.C,CeedSetErrorHandler,1,1.0,1.0,1,0,0,130,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,41
LibCEED,create_elem_restriction,2,1.0,1.0,1,0,0,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/ElemRestriction.jl,70
LibCEED,create_interior_qfunction,1,1.0,1.0,1,0,0,134,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/QFunction.jl,70
LibCEED.C,CeedBasisGetNumNodes,1,1.0,1.0,1,0,0,132,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,217
LibCEED,add_output!,1,1.0,1.0,1,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/QFunction.jl,95
LibCEED,set_field!,1,1.0,1.0,1,0,0,97,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Operator.jl,81
LibCEED,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/LibCEED.jl,1
LibCEED,generate_user_qfunction,2,0.0,0.0,1,0,0,3408,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/UserQFunction.jl,16
LibCEED,gettopology,1,1.0,1.0,1,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Basis.jl,250
LibCEED.C,CeedVectorNorm,1,1.0,1.0,1,0,0,160,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,93
LibCEED,getmultiplicity!,1,1.0,1.0,1,0,0,127,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/ElemRestriction.jl,272
LibCEED,set_globals,1,1.0,1.0,1,0,0,119,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Globals.jl,110
LibCEED.C,CeedElemRestrictionCreateStrided,1,1.0,1.0,1,0,0,290,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,121
LibCEED.C,CeedQFunctionCreateIdentity,1,1.0,1.0,1,0,0,215,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,289
LibCEED,getnumnodes,1,1.0,1.0,1,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Basis.jl,272
LibCEED.C,CeedQFunctionApply,1,1.0,1.0,1,0,0,205,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,309
LibCEED.C,CeedElemRestrictionGetElementSize,1,1.0,1.0,1,0,0,132,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,153
LibCEED.C,__init__,1,1.0,1.0,1,0,0,428,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/C.jl,27
LibCEED,@witharray,2,1.0,0.0,1,4,1,637,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/CeedVector.jl,191
LibCEED.C,CeedVectorRestoreArrayRead,1,1.0,1.0,1,0,0,151,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,89
LibCEED,set_context!,1,1.0,1.0,1,0,0,95,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/QFunction.jl,104
LibCEED,#create_interior_qfunction#25,3,1.0,1.0,1,0,0,325,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/QFunction.jl,34
LibCEED.C,CeedQFunctionCreateInteriorByName,1,1.0,1.0,1,0,0,159,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,285
LibCEED,extract_context,1,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/UserQFunction.jl,8
LibCEED.C,CeedBasisGetQRef,1,1.0,1.0,1,0,0,151,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,233
LibCEED.C,CeedElemRestrictionApply,1,1.0,1.0,1,0,0,213,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,137
LibCEED,getresource,1,1.0,1.0,1,0,0,120,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Ceed.jl,74
LibCEED.C,CeedOperatorLinearAssembleDiagonal,1,1.0,1.0,1,0,0,158,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/generated/libceed_api.jl,361
LibCEED,__init__,1,1.0,1.0,1,0,0,161,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/LibCEED.jl,145
LibCEED,apply_add!,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LibCEED/depot/packages/LibCEED/5EEZG/src/Operator.jl,118
