modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
LightGraphs,maxsimplecycles,3,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,331
LightGraphs.Parallel,#generate_reduce#59,15,1.0,0.8,3,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/Parallel/utils.jl,10
LightGraphs,normalized_cut,1,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/graphcut/normalized_cut.jl,184
LightGraphs.SimpleGraphs,LollipopGraph,2,1.0,0.5,1,0,1,124,deprecated.jl,45
LightGraphs,_partition_weightmx,3,0.6666666666666666,0.3333333333333333,3,0,0,1291,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/graphcut/normalized_cut.jl,33
LightGraphs,circuit,3,1.0,1.0,1,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,331
LightGraphs.SimpleGraphs,#erdos_renyi#17,1,0.0,0.0,1,0,0,381,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/SimpleGraphs/generators/randgraphs.jl,123
LightGraphs.SimpleGraphs,heawood_graph,1,1.0,1.0,1,0,0,282,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/SimpleGraphs/generators/smallgraphs.jl,182
LightGraphs,#indegree_centrality#132,3,1.0,1.0,1,0,0,112,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/centrality/degree.jl,48
LightGraphs,circuit_iter,3,1.0,1.0,1,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,331
LightGraphs,δ,6,1.0,1.0,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/core.jl,169
LightGraphs,resetblocked!,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/cycles/hawick-james.jl,38
LightGraphs.SimpleGraphs,cleanupedges!,5,1.0,0.8,1,0,0,437,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/SimpleGraphs/simpledigraph.jl,174
LightGraphs.SimpleGraphs,#random_regular_digraph#31,1,1.0,0.0,1,0,0,1104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/SimpleGraphs/generators/randgraphs.jl,762
LightGraphs,union,6,1.0,1.0,6,0,0,604,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/operators.jl,290
LightGraphs.SimpleGraphs,erdos_renyi,1,0.0,0.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/SimpleGraphs/generators/randgraphs.jl,123
StaticArrays,convert,1,1.0,0.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/StaticArrays/qd9eq/src/SizedArray.jl,120
LightGraphs.Experimental.Traversals,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/Experimental/Traversals/Traversals.jl,1
LightGraphs.Experimental.ShortestPaths,dists,6,1.0,1.0,2,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/Experimental/ShortestPaths/astar.jl,123
LightGraphs.Parallel,dijkstra_shortest_paths,6,1.0,1.0,3,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/Parallel/shortestpaths/dijkstra.jl,19
LightGraphs,_karp_minimum_cycle_mean,3,1.0,1.0,3,0,0,2703,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/cycles/karp.jl,4
LightGraphs.Experimental.Traversals,visitfn!,3,1.0,1.0,1,0,0,80,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/Experimental/Traversals/dfs.jl,102
LightGraphs,karger_cut_cost,3,1.0,1.0,1,0,0,106,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/graphcut/karger_min_cut.jl,49
LightGraphs.Experimental.ShortestPaths,dists,10,1.0,1.0,4,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LightGraphs/depot/packages/LightGraphs/IgJif/src/Experimental/ShortestPaths/ShortestPaths.jl,170
