modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
LinearAlgebra,adjoint,true,true,0,1,"Adjoint{Int64,Array{Int64,2}}","Array{Int64,2}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/adjtrans.jl,136
LinearAlgebra,ishermitian,true,false,8,3,Bool,"StridedArray{T, 2} where T",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/generic.jl,1222
LinearOperators,#InverseLBFGSOperator#63,true,false,0,1,LBFGSOperator{Float64},"Base.Iterators.Pairs{Symbol,Integer,Tuple{Symbol,Symbol},NamedTuple{(:mem, :scaling),Tuple{Int64,Bool}}},typeof(InverseLBFGSOperator),Type{Float64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,68
LinearOperators,transpose,false,false,0,1,"TransposeLinearOperator{_A,_B} where _B where _A",PreallocatedLinearOperator{_A} where _A,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,34
LinearOperators,opHermitian,true,true,4,1,LinearOperator{Complex{Float64}},"Array{Complex{Float64},1},Array{Complex{Float64},2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/linalg.jl,80
LinearOperators,increase_nprod,true,true,0,1,Int64,LSR1Operator{Float16},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearAlgebra,diag,true,true,0,1,"Array{Complex{Float64},1}","Array{Complex{Float64},2},Int64",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/dense.jl,246
LinearOperators,symmetric,true,true,0,1,Bool,LinearOperator{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,110
LinearOperators,#check_positive_definite#166,false,false,4,3,Any,"Bool,typeof(check_positive_definite),LinearOperator{T} where T<:Union{AbstractFloat, Complex}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/utilities.jl,64
LinearAlgebra,adjoint,true,true,0,1,"Adjoint{Complex{Float64},LinearAlgebra.QRCompactWYQ{Complex{Float64},Array{Complex{Float64},2}}}","LinearAlgebra.QRCompactWYQ{Complex{Float64},Array{Complex{Float64},2}}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/adjtrans.jl,136
LinearOperators,increase_ntprod,false,false,0,1,Any,TimedLinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/TimedOperators.jl,33
LinearOperators,increase_ntprod,true,true,0,1,Int64,LinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,50
LinearOperators,#PreallocatedLinearOperator#118,true,true,9,1,PreallocatedLinearOperator{Complex{Float64}},"Type{Array{Complex{Float64},1}},Bool,Bool,Type{PreallocatedLinearOperator},Array{Complex{Float64},2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/PreallocatedLinearOperators.jl,85
LinearOperators,reset!,true,true,0,1,LBFGSOperator{Complex{Float64}},LBFGSOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,288
LinearOperators,increase_nprod,true,false,0,1,Int64,"LinearOperator{T} where T<:Union{AbstractFloat, Complex}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearOperators,#InverseLBFGSOperator#63,true,false,0,1,LBFGSOperator{Float16},"Base.Iterators.Pairs{Symbol,Integer,Tuple{Symbol,Symbol},NamedTuple{(:mem, :scaling),Tuple{Int64,Bool}}},typeof(InverseLBFGSOperator),Type{Float16},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,68
LinearOperators,increase_nprod,true,false,0,1,Int64,LBFGSOperator{_A} where _A,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearOperators,ishermitian,true,true,0,1,Bool,PreallocatedLinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,102
LinearOperators,shape,false,false,0,1,Any,TimedLinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/TimedOperators.jl,33
LinearOperators,#check_positive_definite#168,true,true,1,1,Bool,"Base.Iterators.Pairs{Symbol,Bool,Tuple{Symbol},NamedTuple{(:semi,),Tuple{Bool}}},typeof(check_positive_definite),Array{Complex{Float64},2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/utilities.jl,87
LinearOperators,adjoint,false,false,0,1,Any,"TransposeLinearOperator{_A,_B} where _B where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,40
LinearOperators,check_positive_definite,true,true,0,1,Bool,"Symmetric{Float64,Array{Float64,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/utilities.jl,87
LinearOperators,hermitian,false,false,0,1,Any,TimedLinearOperator,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/TimedOperators.jl,33
LinearOperators,#LBFGSOperator#68,false,false,0,1,LBFGSOperator{_A} where _A,"Base.Iterators.Pairs{Symbol,Integer,Tuple{Symbol,Symbol,Symbol},NamedTuple{(:mem, :damped, :scaling),Tuple{Int64,Bool,Bool}}},Type{LBFGSOperator},DataType,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,123
LinearOperators,increase_nprod,true,true,0,1,Int64,LBFGSOperator{BigFloat},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearOperators,#LinearOperator#1,false,false,0,1,LinearOperator{_A} where _A,"Bool,Bool,Type{LinearOperator},Symmetric{T,S} where S<:(AbstractArray{var""#s828"",2} where var""#s828""<:T) where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/constructors.jl,9
LinearOperators,opExtension,true,true,0,1,"AdjointLinearOperator{Int64,LinearOperator{Int64}}","Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/special-operators.jl,175
LinearOperators,#PreallocatedLinearOperator#111,false,false,6,1,PreallocatedLinearOperator{_A} where _A,"Bool,Bool,Type{PreallocatedLinearOperator},Union{Array{Complex{Float64},1}, Array{Float64,1}},Union{Array{Complex{Float64},1}, Array{Float64,1}},Union{Array{Complex{Float64},1}, Array{Float64,1}},Union{Array{Complex{Float64},2}, Array{Float64,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/PreallocatedLinearOperators.jl,64
LinearOperators,hermitian,true,true,0,1,Bool,LinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,101
LinearOperators,increase_nprod,false,false,0,1,Any,ConjugateLinearOperator,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,56
LinearOperators,increase_nprod,true,true,0,1,Int64,LBFGSOperator{Float32},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearOperators,ishermitian,true,true,0,1,Bool,LinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,102
LinearOperators,reset!,true,true,4,1,LinearOperators.LBFGSData{Float64},"LinearOperators.LBFGSData{Float64},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,267
LinearOperators,ishermitian,true,true,0,1,Bool,LinearOperator{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,102
LinearOperators,#PreallocatedLinearOperator#111,true,true,6,1,PreallocatedLinearOperator{Complex{Float64}},"Bool,Bool,Type{PreallocatedLinearOperator},Array{Complex{Float64},1},Array{Complex{Float64},1},Array{Complex{Float64},1},Array{Complex{Float64},2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/PreallocatedLinearOperators.jl,64
LinearOperators,increase_nctprod,true,true,0,1,Int64,LinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,51
LinearOperators,#LinearOperator#1,false,false,0,1,LinearOperator{_A} where _A,"Bool,Bool,Type{LinearOperator},AbstractArray{T,2} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/constructors.jl,9
LinearOperators,ishermitian,false,false,0,1,Any,"Union{AdjointLinearOperator, TransposeLinearOperator}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,69
LinearOperators,adjoint,false,false,0,1,"AdjointLinearOperator{_A,_B} where _B where _A","LinearOperator{T} where T<:Union{AbstractFloat, Complex}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,32
LinearAlgebra,ishermitian,true,true,8,3,Bool,"Array{Complex{Float64},2}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/generic.jl,1222
LinearOperators,#opCholesky#93,false,false,7,1,LinearOperator{_A} where _A,"Bool,typeof(opCholesky),AbstractArray{T,2} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/linalg.jl,25
LinearAlgebra,adjoint,false,false,0,1,"Symmetric{var""#s828"",S} where S<:(AbstractArray{var""#s8281"",2} where var""#s8281""<:var""#s828"") where var""#s828""<:Real",Symmetric,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/symmetric.jl,347
LinearOperators,#PreallocatedLinearOperator#111,true,true,6,1,PreallocatedLinearOperator{Float64},"Bool,Bool,Type{PreallocatedLinearOperator},Array{Float64,1},Array{Float64,1},Array{Float64,1},SymTridiagonal{Float64,Array{Float64,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/PreallocatedLinearOperators.jl,64
LinearOperators,increase_nprod,true,true,0,1,Int64,LinearOperator{Int64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearOperators,reset!,true,true,0,1,LinearOperator{Complex{Float64}},LinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,58
LinearOperators,symmetric,true,true,0,1,Bool,"AdjointLinearOperator{Complex{Float64},LinearOperator{Complex{Float64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,69
LinearOperators,issymmetric,true,true,0,1,Bool,LinearOperator{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,111
LinearOperators,#LinearOperator#1,true,true,0,1,LinearOperator{Float64},"Bool,Bool,Type{LinearOperator},SparseMatrixCSC{Float64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/constructors.jl,9
LinearOperators,transpose,true,true,0,1,LinearOperator{Complex{Float64}},"TransposeLinearOperator{Complex{Float64},LinearOperator{Complex{Float64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,35
LinearOperators,adjoint,true,true,0,1,"ConjugateLinearOperator{Complex{Float64},LinearOperator{Complex{Float64}}}","TransposeLinearOperator{Complex{Float64},LinearOperator{Complex{Float64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,40
LinearOperators,nprod,true,true,0,1,Int64,PreallocatedLinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,45
LinearAlgebra,diag,true,true,0,1,"Array{Float64,1}","Array{Float64,2}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/dense.jl,246
LinearOperators,#LSR1Data#73,true,false,6,1,LinearOperators.LSR1Data{Float64},"Int64,Bool,Bool,Type{LinearOperators.LSR1Data},Type{Float64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lsr1.jl,17
LinearOperators,#PreallocatedLinearOperator#111,true,false,6,1,PreallocatedLinearOperator{Float64},"Bool,Bool,Type{PreallocatedLinearOperator},Array{Float64,1},Array{Float64,1},Array{Float64,1},SymTridiagonal{Float64,V} where V<:AbstractArray{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/PreallocatedLinearOperators.jl,64
LinearOperators,#LBFGSOperator#68,true,false,0,1,LBFGSOperator{Float64},"Base.Iterators.Pairs{Symbol,Integer,Tuple{Symbol,Symbol},NamedTuple{(:mem, :scaling),Tuple{Int64,Bool}}},Type{LBFGSOperator},Type{Float64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,123
LinearOperators,#PreallocatedLinearOperator#118,true,true,3,1,PreallocatedLinearOperator{Float64},"Type{Array{Float64,1}},Bool,Bool,Type{PreallocatedLinearOperator},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/PreallocatedLinearOperators.jl,85
LinearAlgebra,adjoint,true,true,0,1,"Adjoint{Float64,Array{Float64,1}}","Array{Float64,1}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/adjtrans.jl,136
LinearOperators,opZeros,true,true,0,1,LinearOperator{Float64},"Type{Float64},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/special-operators.jl,88
LinearOperators,reset!,true,true,0,1,LSR1Operator{Float64},LSR1Operator{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lsr1.jl,210
LinearAlgebra,diag,true,true,0,1,"Array{Complex{Float64},1}","Transpose{Complex{Float64},Array{Complex{Float64},2}}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/dense.jl,246
LinearOperators,increase_nprod,true,true,0,1,Int64,LinearOperator{Complex{Float32}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearOperators,opOnes,true,true,0,1,LinearOperator{Float64},"Type{Float64},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/special-operators.jl,73
LinearOperators,check_ctranspose,true,true,0,1,Bool,LinearOperator{Int64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/utilities.jl,18
LinearOperators,increase_nprod,true,true,0,1,Int64,PreallocatedLinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearOperators,check_hermitian,true,true,2,1,Bool,LinearOperator{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/utilities.jl,34
LinearOperators,opCholesky,true,true,0,1,LinearOperator{Float64},"Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/linalg.jl,25
LinearOperators,hermitian,true,true,0,1,Bool,"AdjointLinearOperator{Int64,LinearOperator{Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,69
LinearOperators,increase_nprod,false,false,0,1,Any,TimedLinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/TimedOperators.jl,33
LinearOperators,increase_nprod,true,true,0,1,Int64,PreallocatedLinearOperator{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,49
LinearOperators,transpose,false,false,0,1,"TransposeLinearOperator{_A,_B} where _B where _A",LinearOperator{_A} where _A,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,34
LinearOperators,shape,true,true,0,1,"Tuple{Int64,Int64}",LinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,93
LinearOperators,transpose,true,true,0,1,"TransposeLinearOperator{Complex{Float64},TimedLinearOperator{Complex{Float64}}}",TimedLinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,34
LinearOperators,transpose,true,true,0,1,"ConjugateLinearOperator{Complex{Float64},LinearOperator{Complex{Float64}}}","AdjointLinearOperator{Complex{Float64},LinearOperator{Complex{Float64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,43
LinearOperators,symmetric,false,false,0,1,Any,ConjugateLinearOperator,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,70
LinearOperators,increase_ntprod,true,true,0,1,Int64,PreallocatedLinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,50
LinearOperators,adjoint,true,true,0,1,"AdjointLinearOperator{Complex{Float64},LinearOperator{Complex{Float64}}}",LinearOperator{Complex{Float64}},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,32
LinearOperators,increase_ntprod,true,true,0,1,Int64,PreallocatedLinearOperator{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,50
LinearOperators,ishermitian,true,false,0,1,Bool,LinearOperator{_A} where _A,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,102
