modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
LinearOperators,reset!,2,1.0,1.0,2,0,0,139,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lsr1.jl,210
LinearOperators,nprod,2,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,45
LinearAlgebra,adjoint,2,1.0,1.0,2,0,0,49,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/adjtrans.jl,164
LinearOperators,opHermitian,2,1.0,1.0,1,0,0,512,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/linalg.jl,80
LinearOperators,ntprod,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,51
LinearOperators,conj,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,37
LinearOperators,ntprod,1,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/TimedOperators.jl,33
LinearOperators,#LBFGSOperator#169,2,0.5,0.5,2,0,0,171,deprecated.jl,70
LinearOperators,#InverseLBFGSOperator#172,1,1.0,1.0,1,0,0,167,deprecated.jl,70
LinearOperators,#LSR1Operator#173,2,0.5,0.5,2,0,0,171,deprecated.jl,70
LinearOperators,#LBFGSOperator#170,1,1.0,1.0,1,0,0,167,deprecated.jl,70
LinearOperators,#InverseLBFGSOperator#63,8,0.625,0.0,3,0,0,364,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,68
LinearOperators,increase_nprod,2,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,56
LinearOperators,symmetric,5,0.6,0.6,2,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,69
LinearOperators,symmetric,2,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/TimedOperators.jl,33
LinearOperators,increase_ntprod,2,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,56
LinearOperators,opHouseholder,1,1.0,1.0,1,0,0,204,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/linalg.jl,69
LinearOperators,nprod,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,46
LinearOperators,increase_nctprod,6,0.8333333333333334,0.8333333333333334,2,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,51
LinearOperators,#InverseLBFGSOperator#67,3,1.0,1.0,1,0,0,116,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,113
LinearAlgebra,adjoint,3,0.6666666666666666,0.6666666666666666,3,0,0,39,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/symmetric.jl,345
LinearOperators,opRestriction,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/special-operators.jl,154
LinearAlgebra,transpose,3,0.6666666666666666,0.6666666666666666,3,0,0,39,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/tridiag.jl,167
LinearAlgebra,transpose,1,1.0,1.0,1,0,0,46,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/symmetric.jl,348
LinearAlgebra,adjoint,1,0.0,0.0,1,0,0,63,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/transpose.jl,3
LinearAlgebra,adjoint,1,0.0,0.0,1,0,0,46,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/symmetric.jl,347
LinearOperators,diag,1,1.0,1.0,1,0,0,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lbfgs.jl,239
LinearOperators,opDiagonal,1,1.0,1.0,1,0,0,280,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/special-operators.jl,101
LinearOperators,transpose,2,0.5,0.5,2,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,43
LinearOperators,opLDL,1,1.0,1.0,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/linalg.jl,48
LinearOperators,transpose,3,0.6666666666666666,0.6666666666666666,3,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,35
LinearOperators,increase_ntprod,6,0.8333333333333334,0.8333333333333334,2,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/abstract.jl,50
LinearOperators,#check_positive_definite#166,4,0.75,0.5,2,0,0,470,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/utilities.jl,64
LinearOperators,#check_positive_definite#167,1,1.0,1.0,1,0,0,388,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/utilities.jl,78
LinearOperators,#LSR1Operator#174,1,1.0,1.0,1,0,0,167,deprecated.jl,70
LinearAlgebra,issymmetric,1,1.0,1.0,1,0,0,48,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/generic.jl,1196
LinearAlgebra,adjoint,9,0.8888888888888888,0.8888888888888888,9,0,0,46,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/adjtrans.jl,136
LinearOperators,hermitian,2,0.5,0.5,2,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,70
LinearOperators,BlockDiagonalOperator,2,1.0,0.0,1,0,1,1034,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/special-operators.jl,199
LinearOperators,opOnes,1,1.0,1.0,1,0,0,350,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/special-operators.jl,73
LinearOperators,nctprod,1,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/TimedOperators.jl,33
LinearOperators,#LSR1Operator#81,6,0.6666666666666666,0.6666666666666666,3,0,0,359,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lsr1.jl,59
LinearOperators,reset!,2,1.0,1.0,2,0,0,411,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lsr1.jl,192
LinearOperators,transpose,7,0.7142857142857143,0.7142857142857143,6,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/adjtrans.jl,34
LinearOperators,opInverse,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/linalg.jl,10
LinearOperators,diag,1,1.0,1.0,1,0,0,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/lsr1.jl,164
LinearOperators,check_hermitian,1,1.0,1.0,1,0,0,447,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/utilities.jl,46
LinearOperators,#PreallocatedLinearOperator#118,3,1.0,0.6666666666666666,2,0,0,799,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LinearOperators/depot/packages/LinearOperators/iGTPA/src/PreallocatedLinearOperators.jl,85
