modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
ForwardDiff,qualified_cse!,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/ForwardDiff/QOqCN/src/prelude.jl,56
LoopVectorization,check_args,true,true,0,1,Bool,"Array{Int32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/condense_loopset.jl,282
LoopVectorization,typeeltype,true,true,0,1,Type{Float32},"Type{VectorizationBase.StridedPointer{Float32,5,1,0,(1, 3, 4, 5, 6),Tuple{Static.StaticInt{4},Int64,Int64,Int64,Int64},NTuple{5,Static.StaticInt{1}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/reconstruct_loopset.jl,402
LoopVectorization,vstoreadditivereduce!,true,true,0,1,Nothing,"VectorizationBase.OffsetPrecalc{Float32,5,-1,0,(2, 3, 4, 5, 6),NTuple{5,Int64},NTuple{5,Static.StaticInt{0}},VectorizationBase.StridedPointer{Float32,5,-1,0,(2, 3, 4, 5, 6),NTuple{5,Int64},NTuple{5,Static.StaticInt{0}}},Tuple{Nothing,Nothing,Tuple{Int64,Int64,Int64},Nothing,Nothing}},Float32,NTuple{5,Static.StaticInt{0}},Static.False,Static.True,Static.False,Static.StaticInt{32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/lower_store.jl,4
LoopVectorization,vstoreadditivereduce!,true,true,0,1,Nothing,"VectorizationBase.OffsetPrecalc{Int64,5,-1,0,(2, 3, 4, 5, 6),NTuple{5,Int64},NTuple{5,Static.StaticInt{0}},VectorizationBase.StridedPointer{Int64,5,-1,0,(2, 3, 4, 5, 6),NTuple{5,Int64},NTuple{5,Static.StaticInt{0}}},Tuple{Nothing,Nothing,Tuple{Int64,Int64,Int64},Nothing,Nothing}},Int64,Tuple{Static.StaticInt{0},Static.StaticInt{0},Static.StaticInt{4},Static.StaticInt{0},Static.StaticInt{0}},Static.False,Static.True,Static.False,Static.StaticInt{32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/lower_store.jl,4
LoopVectorization,check_args,true,true,0,1,Bool,"OffsetArray{Float64,1,SubArray{Float64,1,Array{Float64,3},Tuple{Int64,Int64,Base.Slice{Base.OneTo{Int64}}},true}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/condense_loopset.jl,282
LoopVectorization,vecmemaybe,true,true,0,1,"VectorizationBase.VecUnroll{1,4,Int64,VectorizationBase.Vec{4,Int64}}","Tuple{VectorizationBase.Vec{4,Int64},VectorizationBase.Vec{4,Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/condense_loopset.jl,314
LoopVectorization,_eltype,true,true,0,1,Type{Int64},"SubArray{Int64,3,Array{Int64,3},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64},Base.Slice{Base.OneTo{Int64}}},false}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/lowering.jl,757
LoopVectorization,addoffsetexpr!,true,false,5,2,Bool,"LoopVectorization.LoopSet,Array{LoopVectorization.Operation,1},Array{Symbol,1},Array{Int8,1},Array{Bool,1},Array{Symbol,1},Array{Symbol,1},Symbol,Any,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/memory_ops_common.jl,97
LoopVectorization,ptr,true,true,0,1,Symbol,"LoopVectorization.ArrayRefStruct{:v,Symbol(""##vptr##_v_subset_2_with_s##"")}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/LoopVectorization/depot/packages/LoopVectorization/8MeJu/src/condense_loopset.jl,20
