modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
MAT.MAT_HDF5,m_writeempty,9,1.0,0.8888888888888888,1,0,0,377,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,316
MAT.MAT_HDF5,check_datatype_complex,1,1.0,1.0,1,0,0,240,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,608
MAT.MAT_v5,read_bswap,32,0.875,0.875,16,0,1,330,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_v5.jl,85
MAT.MAT_v5,truncate_to_uint8,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_v5.jl,251
MAT.MAT_HDF5,m_write,26,1.0,0.8846153846153846,1,0,0,291,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,373
MAT.MAT_HDF5,m_read,1,0.0,0.0,1,0,0,2181,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,129
MAT.MAT_HDF5,m_writetypeattr,6,1.0,0.6666666666666666,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,301
MAT,matopen,1,0.0,0.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT.jl,97
MAT.MAT_HDF5,toarray,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,297
MAT.MAT_HDF5,m_write,2,1.0,0.0,1,0,0,1016,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,407
MAT.MAT_v5,read_struct,2,1.0,1.0,1,0,0,1558,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_v5.jl,170
MAT,matopen,2,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT.jl,87
MAT.MAT_v5,read_string,2,0.0,0.0,1,0,0,1849,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_v5.jl,253
MAT,#matopen#1,2,0.0,0.0,1,0,0,183,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT.jl,87
MAT.MAT_HDF5,build_datatype_complex,5,1.0,0.6,1,0,0,187,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,601
MAT.MAT_HDF5,m_read,1,1.0,0.0,1,0,0,2145,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,194
MAT.MAT_HDF5,m_write,3,1.0,0.3333333333333333,1,0,0,251,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_HDF5.jl,528
MAT,matread,1,1.0,0.0,1,0,0,203,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT.jl,129
MAT.MAT_v5,read_sparse,2,0.0,0.0,1,0,0,1028,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_v5.jl,220
MAT,include,1,0.0,0.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT.jl,25
MAT.MAT_v5,read_cell,2,0.0,0.0,1,0,0,345,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_v5.jl,162
MAT.MAT_v5,getvarnames,1,1.0,0.0,1,0,0,800,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MAT/depot/packages/MAT/f523T/src/MAT_v5.jl,375
