modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
MCTS,convert_estimator,false,false,0,1,MCTS.SolvedRolloutEstimator,"RolloutEstimator,DPWSolver,InvertedPendulum",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/domain_knowledge.jl,37
MCTS,#D3Tree#20,true,true,15,1,D3Tree,"String,Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:init_expand,),Tuple{Int64}}},Type{D3Tree},MCTS.MCTSTree{GridWorldState,Symbol},GridWorldState",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/visualization.jl,52
MCTS,action,true,true,0,1,Symbol,"MCTSPlanner{LegacyGridWorld,GridWorldState,Symbol,MCTS.SolvedRolloutEstimator{FunctionPolicy{var""#7#8""},Random._GLOBAL_RNG},Random._GLOBAL_RNG},GridWorldState",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/vanilla.jl,202
MCTS,convert_to_policy,false,false,0,1,"RandomPolicy{_A,LegacyGridWorld,BeliefUpdaters.NothingUpdater} where _A<:AbstractRNG","RandomSolver,LegacyGridWorld",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/domain_knowledge.jl,41
MCTS,#DPWSolver#7,true,true,0,1,DPWSolver,"Int64,Float64,Int64,Float64,Float64,Float64,Float64,Float64,Bool,Bool,Bool,Bool,Bool,Bool,Random._GLOBAL_RNG,DomanKnowledgeTestTp,Float64,Int64,RandomActionGenerator{Random._GLOBAL_RNG},ExceptionRethrow,MCTS.var""#9#11"",Bool,Type{DPWSolver}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/dpw_types.jl,130
MCTS,simulate,true,false,43,3,Float64,"DPWPlanner{InvertedPendulum,Tuple{Float64,Float64},Float64,MCTS.SolvedRolloutEstimator{RandomPolicy{Random._GLOBAL_RNG,InvertedPendulum,BeliefUpdaters.NothingUpdater},Random._GLOBAL_RNG},RandomActionGenerator{Random._GLOBAL_RNG},MCTS.var""#9#11"",Random._GLOBAL_RNG},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/dpw.jl,90
MCTS,node_tag,true,true,0,1,String,"Tuple{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/visualization.jl,7
MCTS,convert_to_policy,true,true,0,1,"RandomPolicy{Random._GLOBAL_RNG,LegacyGridWorld,BeliefUpdaters.NothingUpdater}","RandomPolicy{Random._GLOBAL_RNG,LegacyGridWorld,BeliefUpdaters.NothingUpdater},LegacyGridWorld",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/domain_knowledge.jl,40
MCTS,rollout,true,true,0,1,Float64,"MCTS.SolvedRolloutEstimator{RandomPolicy{Random._GLOBAL_RNG,LegacyGridWorld,BeliefUpdaters.NothingUpdater},Random._GLOBAL_RNG},LegacyGridWorld,GridWorldState,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/domain_knowledge.jl,52
MCTS,simulate,true,true,4,2,Float64,"MCTSPlanner{LegacyGridWorld,GridWorldState,Symbol,String,Random._GLOBAL_RNG},StateNode{GridWorldState,Symbol},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MCTS/depot/packages/MCTS/ww2qH/src/vanilla.jl,276
