modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
MLJFlux,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/MLJFlux.jl,1
MLJFlux,reformat,4,0.0,0.0,1,0,0,157,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,254
MLJFlux,_get,2,1.0,1.0,2,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,265
MLJFlux,#Linear#6,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,164
MLJFlux,nrows,5,0.8,0.8,2,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,209
MLJFlux,reformat,19,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,211
MLJFlux,#NeuralNetworkRegressor#14,3,1.0,0.0,2,0,0,754,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/regressor.jl,13
MLJFlux,#NeuralNetworkClassifier#20,2,1.0,0.0,2,0,0,762,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/classifier.jl,14
MLJFlux,reformat,2,1.0,1.0,2,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,253
MLJFlux,_get,3,1.0,1.0,3,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,264
MLJFlux,gpu_isdead,1,1.0,1.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,193
MLJFlux,reformat,3,1.0,1.0,1,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,221
MLJFlux,_get,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,268
MLJFlux,fit!,12,0.0,0.0,1,0,0,2015,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,97
MLJFlux,reformat,1,1.0,1.0,1,0,0,526,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,232
Main,build,3,0.0,0.0,1,0,0,218,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/test/runtests.jl,34
MLJFlux,#Short#7,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,174
MLJFlux,#MultitargetNeuralNetworkRegressor#15,1,1.0,0.0,1,0,0,754,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/regressor.jl,52
Main,build,2,0.0,0.0,1,0,0,157,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/test/image.jl,10
MLJFlux,nrows,5,0.6,0.6,2,0,0,244,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,201
MLJFlux,collate,18,0.0,0.0,2,0,0,240,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,281
MLJFlux,reformat,6,0.3333333333333333,0.3333333333333333,3,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,216
MLJFlux,reformat,3,1.0,1.0,1,0,0,321,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,224
MLJFlux,reformat,1,1.0,1.0,1,0,0,321,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/core.jl,242
MLJFlux,#ImageClassifier#23,3,1.0,0.0,3,0,0,762,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/image.jl,14
MLJFlux,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/src/MLJFlux.jl,1
Main,build,1,0.0,0.0,1,0,0,398,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJFlux/depot/packages/MLJFlux/wj7HX/test/image.jl,80
