modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
MLJBase,supports_weights,true,true,0,1,Bool,Type{MLJBase.RootMeanSquaredProportionalError},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/measures/meta_utilities.jl,115
MLJBase,implemented_methods,false,false,0,1,Any,"MLJModelInterface.FullInterface,Type{ConstantRegressor}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/interface/model_api.jl,35
StatisticalTraits,name,false,false,0,1,Any,Type,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/StatisticalTraits/ta2YD/src/StatisticalTraits.jl,182
ScientificTypes,scitype,false,false,0,1,"Type{AbstractArray{_A,2}} where _A","Array{Float64,2},ScientificTypes.Convention,Val{:other}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/ScientificTypes/Eii4s/src/scitype.jl,114
MLJBase,docstring,true,true,0,1,String,"Type{MLJBase.MulticlassNegativePredictiveValue{MLJBase.MacroAvg,OrderedCollections.LittleDict}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/measures/finite.jl,874
MLJBase,supports_class_weights,true,true,0,1,Bool,Type{MLJBase.LPLoss},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/measures/meta_utilities.jl,128
Main.TestInfo,load_path,true,true,0,1,String,Type{Main.TestInfo.DummyInt},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModels/66QJr/test/info_dict.jl,48
ScientificTypes,trait,true,false,5,1,Symbol,"Tables.MatrixTable{Array{Float64,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/ScientificTypes/Eii4s/src/ScientificTypes.jl,98
MLJModels,info_dict,true,true,0,1,"OrderedCollections.LittleDict{Symbol,Any,Array{Symbol,1},Array{Any,1}}",Main.TestInfo.DummyProb,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModels/66QJr/src/registry/src/info_dict.jl,8
MLJModels,info_as_named_tuple,false,false,0,1,"NamedTuple{(:name, :package_name, :is_supervised, :docstring, :hyperparameter_ranges, :hyperparameter_types, :hyperparameters, :implemented_methods, :is_pure_julia, :is_wrapper, :load_path, :package_license, :package_url, :package_uuid, :prediction_type, :supports_class_weights, :supports_online, :supports_weights, :input_scitype, :target_scitype, :output_scitype),_A} where _A<:Tuple",Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModels/66QJr/src/model_search.jl,53
MLJModels,encode_dic,true,true,0,1,String,Symbol,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModels/66QJr/src/metadata.jl,13
MLJMultivariateStatsInterface,package_name,true,true,0,1,String,Type{MLJMultivariateStatsInterface.MultitargetRidgeRegressor},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModelInterface/tegnW/src/metadata_utils.jl,66
MLJBase,is_wrapper,true,true,0,1,Bool,Type{MLJBase.ProbabilisticSurrogate},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/composition/abstract_types.jl,52
MLJModels,load_path,true,true,0,1,String,Type{ConstantRegressor},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModelInterface/tegnW/src/metadata_utils.jl,130
MLJBase,supports_weights,true,true,0,1,Bool,Type{MLJBase.Precision},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/measures/meta_utilities.jl,115
ScientificTypes,#arr_scitype#12,true,false,2,1,"Type{AbstractArray{ScientificTypes.Continuous,1}}","Bool,typeof(ScientificTypes.arr_scitype),Array{Float64,1},ScientificTypes.Convention,Type{ScientificTypes.Continuous}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/ScientificTypes/Eii4s/src/scitype.jl,126
MLJModels,encode_dic,true,true,0,1,String,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModels/66QJr/src/metadata.jl,5
MLJBase,supports_class_weights,true,true,0,1,Bool,Type{MLJBase.FScore},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/measures/meta_utilities.jl,128
MLJBase,prediction_type,true,true,0,1,Symbol,Type{MLJBase.TruePositive},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/measures/meta_utilities.jl,114
MLJClusteringInterface,package_name,true,false,0,1,String,"Type{var""#s43""} where var""#s43""<:MLJClusteringInterface.KMedoids",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModelInterface/tegnW/src/metadata_utils.jl,66
MLJDecisionTreeInterface,is_wrapper,true,true,0,1,Bool,Type{MLJDecisionTreeInterface.RandomForestRegressor},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModelInterface/tegnW/src/metadata_utils.jl,71
MLJBase,prediction_type,true,true,0,1,Symbol,Type{MLJBase.FalseNegativeRate},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJBase/pCCd7/src/measures/meta_utilities.jl,114
MLJModels,is_wrapper,true,true,0,1,Bool,Type{BinaryThresholdPredictor},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModels/66QJr/src/builtins/ThresholdPredictors.jl,160
MLJModels,package_url,true,true,0,1,String,Type{ConstantRegressor},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModelInterface/tegnW/src/metadata_utils.jl,68
MLJMultivariateStatsInterface,package_name,true,true,0,1,String,Type{MLJMultivariateStatsInterface.LDA},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLJModels/depot/packages/MLJModelInterface/tegnW/src/metadata_utils.jl,66
