modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
MLKernels,kernelmatrix!,true,true,0,1,"Array{Float32,2}","Val{:row},Array{Float32,2},GammaExponentialKernel{Float32},Array{Float32,2},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,45
MLKernels,kernel,true,true,0,1,Float64,"RationalQuadraticKernel{Float64},Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,3
MLKernels.HyperParameters,interval,true,true,0,1,"Interval{Float32,OpenBound{Float32},OpenBound{Float32}}","OpenBound{Float32},OpenBound{Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/HyperParameters.jl,112
MLKernels,nystrom_sample,true,true,0,1,"Tuple{Array{Float32,2},Array{Float32,2}}","Val{:col},SquaredExponentialKernel{Float32},Array{Float32,2},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/nystrom.jl,19
MLKernels,gramian!,true,true,1,2,"Array{Float64,2}","Val{:row},Array{Float64,2},Array{Float64,2},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/utils.jl,29
MLKernels,isstationary,true,true,0,1,Bool,"PolynomialKernel{Float64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelfunctions.jl,41
MLKernels,kernelmatrix!,true,true,0,1,"Array{Float64,2}","Val{:col},Array{Float64,2},ExponentiatedKernel{Float64},Array{Float64,2},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,62
MLKernels,basematrix,true,true,0,1,"Array{Float32,2}","Val{:col},SquaredEuclidean,Array{Float32,2},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/basematrix.jl,165
MLKernels,kernelmatrix,true,true,0,1,"Array{Float32,2}","Val{:col},GammaExponentialKernel{Float32},Array{Float64,2},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,117
MLKernels,kernelmatrix!,true,true,0,1,"Array{Float64,2}","Val{:row},Array{Float64,2},ExponentialKernel{Float64},Array{Float64,2},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,62
MLKernels,kernelmatrix,true,true,0,1,"Array{Float64,2}","Val{:col},ExponentiatedKernel{Float64},Array{Float64,2},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,73
MLKernels,kernelmatrix!,true,true,0,1,"Array{Float32,2}","Val{:col},Array{Float32,2},GammaExponentialKernel{Float32},Array{Float32,2},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,45
MLKernels,kernel,true,true,0,1,Float32,"LinearKernel{Float32},Float32,Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,3
MLKernels,ismercer,true,true,0,1,Bool,ExponentiatedKernel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelfunctions.jl,87
MLKernels,basematrix,true,true,0,1,"Array{Float32,2}","Val{:col},SquaredEuclidean,Array{Float32,2},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/basematrix.jl,148
MLKernels,basematrix!,true,true,0,1,"Array{Float64,2}","Val{:col},Array{Float64,2},ScalarProduct,Array{Float64,2},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/basematrix.jl,195
MLKernels.HyperParameters,lowerboundtheta,false,false,3,2,Any,"Interval{Float64,A,B} where B<:Bound{Float64} where A<:Bound{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/HyperParameters.jl,138
MLKernels,basefunction,true,true,0,1,ScalarProduct,ExponentiatedKernel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelfunctions/mercer/exponentiated.jl,21
MLKernels.HyperParameters,getvalue,true,true,0,1,Int32,HyperParameter{Int32},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/HyperParameters.jl,190
MLKernels,kappa,true,true,0,1,Float32,"PowerKernel{Float32},Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelfunctions/negativedefinite/power.jl,23
MLKernels,kernel,true,true,0,1,Float64,"SigmoidKernel{Float64},Array{Float32,1},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,104
MLKernels,kernelmatrix,true,true,0,1,"Array{Float64,2}","Val{:col},LogKernel{Float64},Array{Float64,2},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,73
MLKernels,kappamatrix!,true,true,3,1,"Array{Float32,2}","SquaredExponentialKernel{Float32},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelmatrix.jl,18
MLKernels,gettheta,true,false,5,1,"Array{Float64,1}",PowerKernel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/kernelfunctions.jl,52
MLKernels,unsafe_base_evaluate,true,true,5,1,Float32,"ChiSquared,SubArray{Float32,1,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},Int64},true},SubArray{Float32,1,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},Int64},true}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/basematrix.jl,11
MLKernels,allocate_basematrix,true,true,0,1,"Array{Float64,2}","Val{:col},Array{Float64,2},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MLKernels/depot/packages/MLKernels/DqEdF/src/basematrix.jl,64
