modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
MakieGallery,find_startend,false,false,0,1,"Tuple{Any,Any}","Array{T,1} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,330
MakieGallery,#example2source#85,true,false,0,1,String,"Base.Iterators.Pairs{Symbol,Any,Tuple{Symbol,Symbol,Symbol},NamedTuple{(:outputfile, :scope_start, :scope_end),Tuple{MakieGallery.var""#output_path#137""{String},String,String}}},typeof(MakieGallery.example2source),Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,547
MakieGallery,embed_image,true,true,1,2,String,"String,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/io.jl,73
MakieGallery.##TempModule#451,v,false,false,0,1,"Point{2,_A} where _A","Point{2,T}",test_28,3
MakieGallery,#record_examples#134,true,false,26,1,"Array{Any,1}","Tuple{Int64,Int64},Bool,Bool,Bool,Bool,typeof(MakieGallery.record_examples),String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/io.jl,266
MakieGallery.##TempModule#369,f,true,true,0,1,Float64,"Float64,Float64",surface___contour3d,6
MakieGallery.##TempModule#359,xy_data,false,false,1,2,Any,"Any,Any",surface_with_image,4
MakieGallery,eval,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/MakieGallery.jl,1
MakieGallery,is_linenumber,true,true,0,1,Bool,Float32,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,313
MakieGallery.##TempModule#335,v,true,true,0,1,"Point{2,Float64}","Point{2,Float64},Float64",streamplot_animation,3
MakieGallery,load_database,false,false,5,1,Any,"Array{String,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/MakieGallery.jl,105
MakieGallery,is_group,true,true,1,2,"Union{Missing, Bool}",Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,311
MakieGallery,is_cell,true,true,0,1,Bool,LineNumberNode,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,308
MakieGallery.##TempModule#381,f,true,true,0,1,"Point{3,Float32}","Point{2,Float32}",streamplot_3d,16
MakieGallery,#eval_example#91,false,false,11,3,Any,"Base.Iterators.Pairs{Symbol,MakieGallery.var""#output_path#137""{String},Tuple{Symbol},NamedTuple{(:outputfile,),Tuple{MakieGallery.var""#output_path#137""{String}}}},typeof(eval_example),MakieGallery.CellEntry",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,559
MakieGallery,extract_source,true,true,0,1,"Tuple{String,String}","String,UnitRange{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,282
MakieGallery.##TempModule#391,add_move!,true,true,0,1,Observables.ObserverFunction,"Scene,Observable{Array{Point{2,Float32},1}},Combined{AbstractPlotting.scatter,Tuple{Array{Point{2,Float32},1}}}",edit_polygon,10
MakieGallery,is_linenumber,true,true,0,1,Bool,LineNumberNode,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,314
MakieGallery.##TempModule#291,f,true,true,0,1,Float64,"Float64,Float64",animations,5
MakieGallery.##TempModule#399,p₀,true,true,0,1,Float64,Float64,animation_with_slider_control,13
MakieGallery.##TempModule#382,gridlaplacian,true,true,12,1,"SparseArrays.SparseMatrixCSC{Float64,Int64}","Int64,Int64",fractional_brownian_surface,13
MakieGallery.##TempModule#399,p₀,true,true,0,1,"Array{Float64,1}","Array{Float64,1}",animation_with_slider_control,13
MakieGallery.RNG,randn,false,false,0,1,Any,Type{T} where T,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/MakieGallery.jl,28
MakieGallery.##TempModule#459,xy_data,false,false,1,2,"Union{Float32, Float64}","Float64,Float64",test_36,5
MakieGallery.RNG,rand,false,false,0,1,Any,"Type{T} where T,Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/MakieGallery.jl,27
MakieGallery,extract_tags,false,false,0,1,Set{_A} where _A,"Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieGallery/depot/packages/MakieGallery/V0mvg/src/database.jl,235
