modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
MakieLayout,default_attributes,true,true,0,1,"NamedTuple{(:attributes, :documentation, :defaults),Tuple{Attributes,Dict{Symbol,String},Dict{Symbol,String}}}","Type{LLegend},Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/defaultattributes.jl,596
MakieLayout,onmouseleftdrag,true,false,0,1,Observables.ObserverFunction,"MakieLayout.var""#245#265""{_A,_B,_C,_D,Observable{GeometryBasics.HyperRectangle{2,Float32}},_E,Observable{Bool},Observable{Float64}} where _E where _D where _C where _B where _A,Observable{MakieLayout.MouseState}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/mousestatemachine.jl,42
MakieLayout,addmousestate!,true,false,0,1,Observable{MakieLayout.MouseState},"Scene,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/mousestatemachine.jl,77
MakieLayout,#LineAxis#95,true,false,0,1,MakieLayout.LineAxis,"Base.Iterators.Pairs{Symbol,Observable,NTuple{28,Symbol},NamedTuple{(:endpoints, :limits, :flipped, :ticklabelrotation, :ticklabelalign, :labelsize, :labelpadding, :ticklabelpad, :labelvisible, :label, :labelfont, :ticklabelfont, :ticklabelcolor, :labelcolor, :tickalign, :ticklabelspace, :ticks, :tickformat, :ticklabelsvisible, :ticksvisible, :spinevisible, :spinecolor, :spinewidth, :ticklabelsize, :trimspine, :ticksize, :reversed, :tickwidth),Tuple{Observable{Tuple{Point{2,Float32},Point{2,Float32}}},Observable{Tuple{Float32,Float32}},Observable{Bool},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Bool},Observable{Symbol},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any},Observable{Any}}}},Type{MakieLayout.LineAxis},Scene",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/lineaxis.jl,1
MakieLayout,default_attributes,true,true,0,1,"NamedTuple{(:attributes, :documentation, :defaults),Tuple{Attributes,Dict{Symbol,String},Dict{Symbol,String}}}","Type{LSlider},Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/defaultattributes.jl,496
MakieLayout,onmouseleftdown,true,false,0,1,Observables.ObserverFunction,"MakieLayout.var""#372#389""{_A,_B} where _B where _A,Observable{MakieLayout.MouseState}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/mousestatemachine.jl,42
MakieLayout,expandlimits,true,true,1,1,"Tuple{Float32,Float32}","Tuple{Float32,Float32},Float32,Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/lobjects/laxis.jl,380
GridLayoutBase,width,true,true,0,1,Int64,"GeometryBasics.HyperRectangle{2,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/GridLayoutBase/IXgjC/src/geometry_integration.jl,6
MakieLayout,default_attributes,true,true,0,1,"NamedTuple{(:attributes, :documentation, :defaults),Tuple{Attributes,Dict{Symbol,String},Dict{Symbol,String}}}","Type{LSlider},Scene",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/defaultattributes.jl,496
GridLayoutBase,BBox,true,true,0,1,"GeometryBasics.HyperRectangle{2,Float32}","Float32,Float64,Float64,Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/GridLayoutBase/IXgjC/src/geometry_integration.jl,10
GridLayoutBase,height,true,true,0,1,Int64,"GeometryBasics.HyperRectangle{2,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/GridLayoutBase/IXgjC/src/geometry_integration.jl,7
GridLayoutBase,BBox,true,true,0,1,"GeometryBasics.HyperRectangle{2,Float32}","Float32,Float32,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/GridLayoutBase/IXgjC/src/geometry_integration.jl,10
GridLayoutBase,BBox,true,false,0,1,"GeometryBasics.HyperRectangle{2,Float32}","Number,Number,Number,Number",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/GridLayoutBase/IXgjC/src/geometry_integration.jl,10
MakieLayout,onmouseleftdragstop,true,false,0,1,Observables.ObserverFunction,"MakieLayout.var""#247#267""{_A,Observable{Bool}} where _A,Observable{MakieLayout.MouseState}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/mousestatemachine.jl,42
MakieLayout,#LegendEntry#340,true,true,0,1,LegendEntry,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{LegendEntry},String,Scatter{...}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/lobjects/llegend.jl,329
MakieLayout,#LineAxis#95,true,false,0,1,MakieLayout.LineAxis,"Base.Iterators.Pairs{Symbol,_A,NTuple{28,Symbol},_B} where _B where _A,Type{MakieLayout.LineAxis},Scene",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/lineaxis.jl,1
MakieLayout,#layoutscene#7,true,true,0,1,"Tuple{Scene,GridLayout}","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(layoutscene),Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/helpers.jl,172
MakieLayout,#LText#224,true,true,0,1,LText,"Base.Iterators.Pairs{Symbol,Any,NTuple{5,Symbol},NamedTuple{(:tellwidth, :halign, :padding, :textsize, :color),Tuple{Bool,Symbol,Observable{Any},Observable{Any},Observable{Any}}}},Type{LText},Scene,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/lobjects/ltext.jl,1
MakieLayout,get_ticklabels,true,true,0,1,"Array{String,1}","AbstractPlotting.Automatic,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MakieLayout/depot/packages/MakieLayout/qJ2me/src/lineaxis.jl,372
