modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
MatrixDepot,aliasname,true,true,0,1,String,MatrixDepot.GeneratedMatrixData{:B},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/types.jl,235
MatrixDepot,addmetadata!,true,false,25,2,Int64,MatrixDepot.MatrixData,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/download.jl,264
MatrixDepot,svdfile,true,true,0,1,String,MatrixDepot.RemoteMatrixData{MatrixDepot.SSRemoteType},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/downloadsp.jl,170
MatrixDepot,aliasname,true,true,0,1,String,"Type{MatrixDepot.GeneratedMatrixData{:U}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/types.jl,230
MatrixDepot,svdstatistics,false,false,20,1,"NamedTuple{(:maxsv, :minsv, :cond, :rank, :nsd, :gap),_A} where _A<:Tuple","Array{T<:Real,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/downloadsp.jl,216
MatrixDepot,downloadcommand,true,false,0,1,Cmd,"AbstractString,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/download.jl,230
MatrixDepot,_issymmetry,true,false,1,2,Bool,"MatrixDepot.RemoteMatrixData,Type{MatrixDepot.MMSymmetrySymmetric}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/logical.jl,83
MatrixDepot,issvdok,false,false,0,1,Any,MatrixDepot.RemoteMatrixData,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/download.jl,320
MatrixDepot,downloadindex,true,true,1,1,String,MatrixDepot.MMRemoteType,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/downloadmm.jl,79
MatrixDepot,#init#148,true,true,8,1,Nothing,"Bool,typeof(MatrixDepot.init)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/MatrixDepot.jl,107
MatrixDepot,dbpath,true,true,0,1,String,MatrixDepot.MatrixDatabase,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/download.jl,21
MatrixDepot,localdir,true,false,0,1,String,"MatrixDepot.RemoteMatrixData{var""#s70""} where var""#s70""<:Union{MatrixDepot.SSRemoteType, MatrixDepot.TURemoteType}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/types.jl,276
MatrixDepot,redirect,false,false,2,2,AbstractString,AbstractString,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/data.jl,148
MatrixDepot,readindex,true,false,6,1,Nothing,"MatrixDepot.SSRemoteType,MatrixDepot.MatrixDatabase",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/downloadsp.jl,62
MatrixDepot,indexurl,true,true,0,1,String,MatrixDepot.MMRemoteType,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/types.jl,279
MatrixDepot,mm_property_name,true,true,0,1,String,MatrixDepot.MMFieldComplex,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/types.jl,303
MatrixDepot,aliasname,true,true,0,1,String,MatrixDepot.GeneratedMatrixData{:U},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/types.jl,235
MatrixDepot,mm_property_name,true,true,0,1,String,MatrixDepot.MMFieldPattern,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/types.jl,305
MatrixDepot,push_hdr!,true,true,9,3,Symbol,"Dict{Symbol,Any},String,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MatrixDepot/depot/packages/MatrixDepot/1equL/src/matrixmarket.jl,327
