modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Measurements,value,true,true,0,1,Complex{Float64},Complex{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/Measurements/PVbNf/src/utils.jl,62
Unitful,dimension,true,true,0,1,"Unitful.Dimensions{(Unitful.Dimension{:Length}(2//1), Unitful.Dimension{:Mass}(1//1))}","Unitful.FreeUnits{(g, cm^2),𝐋^2 𝐌,nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/Unitful/0oqX5/src/utils.jl,204
QuadGK,adapt,false,false,12,2,"Tuple{Any,Any}","Function,Array{QuadGK.Segment{Float64,Float64,Float64},1},Float64,Float64,Int64,Array{Float64,1},Array{Float64,1},Array{Float64,1},Int64,Float64,Float64,Int64,typeof(norm)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/QuadGK/czbUH/src/adapt.jl,39
Unitful,dimension,false,false,0,1,Any,"Unitful.Unit{:Barn,𝐋^2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/Unitful/0oqX5/src/types.jl,59
Unitful,basefactor,false,false,1,2,"Tuple{Any,Any}","Unitful.FreeUnits{(Ω^-1,),𝐈^2 𝐓^3 𝐋^-2 𝐌^-1,nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/Unitful/0oqX5/src/units.jl,260
QuadGK,evalrule,true,true,8,1,"QuadGK.Segment{Float64,Float64,Float64}","QuadGK.var""#8#17""{typeof(exp)},Float64,Float64,Array{Float64,1},Array{Float64,1},Array{Float64,1},typeof(norm)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/QuadGK/czbUH/src/evalrule.jl,15
Unitful,name,true,true,0,1,Symbol,"Unitful.Unit{:SpeedOfLight,𝐋 𝐓^-1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/Unitful/0oqX5/src/types.jl,51
Unitful,genericunit,true,true,0,1,"Type{Unitful.Units{(K,),𝚯,Unitful.Affine{-5463//20}}}","Unitful.FreeUnits{(K,),𝚯,Unitful.Affine{-5463//20}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/Unitful/0oqX5/src/types.jl,78
Unitful,#s35#8,true,false,14,1,Expr,"Any,Any,Any",none,0
Unitful,power,true,true,0,1,Rational{Int64},"Unitful.Unit{:Hertz,𝐓^-1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Measurements/depot/packages/Unitful/0oqX5/src/types.jl,53
