modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Memento,#setlevel!#43,true,false,8,2,Nothing,"Bool,typeof(setlevel!),var""#6#11""{Logger},Logger,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/loggers.jl,318
Memento,format,false,false,12,1,Any,"DictFormatter,SimpleRecord{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/formatters.jl,127
Memento,getlevel,false,false,0,1,AbstractString,"DefaultHandler{DefaultFormatter,Syslog}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/handlers.jl,185
Memento,#DefaultHandler#29,true,true,0,1,"DefaultHandler{DefaultFormatter,IOStream}","Nothing,Type{DefaultHandler},String,DefaultFormatter,Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/handlers.jl,129
Memento,debug,true,true,0,1,Nothing,"Logger,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/loggers.jl,425
Memento,#DefaultHandler#28,true,true,0,1,"DefaultHandler{DefaultFormatter,Base.GenericIOBuffer{Array{UInt8,1}}}","Nothing,Type{DefaultHandler},Base.GenericIOBuffer{Array{UInt8,1}},DefaultFormatter,Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/handlers.jl,101
Memento,getlevel,true,true,0,1,String,SimplestHandler,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/handlers.jl,18
Memento,getlevel,true,true,0,1,String,FilterHandler,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/handlers.jl,18
Memento,#DefaultHandler#28,false,false,0,1,"DefaultHandler{DefaultFormatter,_A} where _A<:IO","Nothing,Type{DefaultHandler},IO,DefaultFormatter,Dict{Symbol,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/handlers.jl,101
Memento.TestUtils,occursin_msg,true,true,0,1,Bool,"Tuple{String,String},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/memento_test.jl,18
Memento,getlevels,true,true,0,1,Nothing,FilterHandler,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/handlers.jl,26
Memento,setpropagating!,true,true,2,1,Nothing,"var""#32#47""{Logger,Memento.TestUtils.TestHandler{DefaultFormatter}},Logger,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memento/depot/packages/Memento/i6gAL/src/loggers.jl,108
