modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Memoization,find_caches,true,false,0,1,"IdDict{Any,Any}","Union{DataType, Union, UnionAll}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,47
Memoization,get_cache,false,false,0,1,Any,Baz{Int64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,24
Memoization,memoize_per_instance,true,false,0,1,"Union{Missing, Bool, Base.var""#64#65""{_A} where _A}",Type{T} where T,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,19
Memoization,_get!,false,false,0,1,Any,"Type{T} where T,Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,119
Memoization,memoize_per_instance,true,false,0,1,"Union{Missing, Bool, Base.var""#64#65""{_A} where _A}",Type,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,19
Memoization,_get!,false,false,0,1,Any,"var""##getter#254#7""{Int64,Nothing,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Int64,Nothing,Tuple{}},Any,Tuple{Tuple{Int64,Nothing},NamedTuple{(:z, :w),Tuple{Int64,Nothing}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,119
Memoization,_get!,false,false,0,1,Any,"Type{IdDict},IdDict{Any,Any},Tuple{Baz{String},Type}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,119
Memoization,get_cache,true,true,0,1,"IdDict{Any,Any}","var""#foo#13""",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,24
Memoization,get_cache,false,false,0,1,Any,"var""#f#5""{var""#f#1#6""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,24
Memoization,_get!,false,false,0,1,Any,"var""##getter#263#11""{Array{Int64,1}},Any,Tuple{Tuple{Array{Int64,1}},NamedTuple{(),Tuple{}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Memoization/depot/packages/Memoization/2twyX/src/Memoization.jl,119
