modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Missings,disallowmissing,8,1.0,1.0,6,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,50
Missings,missings,2,1.0,1.0,2,0,1,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,21
Missings,missings,2,1.0,1.0,2,0,1,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,22
DataAPI,levels,11,0.9090909090909091,0.9090909090909091,5,0,0,370,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/DataAPI/o4TFz/src/DataAPI.jl,119
Missings,passmissing,3,0.3333333333333333,0.3333333333333333,2,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,235
Missings,#s15#2,1,1.0,0.0,1,7,0,217,none,0
Missings,missings,3,1.0,1.0,3,0,1,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,25
Missings,missings,1,1.0,1.0,1,0,1,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,24
Missings,skipmissings,3,0.0,0.0,1,0,1,424,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,261
Missings,fail,4,1.0,1.0,4,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,144
Missings,#s15#1,1,1.0,0.0,1,7,0,84,none,0
Missings,_anymissingindex,4,1.0,0.75,1,0,1,201,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,287
Missings,T,1,0.0,0.0,1,0,1,124,deprecated.jl,45
Missings,missings,2,1.0,1.0,2,0,1,86,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,23
Missings,replace,4,1.0,1.0,3,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,83
Missings,allowmissing,8,1.0,1.0,6,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Missings/depot/packages/Missings/hn4Ye/src/Missings.jl,37
