modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Mocking,anon_morespecific,1,1.0,0.0,1,0,0,100,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/dispatch.jl,37
Mocking,apply,23,0.0,0.0,2,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/patch.jl,70
Mocking,set_active_env,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/patch.jl,75
Mocking,dispatch,72,0.0,0.0,30,0,1,497,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/dispatch.jl,56
Mocking,get_alternate,55,1.0,0.0,1,0,1,1677,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/mock.jl,36
Mocking,iskwarg,1,1.0,0.0,1,0,0,111,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/expr.jl,8
Mocking,#apply#1,24,0.0,0.0,2,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/patch.jl,70
Mocking,type_morespecific,2,1.0,0.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/dispatch.jl,6
Mocking,rewrite_do,1,0.0,0.0,1,0,0,292,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/expr.jl,2
Mocking,@patch,1,1.0,0.0,1,0,0,493,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/patch.jl,7
Mocking,@mock,1,1.0,0.0,1,4,0,1045,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/mock.jl,1
Mocking,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/Mocking.jl,1
Mocking,anonymous_signature,1,0.0,0.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/dispatch.jl,25
Mocking,activated,1,1.0,1.0,1,0,0,36,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/Mocking.jl,23
Mocking,anonymous_signature,1,0.0,0.0,1,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/dispatch.jl,26
Mocking,apply!,2,1.0,0.5,1,0,0,168,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/patch.jl,54
Mocking,get_active_env,1,1.0,1.0,1,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/patch.jl,76
Mocking,anonymous_signature,1,0.0,0.0,1,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/dispatch.jl,27
Mocking,activate,1,1.0,1.0,1,0,0,114,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/Mocking.jl,21
Mocking,apply,38,0.0,0.0,3,0,0,196,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/patch.jl,60
Mocking,get_alternate,41,1.0,0.6341463414634146,1,0,1,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/mock.jl,55
Mocking,apply!,25,1.0,0.96,1,0,0,137,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/patch.jl,48
Mocking,extract_kwargs,1,1.0,0.0,1,0,0,467,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/expr.jl,16
Mocking,_debug_msg,114,1.0,0.5614035087719298,1,0,0,173,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mocking/depot/packages/Mocking/U41JO/src/mock.jl,57
