modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Mongoc,#append!#59,true,true,0,1,"Mongoc.BulkOperationResult{Union{Nothing, Mongoc.BSONObjectId}}","Nothing,Nothing,typeof(append!),Mongoc.Collection,Array{Mongoc.BSON,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/collection.jl,511
Mongoc,bson_iter_int32,true,false,0,1,Int32,Ref{Mongoc.BSONIter},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,182
Mongoc,_iterate,true,true,2,2,"Union{Nothing, Tuple{Mongoc.BSON,Nothing}}","Mongoc.Cursor{Mongoc.Database},Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/collection.jl,471
Mongoc,get_array,true,true,5,1,"Array{Any,1}","Base.RefValue{Mongoc.BSONIter},Type{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/bson.jl,534
Mongoc,bson_writer_new,true,true,0,1,Ptr{Nothing},"Base.RefValue{Ptr{UInt8}},Base.RefValue{UInt64},UInt64,Ptr{Nothing},Ptr{Nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,267
Mongoc,mongoc_collection_destroy,true,true,0,1,Nothing,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,563
Mongoc,#insert_many#52,true,true,3,1,"Mongoc.BulkOperationResult{Union{Nothing, Mongoc.BSONObjectId}}","Nothing,Nothing,typeof(Mongoc.insert_many),Mongoc.Collection,Array{Mongoc.BSON,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/collection.jl,157
Mongoc,set_opt_sort!,true,true,1,1,Nothing,"Mongoc.FindAndModifyOptsBuilder,Mongoc.BSON",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/collection.jl,381
Mongoc,mongoc_find_and_modify_opts_destroy,true,true,0,1,Nothing,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,703
Mongoc,read_bson,true,true,0,1,"Array{Mongoc.BSON,1}","Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/bson.jl,891
