modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Mongoc,bson_iter_int64,2,1.0,0.5,1,0,0,106,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,186
Mongoc,as_json,1,1.0,1.0,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/bson.jl,399
Mongoc,#insert_many#52,1,1.0,1.0,1,0,0,532,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/collection.jl,157
Mongoc,mongoc_session_opts_set_causal_consistency,1,1.0,1.0,1,0,0,129,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,467
Mongoc,bson_iter_int32,2,1.0,0.5,1,0,0,106,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,182
Mongoc,bson_append_int64,2,1.0,1.0,1,0,0,186,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,55
Mongoc,bson_destroy,1,1.0,1.0,1,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,128
Mongoc,drop,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/collection.jl,341
Mongoc,get_time,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/bson.jl,333
Mongoc,bson_iter_utf8,2,1.0,0.5,1,0,0,150,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Mongoc/depot/packages/Mongoc/ULDwF/src/c_api.jl,190
