modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
MusicManipulations,combine,true,true,0,1,Notes{Note},"Array{Notes{Note},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/general.jl,93
MIDI,#Notes#3,true,true,0,1,Notes{Note},"Int64,Type{Notes}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MIDI/tVTq4/src/note.jl,93
MusicManipulations,classify,true,true,0,1,Int64,"MoreVelNote,StepRange{Rational{Int64},Rational{Int64}},Int16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,58
MIDI,ismetaevent,true,true,0,1,Bool,UInt8,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MIDI/tVTq4/src/trackevent.jl,35
MusicManipulations,estimate_delay,true,true,5,1,Float64,"Notes{Note},StepRange{Rational{Int64},Rational{Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/data_handling/data_extraction.jl,107
MusicManipulations,_init_timeseries_vectors,true,true,2,1,"Tuple{Array{Float64,1},Array{Int64,1},Array{Int64,1}}","Notes{MoreVelNote},StepRange{Rational{Int64},Rational{Int64}},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/data_handling/timeseries.jl,101
MusicManipulations,classify,true,true,3,1,"Array{Int64,1}","Notes{Note},Array{Rational{Int64},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,63
MusicManipulations,scale_identification,true,true,9,2,"Union{Nothing, String}",Notes{Note},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/scale.jl,73
MusicManipulations,#timeseries#29,true,false,23,1,"Tuple{Array{Int64,1},Array{Union{Missing, Float64},1}}","Bool,Missing,typeof(timeseries),Notes{Note},Nothing,Function,StepRange{Rational{Int64},Rational{Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/data_handling/timeseries.jl,27
MIDI,readmetaevent,true,true,0,1,MetaEvent,"Int64,IOStream",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MIDI/tVTq4/src/trackevent.jl,37
MusicManipulations,quantize_duration!,true,true,3,1,Nothing,"Note,StepRange{Rational{Int64},Rational{Int64}},Int16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,114
MIDI,addevent_hint!,true,false,7,1,"Tuple{Int64,Int64}","MIDITrack,Int64,TrackEvent,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MIDI/tVTq4/src/miditrack.jl,161
MusicManipulations,timeseries,true,false,0,1,"Tuple{Array{Int64,1},Array{Union{Missing, Float64},1}}","Notes{MoreVelNote},Symbol,Function,UnitRange{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/data_handling/timeseries.jl,27
MusicManipulations,quantize!,true,true,0,1,Nothing,"MoreVelNote,StepRange{Rational{Int64},Rational{Int64}},Int16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,72
StaticArrays,transpose,true,true,0,1,"StaticArrays.SArray{Tuple{4,4},Int64,2,16}","StaticArrays.SArray{Tuple{4,4},Int64,2,16}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/StaticArrays/qd9eq/src/linalg.jl,53
MusicManipulations,quantize!,true,true,0,1,Nothing,"Note,Array{Rational{Int64},1},Int16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,72
MusicManipulations,quantize!,true,true,3,1,Nothing,"Notes{Note},Array{Rational{Int64},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,80
MusicManipulations,classify,true,true,0,1,Int64,"MoreVelNote,UnitRange{Int64},Int16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,58
MusicManipulations,isgrid,true,true,5,1,Bool,"Array{Rational{Int64},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,5
MusicManipulations,#timeseries#29,true,false,23,1,"Tuple{Array{Int64,1},Array{Union{Missing, Float64},1}}","Bool,Missing,typeof(timeseries),Notes{MoreVelNote},Symbol,Function,StepRange{Rational{Int64},Rational{Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/data_handling/timeseries.jl,27
MIDI,isMIDIevent,true,true,1,2,Bool,UInt8,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MIDI/tVTq4/src/trackevent.jl,80
MusicManipulations,quantize!,true,true,3,1,Nothing,"Notes{Note},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/MusicManipulations/Y2zbl/src/quantize.jl,80
StaticArrays,transpose,true,true,0,1,"StaticArrays.SArray{Tuple{3,3},Float64,2,9}","StaticArrays.SArray{Tuple{3,3},Float64,2,9}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MusicManipulations/depot/packages/StaticArrays/qd9eq/src/linalg.jl,53
