modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
MySQL.API,init,1,1.0,1.0,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/capi.jl,573
MySQL.API,@checksuccess,1,1.0,0.0,1,12,0,182,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/capi.jl,1
MySQL.API,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/API.jl,1
MySQL,setoptions!,1,1.0,1.0,1,0,0,131,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/MySQL.jl,103
MySQL.API,@checkstmtsuccess,1,1.0,0.0,1,12,0,182,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/papi.jl,1
MySQL.API,mysql_error,1,1.0,1.0,1,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/ccalls.jl,110
MySQL.API,mysql_options,1,1.0,1.0,1,0,0,194,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/ccalls.jl,362
MySQL.API,mysql_init,1,1.0,1.0,1,0,0,120,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/ccalls.jl,293
MySQL,#clientflags#3,1,1.0,1.0,1,0,0,466,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/MySQL.jl,74
MySQL,#connect#5,1,1.0,1.0,1,0,0,148,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/MySQL.jl,284
MySQL.API,@checknull,1,1.0,0.0,1,12,0,183,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/capi.jl,9
MySQL.API,@c,3,1.0,0.0,1,28,1,299,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/ccalls.jl,1
MySQL.API,connect,1,1.0,1.0,1,0,0,166,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/capi.jl,1132
MySQL,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/MySQL.jl,1
MySQL.API,setoption,1,1.0,1.0,1,0,0,472,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/capi.jl,964
MySQL,clientflags,1,1.0,1.0,1,0,0,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/MySQL.jl,74
MySQL.API,mysql_real_connect,1,1.0,1.0,1,0,0,403,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/ccalls.jl,401
MySQL,#setoptions!#4,1,1.0,1.0,1,0,0,2219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/MySQL.jl,103
MySQL.API,mysql_close,1,1.0,1.0,1,0,0,120,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/ccalls.jl,72
MySQL.API,mysql_errno,1,1.0,1.0,1,0,0,120,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MySQL/depot/packages/MySQL/pLoSZ/src/api/ccalls.jl,102
