modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
NCDatasets,nc_get_var!,true,true,0,1,Nothing,"Int32,Int32,Array{Int32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/netcdf_c.jl,698
NCDatasets,#defVar#39,false,false,0,1,"NCDatasets.CFVariable{_A,_B,_C,_D,_E} where _E where _D where _C where _B where _A","Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(defVar),NCDataset{Nothing},String,Array{_A,1} where _A<:Union{Missing, nctype} where nctype<:Union{DateTime, AbstractCFDateTime},Tuple{String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,177
NCDatasets,CFinvtransform,true,true,0,1,Float64,"DateTimeStandard,Float64,Nothing,Nothing,DateTimeStandard,Float64,Type{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,516
NCDatasets,defVar,false,false,0,1,"NCDatasets.CFVariable{_A,_B,_C,_D,_E} where _E where _D where _C where _B where _A","NCDataset{Nothing},String,Type{UInt16},Tuple{String,String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,108
NCDatasets,nc_def_vlen,true,true,0,0,Union{},"Int32,Array{Pair{String,Any},1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/netcdf_c.jl,446
NCDatasets,group,false,false,0,1,"NCDatasets.MFDataset{NCDataset{NCDataset{Nothing}},1,_A,_B,_C} where _C where _B where _A","NCDatasets.MFDataset{NCDataset{Nothing},1,NCDatasets.Attributes{NCDataset{Nothing}},NCDatasets.Dimensions{NCDataset{Nothing}},NCDatasets.Groups{NCDataset{Nothing}}},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/groupes.jl,53
NCDatasets,nc_def_grp,true,true,0,1,Int32,"Int32,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/netcdf_c.jl,371
NCDatasets,nc_put_var,true,false,2,2,Nothing,"Int32,Int32,Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/netcdf_c.jl,638
NCDatasets,#defVar#40,false,false,1,2,"NCDatasets.CFVariable{_A,_B,_C,_D,_E} where _E where _D where _C where _B where _A","Base.Iterators.Pairs{Symbol,_A,Tuple{Symbol,Symbol},_B} where _B where _A,typeof(defVar),NCDataset{NCDataset{Nothing}},String,Type{nctype} where nctype<:Union{Float32, Float64, Int16, Int32, Int64, Int8, UInt8},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,185
NCDatasets,_defVar,false,false,0,1,"NCDatasets.CFVariable{_A,_B,_C,_D,_E} where _E where _D where _C where _B where _A","NCDataset{Nothing},String,Array{Union{Missing, DateTimeJulian},1},Type{Float64},Tuple{String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,190
NCDatasets,add_offset,true,true,0,1,Nothing,"NCDatasets.CFVariable{Union{Missing, UInt32},2,NCDatasets.Variable{UInt32,2,NCDataset},NCDatasets.Attributes{NCDataset{Nothing}},NamedTuple{(:fillvalue, :scale_factor, :add_offset, :calendar, :time_origin, :time_factor),Tuple{UInt32,Nothing,Nothing,Nothing,Nothing,Nothing}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,451
NCDatasets,fillmode,false,false,0,1,"Tuple{Bool,Any}","NCDatasets.CFVariable{Union{Missing, Int64},2,NCDatasets.Variable{Int64,2,NCDataset},NCDatasets.Attributes{NCDataset{Nothing}},NamedTuple{(:fillvalue, :scale_factor, :add_offset, :calendar, :time_origin, :time_factor),Tuple{Int64,Nothing,Nothing,Nothing,Nothing,Nothing}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,447
NCDatasets,fillvalue,true,true,0,1,UInt8,Type{UInt8},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/dataset.jl,139
NCDatasets,chunking,true,false,0,1,"Tuple{Symbol,Array{Int64,1}}","NCDatasets.CFVariable{_A,_B,_C,_D,_E} where _E where _D where _C where _B where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,438
NCDatasets,chunking,true,true,0,1,"Tuple{Symbol,Array{Int64,1}}","NCDatasets.Variable{Float64,2,NCDataset}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/variable.jl,207
NCDatasets,CFtransform_offset,true,true,0,1,Float64,"Float64,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,484
NCDatasets,fromdate,true,true,0,1,UInt8,"UInt8,Nothing,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,499
NCDatasets,fromdate,true,true,0,1,Char,"Char,Nothing,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,499
NCDatasets,isfillvalue,true,true,0,1,Bool,"Int16,Int16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,470
NCDatasets,time_factor,true,true,0,1,Nothing,"NCDatasets.CFVariable{Int64,2,NCDatasets.Variable{Int64,2,NCDataset},NCDatasets.Attributes{NCDataset{Nothing}},NamedTuple{(:fillvalue, :scale_factor, :add_offset, :calendar, :time_origin, :time_factor),NTuple{6,Nothing}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,460
NCDatasets,#_defVar#41,false,false,6,1,"NCDatasets.CFVariable{_A,_B,_C,_D,_E} where _E where _D where _C where _B where _A","Array,Base.Iterators.Pairs,typeof(NCDatasets._defVar),NCDataset{Nothing},String,Type{nctype} where nctype<:Union{Float32, Float64, Int16, Int32, Int64, Int8, UInt8},Type,Tuple{String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,190
NCDatasets,#defVar#35,false,false,18,1,"NCDatasets.CFVariable{_A,_B,_C,_D,_E} where _E where _D where _C where _B where _A","Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(defVar),NCDataset,Any,Type{nctype} where nctype<:Union{Float32, Float64, Int16, Int32, Int64, Int8, UInt8},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,108
CFTime,daysinmonth,true,true,0,1,Int64,DateTimeStandard,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/CFTime/yEiDv/src/CFTime.jl,771
CFTime,datetuple,true,true,0,1,"NTuple{7,Int64}",DateTimeStandard,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/CFTime/yEiDv/src/CFTime.jl,356
NCDatasets,asdate,true,false,0,1,Missing,"Missing,Nothing,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,492
NCDatasets,#NCDataset#13,true,false,7,1,Nothing,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{NCDataset},var""#61#62"",String,Vararg{String,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/dataset.jl,283
NCDatasets,chunking,true,true,0,1,"Tuple{Symbol,Array{Int64,1}}","NCDatasets.CFVariable{Int16,2,NCDatasets.Variable{Int16,2,NCDataset},NCDatasets.Attributes{NCDataset{Nothing}},NamedTuple{(:fillvalue, :scale_factor, :add_offset, :calendar, :time_origin, :time_factor),NTuple{6,Nothing}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/cfvariable.jl,438
NCDatasets,_nc_check_size_put_vars,true,true,21,1,Nothing,"Int32,Int32,Array{Int64,1},Array{UInt32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NCDatasets/depot/packages/NCDatasets/eDnxY/src/netcdf_c.jl,824
