modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
NLPModels,jth_hess_residual,false,false,0,1,Any,"FeasibilityResidual,SubArray{T,1,P,I,L} where L where I where P where T,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/feasibility_residual.jl,102
NLPModels,jac_op!,false,false,3,1,LinearOperator{_A} where _A,"FeasibilityFormNLS{LLS},Array{T,1} where T,Array{Float64,1},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLPModels.jl,378
NLPModels,jtprod_residual,false,false,2,1,"Array{T,1} where T","FeasibilityFormNLS{NLSHS20},Array{T,1} where T,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLSModels.jl,218
NLPModels,obj,true,true,2,1,Float32,"FeasibilityFormNLS{NLSHS20},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/feasibility_form_nls.jl,95
NLPModels,hess_op_residual,true,true,1,1,LinearOperator{Float16},"LLS,Array{Float16,1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLSModels.jl,409
NLPModels,jtprod_residual,false,false,2,1,"Array{T,1} where T","FeasibilityFormNLS{MGH01},Array{T,1} where T,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLSModels.jl,218
NLPModels,jtprod!,true,true,3,1,"SubArray{Float64,1,Array{Float64,1},Tuple{UnitRange{Int64}},true}","ADNLSModel,SubArray{Float64,1,Array{Float64,1},Tuple{StepRange{Int64,Int64}},true},SubArray{Float64,1,Array{Float64,1},Tuple{Array{Int64,1}},false},SubArray{Float64,1,Array{Float64,1},Tuple{UnitRange{Int64}},true}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/autodiff_nlsmodel.jl,251
Main,jtprod!,true,true,3,1,"Array{Float64,1}","HS6,Array{Float64,1},Array{Float64,1},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/problems/hs6.jl,100
NLPModels,jac_structure_residual,true,true,0,1,"Tuple{Array{Int64,1},Array{Int64,1}}",NLSHS20,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLSModels.jl,143
Main,jtprod!,true,true,3,1,"Array{Float32,1}","MGH01Feas,Array{Float32,1},Array{Float32,1},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/nls_problems/mgh01.jl,130
