modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Main,jac_coord!,12,0.8333333333333334,0.6666666666666666,10,0,0,280,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/nls_problems/nlslc.jl,123
Main,hess_structure!,1,1.0,1.0,1,0,0,323,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/problems/hs10.jl,40
NLPModels,nls_meta,16,1.0,0.9375,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLSModels.jl,91
Main,jprod!,2,1.0,0.5,1,0,0,378,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/problems/hs6.jl,92
Main,jac_structure!,2,1.0,1.0,2,0,0,273,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/problems/hs11.jl,78
NLPModels,hess_residual,9,0.0,0.0,1,0,0,129,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/feasibility_residual.jl,88
TimerOutputs,push!,1,1.0,1.0,1,0,0,510,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/TimerOutputs/ZQ0rt/src/TimerOutput.jl,57
Main,hess_structure!,1,1.0,1.0,1,0,0,235,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/nls_problems/mgh01.jl,137
NLPModels,show_counters,6,1.0,0.16666666666666666,1,0,0,425,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/nlp_types.jl,227
NLPModels,neval_hess,9,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLPModels.jl,48
Main,jac_structure!,2,1.0,1.0,2,0,0,273,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/problems/hs10.jl,80
NLPModels,jac_op_residual,69,0.7971014492753623,0.782608695652174,5,0,0,499,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLSModels.jl,264
Main,residual!,12,0.8333333333333334,0.6666666666666666,10,0,0,329,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/test/nls_problems/mgh01.jl,26
NLPModels,#hess_op#117,68,0.8382352941176471,0.8235294117647058,5,0,0,403,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLPModels.jl,633
NLPModels,obj,56,0.8214285714285714,0.8214285714285714,5,0,0,226,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLSModels.jl,428
NLPModels,#hess_coord#109,100,0.82,0.57,8,0,0,402,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/NLPModels.jl,504
NLPModels,show_header,2,1.0,0.5,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/autodiff_model.jl,15
NLPModels,#hess_coord!#175,17,0.0,0.0,1,0,0,522,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/slack_model.jl,276
NLPModels,jac_coord_residual!,7,0.0,0.0,1,0,0,332,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/slack_model.jl,351
NLPModels,jtprod!,22,0.6818181818181818,0.3181818181818182,2,0,0,967,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/feasibility_form_nls.jl,185
NLPModels,unconstrained,1,1.0,1.0,1,0,0,82,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/nlp_types.jl,266
NLPModels,hess_structure!,2,0.5,0.5,2,0,0,494,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/feasibility_form_nls.jl,216
NLPModels,jac_coord_residual!,16,0.875,0.0,10,0,0,385,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/autodiff_nlsmodel.jl,142
NLPModels,hprod_residual!,49,0.8775510204081632,0.8163265306122449,6,0,0,516,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/autodiff_nlsmodel.jl,205
NLPModels,linearly_constrained,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLPModels/depot/packages/NLPModels/qvKtL/src/nlp_types.jl,296
