modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
MathOptInterface.Utilities,load_vector_of_variables,1,1.0,0.0,1,0,0,558,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/copy.jl,956
MathOptInterface.Utilities,_deleted_constraints,44,0.8409090909090909,0.2727272727272727,2,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,8
MathOptInterface.Utilities,extract_lower_bound,5,0.8,0.8,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,449
MutableArithmetics,_try_parse_idx_set,1,0.0,0.0,1,0,0,415,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MutableArithmetics/8xkW3/src/rewrite.jl,97
NLopt,xtol_rel,1,1.0,1.0,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/NLopt/ZmkH2/src/NLopt.jl,239
NLopt,min_objective!,3,1.0,0.6666666666666666,1,0,0,245,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/NLopt/ZmkH2/src/NLopt.jl,402
NLopt,force_stop,1,1.0,1.0,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/NLopt/ZmkH2/src/NLopt.jl,239
MathOptInterface,get,111,0.990990990990991,0.972972972972973,6,0,1,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/attributes.jl,292
MathOptInterface.Utilities,constraints,2,1.0,1.0,2,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,269
MathOptInterface.Utilities.DoubleDicts,typed_value,51,0.9411764705882353,0.9411764705882353,51,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/DoubleDicts.jl,87
MathOptInterface,is_set_by_optimize,9,1.0,0.7777777777777778,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/attributes.jl,1579
MathOptInterface.Utilities.DoubleDicts,init_inner_dict,51,1.0,0.9411764705882353,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/DoubleDicts.jl,168
MathOptInterface.Utilities,_set,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,181
MathOptInterface.Utilities,filter_variables,6,1.0,0.3333333333333333,1,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/functions.jl,993
MathOptInterface.Utilities,supports,2,1.0,0.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,301
MathOptInterface.Utilities,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/Utilities.jl,1
MathOptInterface.Utilities,_safe_get_result,51,0.0196078431372549,0.0196078431372549,2,0,0,396,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/mockoptimizer.jl,559
MathOptInterface.Utilities,#copy_to#240,1,0.0,0.0,1,0,0,200,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,223
MathOptInterface,get,112,0.8660714285714286,0.8660714285714286,25,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/attributes.jl,288
MathOptInterface.Utilities,canonicalize!,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/functions.jl,714
MathOptInterface.Utilities,set,40,1.0,1.0,1,0,0,140,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/vector_of_constraints.jl,95
MathOptInterface.Utilities.CleverDicts,add_item,40,1.0,1.0,40,0,0,200,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/CleverDicts.jl,127
NLopt,population,1,1.0,1.0,1,0,0,84,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/NLopt/ZmkH2/src/NLopt.jl,239
MathOptInterface,get_fallback,111,1.0,0.9099099099099099,1,0,1,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/attributes.jl,295
MathOptInterface.Utilities,add_constraint,11,0.9090909090909091,0.7272727272727273,9,0,0,497,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,492
NLopt,ftol_abs!,2,1.0,0.5,1,0,0,123,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/NLopt/ZmkH2/src/NLopt.jl,241
NLopt,qsym,1,1.0,0.0,1,0,1,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/NLopt/ZmkH2/src/NLopt.jl,232
MathOptInterface.Utilities,load,6,1.0,0.0,1,0,1,121,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/copy.jl,902
NLopt,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/NLopt/ZmkH2/src/NLopt.jl,1
MathOptInterface.Utilities,throw_if_upper_bound_set,11,1.0,0.7272727272727273,1,0,0,183,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,437
MathOptInterface.Utilities,supports,2,1.0,0.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,580
MathOptInterface.Utilities,supports,4,0.25,0.0,2,0,0,147,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,690
MathOptInterface.Utilities,map_indices,5,0.8,0.8,3,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/functions.jl,168
MathOptInterface.Utilities.CleverDicts,_inverse_hash,1,1.0,1.0,1,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NLopt/depot/packages/MathOptInterface/YDdD3/src/Utilities/CleverDicts.jl,112
