modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
NMF,nndsvd,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/initialization.jl,70
NMF,update_wh!,2,1.0,1.0,2,0,0,1956,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/multupd.jl,144
NMF,update_wh!,2,0.0,0.0,1,0,0,397,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/coorddesc.jl,138
NMF,adddiag!,1,1.0,1.0,1,0,0,401,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/utils.jl,15
NMF,_nndsvd!,2,1.0,0.0,1,0,0,1528,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/initialization.jl,25
NMF,pdrsolve!,1,1.0,1.0,1,0,0,120,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/utils.jl,72
NMF,prepare_state,2,1.0,1.0,2,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/multupd.jl,141
NMF,evaluate_objv,2,1.0,1.0,1,0,0,117,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/coorddesc.jl,87
NMF,evaluate_objv,2,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/multupd.jl,142
NMF,projgradnorm,4,0.5,0.5,3,0,0,417,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/alspgrad.jl,9
NMF,#alspgrad_updatew!#8,2,1.0,1.0,2,0,0,145,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/alspgrad.jl,232
NMF,prepare_state,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/projals.jl,60
NMF,pdsolve!,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/utils.jl,63
NMF,solve!,2,1.0,1.0,2,0,0,129,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/alspgrad.jl,391
NMF,scalepos!,3,1.0,1.0,1,0,0,333,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/initialization.jl,111
NMF,solve!,2,1.0,1.0,2,0,0,168,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/coorddesc.jl,47
NMF,posnegnorm,2,1.0,1.0,1,0,0,427,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/initialization.jl,97
NMF,_alspgrad_updateh!,4,1.0,0.0,2,0,0,9579,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/alspgrad.jl,86
NMF,nmf_skeleton!,11,1.0,0.0,2,0,0,8323,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/common.jl,40
NMF,prepare_state,2,1.0,1.0,2,0,0,78,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/coorddesc.jl,85
NMF,pdrsolve!,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/utils.jl,72
NMF,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/NMF.jl,1
NMF,evaluate_objv,1,1.0,1.0,1,0,0,335,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/projals.jl,62
NMF,scaleneg!,3,1.0,1.0,1,0,0,339,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/initialization.jl,122
NMF,projectnn!,4,1.0,1.0,1,0,0,279,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/utils.jl,34
NMF,#nnmf#15,1,0.0,0.0,1,0,0,1960,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/interf.jl,3
NMF,evaluate_objv,2,1.0,1.0,1,0,0,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/multupd.jl,78
NMF,update_wh!,1,1.0,1.0,1,0,0,483,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/projals.jl,73
NMF,_update_GreedyCD!,4,1.0,0.0,1,0,0,2950,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/greedycd.jl,91
NMF,update_wh!,2,1.0,1.0,2,0,0,1056,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/multupd.jl,80
NMF,set_w!,4,0.5,0.5,3,0,0,133,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/alspgrad.jl,63
NMF,#nndsvd#2,1,1.0,0.0,1,0,0,972,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/initialization.jl,70
NMF,#randinit#1,1,1.0,1.0,1,0,0,307,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/initialization.jl,4
NMF,solve!,2,1.0,1.0,2,0,0,140,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/greedycd.jl,31
NMF,nmf_checksize,2,1.0,1.0,1,0,0,237,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/common.jl,5
NMF,prepare_state,2,1.0,1.0,2,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/NMF/depot/packages/NMF/Ou6XC/src/multupd.jl,77
