modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Observables,#onany#10,true,true,0,1,"Array{Observables.ObserverFunction,1}","Bool,typeof(onany),Observables.MapUpdater{typeof(+),Int64},Observable{Int64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,346
Observables,on,true,true,0,1,Observables.ObserverFunction,"Observables.var""#21#24""{typeof(log),Observable{Float64},Base.RefValue{Bool}},Observable{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,189
Observables,onany,true,false,0,1,"Array{Observables.ObserverFunction,1}","Observables.MapUpdater{typeof(+),Int64},Observable{Int64},Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,346
Observables,#onany#10,true,true,0,1,"Array{Observables.ObserverFunction,1}","Bool,typeof(onany),Observables.MapUpdater{typeof(sqrt),Any},Observable{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,346
Observables,#onany#10,true,true,0,1,"Array{Observables.ObserverFunction,1}","Bool,typeof(onany),Observables.MapUpdater{typeof(+),Float32},Observable{Int64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,346
Observables,off,true,false,0,1,Bool,"Observable{Int64},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,208
Observables,#map!#11,true,true,1,1,Observable{Any},"Bool,typeof(map!),typeof(sqrt),Observable{Any},Observable{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,414
Observables,#onany#10,true,false,0,1,"Array{Observables.ObserverFunction,1}","Bool,typeof(onany),var""#26#29"",Observable{Int64},Vararg{Observable{Int64},N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,346
Observables,on,true,false,0,1,Observables.ObserverFunction,"Any,Observable{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,189
Observables,observe,false,false,0,1,Observable,Observable,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,53
Observables,onany,true,true,0,1,"Array{Observables.ObserverFunction,1}","Observables.MapUpdater{var""#42#50"",Any},Observable{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,346
Observables,#on#5,true,false,3,1,Observables.ObserverFunction,"Bool,typeof(on),Observables.var""#32#36""{Int64,Observable{Bool},Base.RefValue{Bool},Observables.var""#update!#35""{Observable{Int64},Observable{Int64},Observable{Bool},Base.RefValue{Bool}}},Observable{Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,189
Observables,connect!,true,true,0,1,Observable{String},"Observable{String},Observable{String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Observables/depot/packages/Observables/OFj0u/src/Observables.jl,440
