modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
OffsetArrays,no_offset_view,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,442
OffsetArrays,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,1
OffsetArrays,no_offset_view,3,1.0,1.0,3,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,438
OffsetArrays,_maybewrapoffset,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,79
OffsetArrays,offset_coerce,5,0.6,0.2,2,0,0,118,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/axes.jl,124
OffsetArrays,_indexlength,11,0.9090909090909091,0.9090909090909091,3,0,0,43,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,6
OffsetArrays,_no_offset_view,3,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,453
OffsetArrays,_no_offset_view,2,1.0,1.0,2,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,452
OffsetArrays,no_offset_view,17,1.0,1.0,13,0,0,88,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,443
OffsetArrays,_safe_searchsorted,1,1.0,1.0,1,0,0,564,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,460
OffsetArrays,offset_coerce,4,0.75,0.5,3,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/axes.jl,123
OffsetArrays,_convertTupleAbstractUnitRange,6,0.8333333333333334,0.8333333333333334,4,0,0,78,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,63
OffsetArrays,_checkindices,76,0.9473684210526315,0.6052631578947368,2,0,0,109,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,70
OffsetArrays,_maybewrapoffset,8,1.0,1.0,1,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,81
OffsetArrays,_no_offset_view,2,1.0,1.0,2,0,1,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,451
OffsetArrays,offset_coerce,5,0.6,0.6,3,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/axes.jl,132
OffsetArrays,_indexlength,3,0.6666666666666666,0.6666666666666666,3,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,7
OffsetArrays,_maybewrapoffset,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,78
OffsetArrays,_maybewrapaxes,9,1.0,1.0,3,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,76
OffsetArrays,_safe_searchsortedfirst,1,1.0,1.0,1,0,0,350,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,478
OffsetArrays,no_offset_view,4,1.0,1.0,4,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,445
OffsetArrays,_no_offset_view,1,1.0,1.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,448
OffsetArrays,_maybewrapaxes,3,1.0,1.0,3,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,75
OffsetArrays,no_offset_view,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/OffsetArrays.jl,446
OffsetArrays,_offset,38,0.8947368421052632,0.8947368421052632,3,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,10
OffsetArrays,_checkindices,267,0.9662921348314607,0.7640449438202247,3,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,69
OffsetArrays,_toAbstractUnitRanges,50,0.78,0.76,30,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,65
OffsetArrays,_convertTupleAbstractUnitRange,14,0.8571428571428571,0.8571428571428571,11,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,61
OffsetArrays,_indexoffset,2,1.0,1.0,1,0,0,35,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OffsetArrays/depot/packages/OffsetArrays/VCjrx/src/utils.jl,4
