modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
OnlineStats,classify,18,1.0,1.0,1,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/statlearn.jl,202
OnlineStats,#LinRegBuilder#72,1,1.0,1.0,1,0,0,95,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/linreg.jl,87
OnlineStats,fittransform!,1,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/pca.jl,141
OnlineStats,mean,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/distributions.jl,131
OnlineStats,value,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/stats.jl,667
OnlineStatsBase,var,2,0.5,0.5,2,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStatsBase/OqLB6/src/stats.jl,464
OnlineStats,mean,1,1.0,1.0,1,0,0,143,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/viz/khist.jl,96
OnlineStats,probs,1,1.0,1.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/stats.jl,633
OnlineStats,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/OnlineStats.jl,1
OnlineStatsBase,nobs,6,1.0,0.8333333333333334,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStatsBase/OqLB6/src/stats.jl,261
OnlineStats,nkeys,1,1.0,1.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/fasttree.jl,206
OnlineStats,_classify,2,1.0,1.0,1,0,0,387,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/fasttree.jl,223
OnlineStats,#FitBeta#43,1,1.0,1.0,1,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/distributions.jl,13
OnlineStats,nobs,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/distributions.jl,172
OnlineStats,predict,27,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/statlearn.jl,201
OnlineStats,mean,1,1.0,1.0,1,0,0,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/histograms.jl,29
OnlineStats,update!,1,1.0,1.0,1,0,0,370,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/algorithms.jl,177
OnlineStats,predict,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/linreg.jl,53
OnlineStats,nobs,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/distributions.jl,70
OnlineStats,value,1,1.0,1.0,1,0,0,111,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/viz/heatmap.jl,42
OnlineStatsBase,fit!,115,1.0,1.0,107,0,0,290,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStatsBase/OqLB6/src/OnlineStatsBase.jl,120
OnlineStats,probs,4,1.0,1.0,1,0,0,89,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/fasttree.jl,20
OnlineStats,area,1,1.0,1.0,1,0,0,263,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/histograms.jl,87
OnlineStats,#NBClassifier#49,2,0.0,0.0,2,0,0,109,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/nbclassifier.jl,80
StatsBase,autocov,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/StatsBase/DU1bT/src/signalcorr.jl,113
OnlineStats,updateβ!,6,1.0,1.0,1,0,0,444,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/statlearn.jl,226
OnlineStats,#KahanMean#74,1,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/kahan.jl,78
OnlineStats,#s53#22,1,1.0,0.0,1,7,0,92,none,0
OnlineStats,nkeys,2,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/fasttree.jl,141
OnlineStats,init!,1,1.0,1.0,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/algorithms.jl,76
OnlineStats,deriv,1,1.0,1.0,1,0,0,252,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/statlearn.jl,26
OnlineStats,classify,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/nbclassifier.jl,136
OnlineStats,nobs,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/stats.jl,550
OnlineStats,add_diag!,1,1.0,1.0,1,0,0,218,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/linreg.jl,106
OnlineStats,var,2,0.5,0.5,2,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/kahan.jl,212
OnlineStats,nobs,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/viz/mosaicplot.jl,19
OnlineStats,_original_estimator,2,1.0,1.0,1,0,0,528,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/stats.jl,295
OnlineStats,prox,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/statlearn.jl,38
OnlineStats,erf_approx,1,1.0,1.0,1,0,0,520,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/distributions.jl,142
OnlineStats,#FastForest#66,1,0.0,0.0,1,0,0,463,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/fasttree.jl,197
OnlineStats,#FastNode#56,1,0.0,0.0,1,0,0,156,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/fasttree.jl,8
OnlineStats,nobs,1,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/fasttree.jl,140
OnlineStats,index_to_key,1,1.0,1.0,1,0,0,259,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/nbclassifier.jl,126
Statistics,var,2,1.0,1.0,2,0,0,56,/build/source/usr/share/julia/stdlib/v1.5/Statistics/src/Statistics.jl,366
OnlineStats,#s53#26,1,1.0,0.0,1,7,0,103,none,0
OnlineStats,coef,2,1.0,1.0,1,0,0,221,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/linreg.jl,48
OnlineStats,coef,9,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/statlearn.jl,168
OnlineStats,#KMeans#28,1,0.0,0.0,1,0,0,135,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/stats.jl,403
OnlineStats,_multiplicities,2,1.0,1.0,1,0,0,276,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/stats.jl,328
OnlineStats,init!,1,1.0,1.0,1,0,0,128,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/algorithms.jl,102
OnlineStatsBase,mean,3,0.6666666666666666,0.3333333333333333,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStatsBase/OqLB6/src/stats.jl,465
OnlineStats,gradient!,54,1.0,1.0,1,0,0,270,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/statlearn.jl,170
OnlineStats,coef,1,1.0,1.0,1,0,0,112,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OnlineStats/depot/packages/OnlineStats/9qC5y/src/stats/linreg.jl,117
