modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
OpenStreetMapX,crop!,true,true,0,1,Nothing,"Dict{Int64,LLA},OpenStreetMapX.Bounds{LLA},Array{OpenStreetMapX.Way,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/crop.jl,55
OpenStreetMapX,distance,true,true,0,1,Float64,"ENU,ENU",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/points.jl,43
OpenStreetMapX,#find_route#83,true,false,18,1,"Array{Any,1}","Symbol,Function,Bool,Bool,typeof(find_route),MapData,Int64,Int64,SparseArrays.SparseMatrixCSC{Float64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/routing.jl,149
OpenStreetMapX,#parseOSM#5,true,true,0,1,OpenStreetMapX.OSMData,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(OpenStreetMapX.parseOSM),String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/parseMap.jl,59
OpenStreetMapX,calculate_distance,true,true,0,1,Float64,"MapData,SparseArrays.SparseMatrixCSC{Float64,Int64},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/routing.jl,142
OpenStreetMapX,distance,true,true,1,2,Float64,"Dict{Int64,ENU},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/intersections.jl,30
OpenStreetMapX,nearest_node,true,true,0,1,Int64,"MapData,ENU",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/nodes.jl,41
OpenStreetMapX,#find_route#83,true,false,18,1,"Array{Any,1}","Symbol,OpenStreetMapX.var""#94#95""{MapData},Bool,Bool,typeof(find_route),MapData,Int64,Int64,SparseArrays.SparseMatrixCSC{Float64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/routing.jl,149
OpenStreetMapX,getY,true,true,0,1,Float64,LLA,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/points.jl,20
OpenStreetMapX,#filter_roadways#28,true,true,0,1,"Array{OpenStreetMapX.Way,1}","Set{Int64},typeof(filter_roadways),Array{OpenStreetMapX.Way,1},Dict{String,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/OpenStreetMapX/depot/packages/OpenStreetMapX/pfbvr/src/classification.jl,28
