modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ZipFile,close,1,0.0,0.0,1,0,0,89,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/ZipFile/fdYkP/src/ZipFile.jl,337
PDFIO.PD,get_latin_charset_dict,1,1.0,1.0,1,0,0,240,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFontTables.jl,6
PDFIO.PD,merge_encoding!,2,1.0,1.0,1,0,0,216,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFonts.jl,59
PDFIO.PD,pdPageGetContentObjects,1,1.0,1.0,1,0,0,96,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPage.jl,110
PDFIO.Common,update!,1,1.0,1.0,1,0,0,114,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/LibCrypto.jl,224
PDFIO.PD,collect_object,1,1.0,0.0,1,0,0,187,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,193
PDFIO.PD,verify!,1,0.0,0.0,1,0,0,754,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDSignature.jl,21
PDFIO.Cos,decrypt!,3,1.0,1.0,2,0,0,114,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosCrypt.jl,213
PDFIO.Common,get_tempfilepath,1,0.0,0.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/Utils.jl,34
PDFIO.Common,chomp_space!,4,1.0,0.75,1,0,0,174,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/BufferParser.jl,10
PDFIO.PD,get_unicode_chars,3,1.0,0.3333333333333333,1,0,0,497,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFonts.jl,230
PDFIO.PD,populate_element,50,1.0,0.0,1,0,0,416,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,110
PDFIO.PD,get_outline_destination,3,1.0,0.0,1,0,0,670,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDOutline.jl,191
PDFIO.PD,offset_text_leading!,1,1.0,1.0,1,0,0,94,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,811
PDFIO.PD,update_page_tree,1,1.0,0.0,1,0,0,142,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDDocImpl.jl,84
PDFIO.Cos,decrypt,2,1.0,1.0,1,0,0,112,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosCrypt.jl,209
PDFIO.Cos,decode_lzw,3,1.0,0.6666666666666666,1,0,0,227,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosStream.jl,13
PDFIO.PD,get_page_contents,1,0.0,0.0,1,0,0,376,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPage.jl,230
PDFIO.PD,evalContent!,1,1.0,1.0,1,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,785
PDFIO.PD,load_objects,3,1.0,0.0,1,0,0,159,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,97
PDFIO.Cos,parse_unsignednumber,4,0.0,0.0,1,0,0,252,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosReader.jl,471
PDFIO.Common,reset,1,1.0,1.0,1,0,0,148,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/LibCrypto.jl,210
LibGit2,close,1,1.0,1.0,1,0,0,267,/build/source/usr/share/julia/stdlib/v1.5/LibGit2/src/types.jl,1033
PDFIO.PD,get_char,1,1.0,1.0,1,0,0,420,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFonts.jl,529
PDFIO.PD,populate_char_metrics,1,1.0,1.0,1,0,0,619,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFontMetrics.jl,74
PDFIO.PD,populate_doc_pages,1,1.0,1.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDDocImpl.jl,78
PDFIO.Cos,#cosDocOpen#15,6,1.0,0.0,1,0,0,710,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosDoc.jl,132
PDFIO.Cos,read_header,1,1.0,1.0,1,0,0,1009,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosDoc.jl,334
PDFIO.PD,pdDocGetPage,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDDocImpl.jl,25
PDFIO.PD,get_character_width,1,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFontMetrics.jl,216
PDFIO.PD,evalContent!,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,831
PDFIO.PD,pdPageGetCropBox,1,1.0,0.0,1,0,0,151,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPage.jl,81
PDFIO.PD,update_structure_tree!,1,1.0,0.0,1,0,0,427,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDDocImpl.jl,94
PDFIO.Common,init,1,1.0,0.0,1,0,0,709,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/LibCrypto.jl,272
PDFIO.PD,collect_inline_image,2,1.0,0.5,1,0,0,579,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,254
PDFIO.Common,get_signer_info_signing_time,1,1.0,1.0,1,0,0,770,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/LibCrypto.jl,511
PDFIO.PD,get_encoded_string,2,1.0,1.0,1,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFonts.jl,278
PDFIO.Common,ispdfdigit,1,1.0,1.0,1,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/bytes.jl,138
PDFIO.PD,evalContent!,1,1.0,1.0,1,0,0,277,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,714
PDFIO.PD,zapf_charset_encoding,1,0.0,0.0,1,0,0,44,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFontTables.jl,36
PDFIO.PD,warn_no_unicode_mapping,1,1.0,0.0,1,0,0,675,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,678
PDFIO.Cos,decode_filter,4,0.5,0.25,2,0,0,42,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosStream.jl,96
PDFIO.Cos,algo13,1,1.0,1.0,1,0,0,407,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/StdSecHandler.jl,299
PDFIO.PD,get_outline_destination,3,1.0,0.0,1,0,0,530,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDOutline.jl,218
PDFIO.PD,SPACE_CODE,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFonts.jl,424
PDFIO.Cos,cosDocIsEncrypted,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosDoc.jl,153
PDFIO.PD,get_character_code,2,1.0,1.0,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFonts.jl,521
PDFIO.Cos,cosDocGetRoot,1,0.0,0.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosDoc.jl,264
PDFIO.PD,collect_object,64,0.96875,0.96875,48,0,0,93,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPageElement.jl,125
PDFIO.PD,find_resource,2,0.0,0.0,2,0,0,1036,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDPage.jl,274
PDFIO.Cos,set!,4,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosObject.jl,370
PDFIO.Cos,UTF8ToPDFEncoding!,1,1.0,1.0,1,0,0,241,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/StdSecHandler.jl,11
PDFIO.Cos,decrypt,5,0.6,0.6,3,0,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosCrypt.jl,236
PDFIO.PD,populate_kern_pairs,1,1.0,1.0,1,0,0,541,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/PDFontMetrics.jl,99
PDFIO.Common,crypto_random,1,1.0,1.0,1,0,0,219,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/LibCrypto.jl,88
PDFIO.Common,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/Common.jl,1
PDFIO.Cos,algo03p_a_d,1,1.0,1.0,1,0,0,536,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/StdSecHandler.jl,177
PDFIO.Cos,get_key,2,1.0,1.0,1,0,0,149,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosCrypt.jl,75
PDFIO.Cos,get_cfm,2,0.0,0.0,1,0,0,188,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosCrypt.jl,33
PDFIO.Cos,parse_name,3,1.0,0.6666666666666666,1,0,0,583,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosReader.jl,54
PDFIO.Common,ispdfodigit,1,1.0,1.0,1,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/bytes.jl,143
PDFIO.Cos,read_object_info_from_stm,1,1.0,0.0,1,0,0,420,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/CosObjStream.jl,78
PDFIO.Common,chomp_eol!,1,1.0,1.0,1,0,0,125,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDFIO/depot/packages/PDFIO/FcFZB/src/BufferParser.jl,19
LibGit2,close,1,1.0,1.0,1,0,0,198,/build/source/usr/share/julia/stdlib/v1.5/LibGit2/src/types.jl,1067
