modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
PDMats,pdadd,true,true,0,1,"PDMat{Float32,Array{Float32,2}}","PDiagMat{Float32,Array{Float32,1}},PDMat{Float32,Array{Float32,2}},Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/addition.jl,59
PDMats,invquad!,true,true,0,1,"Array{Float32,1}","Array{Float32,1},PDMat{Float32,Array{Float32,2}},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/pdmat.jl,93
PDMats,_adddiag,true,true,0,1,"Array{Float64,2}","Array{Float64,2},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/utils.jl,51
PDMats,quad,true,true,0,1,Float32,"PDiagMat{Float32,Array{Float32,1}},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/pdiagmat.jl,97
PDMats,whiten!,true,true,0,1,"Array{Float32,2}","ScalMat{Float32},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/generics.jl,32
PDMats,unwhiten!,true,true,0,1,"Array{Float32,1}","Array{Float32,1},PDSparseMat{Float32,SparseMatrixCSC{Float32,Int64}},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/pdsparsemat.jl,63
PDMats,invquad,false,false,0,1,Any,"PDSparseMat{Float32,SparseMatrixCSC{Float32,Int64}},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/pdsparsemat.jl,72
PDMats,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/PDMats.jl,1
PDMats,whiten,true,true,0,1,"Array{Float32,2}","ScalMat{Float32},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/generics.jl,71
PDMats,whiten,true,true,0,1,"Array{Float64,1}","PDiagMat{Float64,Array{Float64,1}},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/generics.jl,71
PDMats,whiten,true,true,0,1,"Array{Float32,1}","PDMat{Float32,Array{Float32,2}},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/generics.jl,71
PDMats,quad,true,true,2,1,"Array{Float32,1}","PDMat{Float32,Array{Float32,2}},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/generics.jl,85
PDMats,Xt_A_X,true,true,2,1,"Array{Float32,2}","ScalMat{Float32},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/scalmat.jl,88
PDMats,invquad,true,true,2,1,"Array{Float32,1}","PDSparseMat{Float32,SparseMatrixCSC{Float32,Int64}},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/generics.jl,101
PDMats,quad!,true,true,0,1,"Array{Float32,1}","Array{Float32,1},ScalMat{Float32},Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/scalmat.jl,77
PDMats,pdadd!,true,true,4,1,"Array{Float32,2}","Array{Float32,2},Array{Float32,2},PDSparseMat{Float32,SparseMatrixCSC{Float32,Int64}},Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/pdsparsemat.jl,41
PDMats,unwhiten,true,true,0,1,"Array{Float32,1}","PDMat{Float32,Array{Float32,2}},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/generics.jl,72
PDMats,invquad!,true,true,0,1,"Array{Float64,1}","Array{Float64,1},PDMat{Float64,Array{Float64,2}},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/pdmat.jl,93
PDMats,unwhiten!,true,true,0,1,"Array{Float64,1}","Array{Float64,1},PDSparseMat{Float64,SparseMatrixCSC{Float64,Int64}},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PDMats/depot/packages/PDMats/Rw2Hf/src/pdsparsemat.jl,63
