modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Colors,find_maximum_chroma,1,1.0,1.0,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/Colors/yDxFN/src/algorithms.jl,255
ColorTypes,eltype_ub,18,1.0,1.0,2,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/ColorTypes/6m8P7/src/types.jl,556
ColorTypes,checkval,48,1.0,1.0,1,0,0,476,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/ColorTypes/6m8P7/src/types.jl,656
PGFPlotsX,expand_errors,2,1.0,1.0,1,0,1,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/PGFPlotsX/qM8D5/src/axiselements.jl,182
Colors,cnvt,4,1.0,1.0,2,0,0,213,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/Colors/yDxFN/src/conversions.jl,513
Colors,#colormap#31,1,1.0,1.0,1,0,0,1655,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/Colors/yDxFN/src/colormaps.jl,283
PGFPlotsX,print_tex,1,1.0,1.0,1,0,0,160,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/PGFPlotsX/qM8D5/src/axiselements.jl,521
PGFPlotsX,#TableData#40,2,1.0,1.0,1,0,0,154,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/PGFPlotsX/qM8D5/src/axiselements.jl,399
PGFPlotsX,print_tex,19,1.0,1.0,1,0,1,115,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/PGFPlotsX/qM8D5/src/PGFPlotsX.jl,46
ColorTypes,comp4,9,1.0,1.0,4,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/ColorTypes/6m8P7/src/traits.jl,99
ColorTypes,show_colorant_string_with_eltype,87,1.0,1.0,1,0,0,332,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/ColorTypes/6m8P7/src/show.jl,51
ColorTypes,_rem,14,0.9285714285714286,0.9285714285714286,7,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/ColorTypes/6m8P7/src/types.jl,740
ColorTypes,blue,1,1.0,1.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/ColorTypes/6m8P7/src/traits.jl,28
ColorTypes,_AGray32,1,1.0,1.0,1,0,0,137,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PGFPlotsX/depot/packages/ColorTypes/6m8P7/src/types.jl,405
