modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
POMCPOW,push_anode!,6,1.0,1.0,1,0,0,439,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/tree.jl,41
POMCPOW,make_tree,8,1.0,0.75,6,0,0,233,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/planner2.jl,57
POMCPOW,#POMCPOWSolver#2,2,1.0,1.0,1,0,0,131,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/Parameters/cGriM/src/Parameters.jl,520
POMCPOW,simulate,8,0.75,0.0,2,0,0,4267,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/solver2.jl,1
POMCPOW,isroot,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/tree.jl,61
POMCPOW,select_best,6,1.0,1.0,1,0,0,516,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/criteria.jl,44
MCTS,init_Q,6,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/MCTS/ww2qH/src/domain_knowledge.jl,69
POMCPOW,#action_info#5,8,1.0,0.0,2,0,0,496,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/planner2.jl,27
POMCPOW,#D3Tree#9,1,1.0,0.0,1,0,0,5899,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/visualization.jl,20
POMCPOW,belief_type,3,1.0,1.0,3,0,0,86,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/beliefs.jl,27
POMCPOW,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/POMCPOW.jl,1
POMCPOW,belief,1,0.0,0.0,1,0,0,150,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/tree.jl,62
POMCPOW,search,1,1.0,1.0,1,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/planner2.jl,67
MCTS,init_Q,4,0.0,0.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/MCTS/ww2qH/src/domain_knowledge.jl,68
POMCPOW,select_best,6,1.0,1.0,1,0,0,516,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/criteria.jl,61
MCTS,init_N,4,0.0,0.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/MCTS/ww2qH/src/domain_knowledge.jl,77
MCTS,init_N,6,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/MCTS/ww2qH/src/domain_knowledge.jl,78
POMCPOW,init_node_sr_belief,3,1.0,1.0,3,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/beliefs.jl,29
POMCPOW,search,8,1.0,0.75,2,0,0,804,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/planner2.jl,67
POMCPOW,select_best,6,1.0,1.0,1,0,0,1012,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/criteria.jl,5
POMCPOW,push_weighted!,3,1.0,1.0,1,0,0,156,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/POMCPOW/depot/packages/POMCPOW/SFRWi/src/beliefs.jl,31
