modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
ParallelDataTransfer,#include_remote#16,true,false,0,1,Nothing,"Any,typeof(include_remote),String,Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,80
ParallelDataTransfer,#passobj#13,true,true,0,1,Nothing,"Module,Module,typeof(passobj),Int64,Int64,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,50
ParallelDataTransfer,include_remote,true,true,0,1,Nothing,"String,Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,80
ParallelDataTransfer,@passobj,true,false,0,1,Expr,"LineNumberNode,Module,Int64,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,43
ParallelDataTransfer,#sendto#3,true,false,4,1,Nothing,"Base.Iterators.Pairs{Symbol,Any,Tuple{Symbol,Symbol},NamedTuple{(:x, :y),Tuple{Int64,Array{Float64,2}}}},typeof(sendto),Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,8
ParallelDataTransfer,sendtosimple,true,true,1,1,Future,"Int64,Symbol,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,4
ParallelDataTransfer,getfrom,false,false,0,1,Any,"Int64,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,23
ParallelDataTransfer,#sendto#15,true,true,4,1,Nothing,"Base.Iterators.Pairs{Symbol,Array{Bar,1},Tuple{Symbol},NamedTuple{(:bar_vec,),Tuple{Array{Bar,1}}}},typeof(sendto),Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,62
ParallelDataTransfer,#sendto#3,true,true,4,1,Nothing,"Base.Iterators.Pairs{Symbol,Array{Bar,1},Tuple{Symbol},NamedTuple{(:bar_vec,),Tuple{Array{Bar,1}}}},typeof(sendto),Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,8
ParallelDataTransfer,@defineat,true,false,0,1,Expr,"LineNumberNode,Module,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,25
ParallelDataTransfer,#passobj#13,true,false,0,1,Nothing,"Module,Any,typeof(passobj),Int64,Int64,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,50
ParallelDataTransfer,#sendto#15,true,true,4,1,Nothing,"Base.Iterators.Pairs{Symbol,Array{Float64,2},Tuple{Symbol},NamedTuple{(:z,),Tuple{Array{Float64,2}}}},typeof(sendto),Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,62
ParallelDataTransfer,@getfrom,true,false,0,1,Expr,"LineNumberNode,Module,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,14
ParallelDataTransfer,#passobj#8,true,false,5,1,Nothing,"Any,Any,typeof(passobj),Int64,Array{Int64,1},Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,33
ParallelDataTransfer,#include_remote#16,true,false,0,1,Nothing,"Any,typeof(include_remote),String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,80
ParallelDataTransfer,include_remote,true,true,0,1,Nothing,"String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,80
ParallelDataTransfer,passobj,true,true,0,1,Nothing,"Int64,Int64,Array{Symbol,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,55
ParallelDataTransfer,#passobj#14,true,false,3,1,Nothing,"Any,Any,typeof(passobj),Int64,Int64,Array{Symbol,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,55
ParallelDataTransfer,@passobj,true,false,0,1,Expr,"LineNumberNode,Module,Int64,Any,Any,Symbol,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,43
ParallelDataTransfer,#passobj#8,true,true,5,1,Nothing,"Module,Module,typeof(passobj),Int64,Array{Int64,1},Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,33
ParallelDataTransfer,@broadcast,true,false,0,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,68
ParallelDataTransfer,getfrom,false,false,1,1,Any,"Int64,Symbol,Module",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ParallelDataTransfer/depot/packages/ParallelDataTransfer/2ZVi2/src/ParallelDataTransfer.jl,23
