modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Parameters,start,true,true,0,1,Int64,Parameters.Lines,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,57
Parameters,with_kw_nt,true,false,8,1,Expr,"Expr,Module",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,588
Parameters,reconstruct,true,true,4,1,"Dict{Symbol,Int64}","Dict{Symbol,Int64},Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:c,),Tuple{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,reconstruct,true,false,7,1,"MT4{Float64,Int64}","MT4{Float64,Int64},Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,symbol_in,true,true,0,1,Bool,"Symbol,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,126
Parameters,symbol_in,true,true,0,1,Bool,"Array{Symbol,1},Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,135
Parameters,reconstruct,true,false,6,1,"NamedTuple{(:a, :b),Tuple{Int64,Int64}}","NamedTuple{(:a, :b),Tuple{Int64,Int64}},Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:b,),Tuple{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,reconstruct,true,false,7,1,"MT6{Float64,Int64}","MT6{Float64,Int64},Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,reconstruct,true,false,7,1,"MT4{Float64,Int64}","MT4{Float64,Int64},Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:a,),Tuple{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,reconstruct,true,false,7,1,A8679,"A8679,Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:c,),Tuple{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,symbol_in,true,false,0,1,"Union{Missing, Bool}","Symbol,Array{T,1} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,134
Parameters,symbol_in,true,false,0,1,"Union{Missing, Bool}","Array{_A,1} where _A,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,135
Parameters,stripsubtypes,true,true,0,1,Symbol,Symbol,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,151
Parameters,reconstruct,true,false,7,1,"MT5{Float64,Int64}","MT5{Float64,Int64},Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:a,),Tuple{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,done,true,true,1,2,Bool,"Parameters.Lines,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,71
Parameters,reconstruct,true,false,7,1,"MT5{Float64,Int64}","MT5{Float64,Int64},Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,with_kw,true,true,0,1,Expr,"Expr,Module",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,304
Parameters,symbol_in,true,true,0,1,"Union{Missing, Bool}","Symbol,Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,134
Parameters,symbol_in,true,true,0,1,Bool,"Symbol,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,127
Parameters,symbol_in,true,false,4,2,Bool,"Symbol,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,127
Parameters,reconstruct,true,false,6,1,"NamedTuple{(:a, :b),Tuple{Int64,Int64}}","NamedTuple{(:a, :b),Tuple{Int64,Int64}},Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:c,),Tuple{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,symbol_in,true,false,0,1,"Union{Missing, Bool}","Array{T,1} where T,Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,135
Parameters,_pack_mutable,false,false,0,1,Any,"Symbol,Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,256
Parameters,@with_kw,true,false,0,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,632
Parameters,@consts,true,false,9,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,666
Parameters,reconstruct,true,false,7,1,"MT8{Float64,Int64}","MT8{Float64,Int64},Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,reconstruct,true,true,4,1,"Dict{Symbol,Int64}","Dict{Symbol,Int64},Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:b,),Tuple{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,_pack_new,false,false,0,1,Any,"Type{T} where T,Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,261
Parameters,symbol_in,true,true,0,1,Bool,"Symbol,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,127
Parameters,#reconstruct#5,true,true,0,1,"NamedTuple{(:a, :b),Tuple{Int64,Int64}}","Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:b,),Tuple{Int64}}},typeof(reconstruct),NamedTuple{(:a, :b),Tuple{Int64,Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,242
UnPack,@pack!,true,false,0,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/UnPack/EkESO/src/UnPack.jl,139
Parameters,stripsubtypes,false,false,0,1,"Array{_A,1} where _A","Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,155
Parameters,keep_only_typparas,true,false,10,1,"Array{Any,1}","Array{Any,1},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,107
Parameters,reconstruct,false,false,7,1,Any,"MT11,AbstractDict",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,check_inner_constructor,true,false,8,1,Nothing,Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,157
Parameters,done,true,false,1,2,Bool,"Parameters.Lines,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,71
Parameters,#reconstruct#5,true,true,0,1,"Dict{Symbol,Int64}","Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:b,),Tuple{Int64}}},typeof(reconstruct),Dict{Symbol,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,242
Parameters,symbol_in,true,true,0,1,Bool,"Array{Symbol,1},Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,135
Parameters,with_kw,true,false,99,2,Expr,"Expr,Module,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,304
Parameters,#reconstruct#5,true,true,0,1,"Dict{Symbol,Int64}","Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:c,),Tuple{Int64}}},typeof(reconstruct),Dict{Symbol,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,242
Parameters,@with_kw_noshow,true,false,0,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,656
Parameters,symbol_in,true,false,4,2,Bool,"Symbol,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,128
Parameters,reconstruct,true,false,7,1,A8679,"A8679,Base.Iterators.Pairs{Symbol,Int64,Tuple{Symbol},NamedTuple{(:b,),Tuple{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,223
Parameters,type2dict,true,true,3,1,"Dict{Symbol,Any}",PropertyExample,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parameters/depot/packages/Parameters/cGriM/src/Parameters.jl,192
