modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Parsers,overflow,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/utils.jl,74
Parsers,#Options#3,9,0.0,0.0,8,0,0,111,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/Parsers.jl,123
Parsers,checksentinel,2,1.0,0.5,1,0,0,458,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/utils.jl,98
Parsers,pow5invsplit_lookup,1,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,663
Parsers,xparse,77,0.8441558441558441,0.6493506493506493,14,0,0,12246,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/Parsers.jl,176
Parsers,log10pow5,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,571
Parsers,peekbyte,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/utils.jl,218
Parsers,peekbyte,3,1.0,1.0,1,0,0,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/utils.jl,219
Parsers,writeshortest,3,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,38
Parsers,xparse,2,1.0,1.0,2,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/Parsers.jl,169
Parsers,checkdelim!,5,1.0,1.0,1,0,0,955,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/Parsers.jl,649
Parsers,fastseek!,1,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/utils.jl,176
Parsers,overflowval,5,1.0,1.0,5,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ints.jl,3
Parsers,pow5_inv_bitcount,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,558
Parsers,exponent_max,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,29
Parsers,scale,27,1.0,1.0,3,0,0,661,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/floats.jl,394
Parsers,pow5invsplit,4,0.75,0.75,4,0,0,237,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,651
Parsers,pow10,3,1.0,1.0,1,0,0,105,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/floats.jl,392
Parsers,exponent_bias,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,27
Parsers,mulshift,3,1.0,1.0,2,0,0,214,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,574
Parsers,decimallength,1,1.0,1.0,1,0,0,625,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,597
Parsers,text,2,1.0,0.5,1,0,0,760,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/utils.jl,227
Parsers,writeshortest,3,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,38
Parsers,tryparse,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/Parsers.jl,137
Parsers,pow5split_lookup,1,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,677
Parsers,decimallength,1,1.0,1.0,1,0,0,165,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,627
Parsers,pow5invsplit_lookup,1,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,663
Parsers,exponent_max,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,29
Parsers,default,3,1.0,1.0,3,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/Parsers.jl,145
Parsers,writeshortest,3,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,38
Parsers,_parseexp,60,0.8,0.7,4,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/floats.jl,341
Parsers,ten,2,1.0,1.0,2,0,0,45,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/floats.jl,25
Parsers,xparse,1,0.0,0.0,1,0,0,496,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/Parsers.jl,751
Parsers,xparse,1,1.0,1.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/Parsers.jl,176
Parsers,_muladd,2,1.0,0.5,1,0,0,131,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/floats.jl,31
Parsers,ten,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/floats.jl,27
Parsers,ascii_lc,1,1.0,1.0,1,0,0,91,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/dates.jl,158
Parsers,writeshortest,3,1.0,0.0,1,0,0,8034,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,280
Parsers,checkdelim,4,1.0,1.0,2,0,0,293,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/utils.jl,115
Parsers,qbound,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/ryu.jl,567
Parsers,sentinel,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Parsers/depot/packages/Parsers/2MBHI/src/utils.jl,67
