modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
PencilArrays,pencil_type,false,false,0,1,Type{P} where P<:Pencil,"Type{PencilArray{T,N,A,Np,E,P}} where P<:Pencil where E where Np where A<:AbstractArray{T,N} where N where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/arrays.jl,124
PencilArrays,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/PencilArrays.jl,1
PencilArrays.PencilIO,eval,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/PencilIO/PencilIO.jl,1
PencilFFTs,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilFFTs/yAAXf/src/PencilFFTs.jl,1
PencilArrays.Pencils,permutation,false,false,0,1,Any,"Type{var""#s38""} where var""#s38""<:Pencil{N,M,P}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/Pencils/Pencils.jl,289
PencilArrays,permutation,false,false,0,1,"Union{NoPermutation, Permutation{_A,_B} where _B where _A}","PencilArray{T,N,A,Np,E,P} where P<:Pencil where E where Np where A<:AbstractArray{T,N} where N where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/arrays.jl,448
PencilArrays,ndims_extra,false,false,0,1,Any,"Type{PencilArray{T,N,A,Np,E,P}} where P<:Pencil where E where Np where A<:AbstractArray{T,N} where N where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/arrays.jl,347
PencilArrays.PencilIO,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/PencilIO/PencilIO.jl,1
PencilArrays.Pencils,eval,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/Pencils/Pencils.jl,1
PencilFFTs.Transforms,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilFFTs/yAAXf/src/Transforms/Transforms.jl,11
PencilArrays.Pencils,_instanceof,false,false,0,1,"Permutation{_A,_B} where _B where _A",Type{T<:StaticPermutations.AbstractPermutation},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/Pencils/Pencils.jl,291
PencilFFTs,eval,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilFFTs/yAAXf/src/PencilFFTs.jl,1
PencilArrays,permutation,false,false,0,1,"Union{NoPermutation, Permutation{_A,_B} where _B where _A}","Type{PencilArray{T,N,A,Np,E,P}} where P<:Pencil where E where Np where A<:AbstractArray{T,N} where N where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/arrays.jl,441
PencilArrays.PencilIO,__init__,false,false,1,2,Any,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/PencilIO/PencilIO.jl,77
PencilArrays,permutation,false,false,0,1,Any,"OffsetArrays.OffsetArray{T,N,A} where A<:PencilArray where N where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/global_view.jl,28
PencilArrays,eval,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/PencilArrays.jl,1
PencilArrays.Pencils,_instanceof,false,false,0,1,"Permutation{_A,_B} where _B where _A","Type{var""#s38""} where var""#s38""<:(Permutation{p,N} where N)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/Pencils/Pencils.jl,292
PencilArrays.Pencils,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PencilFFTs/depot/packages/PencilArrays/tVW8v/src/Pencils/Pencils.jl,1
