modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
PkgBenchmark,_update_col_widths!,2,1.0,0.5,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/util.jl,49
PkgBenchmark,writeresults,1,1.0,1.0,1,0,0,94,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/benchmarkresults.jl,53
PkgBenchmark,export_markdown,2,1.0,0.5,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/benchmarkjudgement.jl,62
PkgBenchmark,benchmarkpkg,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/runbenchmark.jl,44
PkgBenchmark,_shastring,2,1.0,0.5,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/util.jl,34
PkgBenchmark,benchmarkgroup,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/benchmarkresults.jl,29
PkgBenchmark,_idrepr,2,1.0,0.5,1,0,0,118,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/util.jl,44
PkgBenchmark,_withcommit,5,0.6,0.2,2,0,0,152,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/util.jl,15
PkgBenchmark,#export_markdown#13,2,1.0,0.0,1,0,0,2225,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/benchmarkjudgement.jl,62
PkgBenchmark,_intpercent,1,1.0,1.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgBenchmark/depot/packages/PkgBenchmark/zKgzD/src/util.jl,45
