modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
PkgMirrors.Utils,current,1,1.0,1.0,1,0,0,43,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/utils.jl,7
PkgMirrors.Utils,setcache,1,1.0,1.0,1,0,1,242,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/utils.jl,13
PkgMirrors.Utils,replace_in_file,1,1.0,0.0,1,0,1,121,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/utils.jl,48
PkgMirrors.PKG,get_registry_list,1,1.0,0.0,1,0,0,801,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/pkg.jl,9
PkgMirrors.PKG,activate,1,0.0,0.0,1,0,0,1276,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/pkg.jl,21
PkgMirrors.Utils,download_cache,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/utils.jl,44
PkgMirrors,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/PkgMirrors.jl,2
PkgMirrors.Utils,delcache,1,1.0,1.0,1,0,1,110,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/utils.jl,37
PkgMirrors,__init__,1,0.0,0.0,1,0,0,181,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/PkgMirrors.jl,27
PkgMirrors.Utils,__init__,1,0.0,0.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/utils.jl,54
PkgMirrors.API,activated,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/api.jl,63
PkgMirrors.API,#activate#1,1,1.0,0.0,1,0,0,2130,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/api.jl,28
PkgMirrors.API,clear,1,1.0,0.0,1,0,0,682,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/api.jl,56
PkgMirrors.Utils,getcache,1,0.0,0.0,1,0,1,248,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/utils.jl,27
PkgMirrors.API,setmirror,2,1.0,0.0,1,0,0,804,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/api.jl,10
PkgMirrors.PKG,deactivate,1,0.0,0.0,1,0,0,1131,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/pkg.jl,59
PkgMirrors.Utils,cachefile,1,1.0,1.0,1,0,1,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/utils.jl,11
PkgMirrors.API,deactivate,1,1.0,0.0,1,0,0,1319,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/api.jl,45
PkgMirrors.API,setmirror,1,1.0,1.0,1,0,0,96,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/api.jl,23
PkgMirrors.API,availables,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PkgMirrors/depot/packages/PkgMirrors/UL7au/src/api.jl,8
