modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
JuMP,_valid_model,4,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/JuMP/Xrr7O/src/macros.jl,69
JuMP,mutable_operate!,1,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/JuMP/Xrr7O/src/mutable_arithmetics.jl,196
MathOptInterface.Utilities,_get_single_variable_set,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,685
MathOptInterface.Utilities,mapreduce_constraints,2,1.0,1.0,1,0,0,355,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,248
MathOptInterface.Bridges,supports_bridging_constrained_variable,1,1.0,0.0,1,0,0,238,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/MathOptInterface/YDdD3/src/Bridges/lazy_bridge_optimizer.jl,388
JuMP.Containers,_broadcast_axes,1,1.0,1.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/JuMP/Xrr7O/src/Containers/DenseAxisArray.jl,351
Plasmo,CombinedModel,1,1.0,1.0,1,0,0,109,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/Plasmo/7WRfZ/src/combine.jl,29
JuMP,parse_one_operator_constraint,5,0.2,0.0,2,0,0,686,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/JuMP/Xrr7O/src/indicator.jl,33
MathOptInterface.Utilities,_get,1,0.0,0.0,1,0,0,139,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,257
JuMP,_check_expr,1,1.0,0.0,1,0,0,265,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/JuMP/Xrr7O/src/parse_nlp.jl,576
MathOptInterface.Utilities,xor_indices,10,0.8,0.8,9,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/MathOptInterface/YDdD3/src/Utilities/mockoptimizer.jl,62
MathOptInterface.Utilities,set,48,1.0,1.0,2,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,529
MathOptInterface.Utilities,delete,40,1.0,1.0,1,0,0,95,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/MathOptInterface/YDdD3/src/Utilities/vector_of_constraints.jl,68
JuMP,moi_mode,2,1.0,0.5,1,0,0,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/JuMP/Xrr7O/src/JuMP.jl,359
MathOptInterface.Utilities,delete,1,1.0,0.0,1,0,0,1166,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Plasmo/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,223
