modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Porta,normalize,false,false,0,1,Any,Quaternion,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/geometry/s3.jl,76
Porta,normalize,false,false,0,1,Any,ℝ⁴,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/linearalgebra/abstractvectorspace.jl,37
Porta,#constructframe#32,true,true,6,1,"Array{ℝ³,2}","Quaternion,Biquaternion,Int64,typeof(constructframe),U1,typeof(σmap),typeof(s2tos2map′)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/ui/body.jl,147
Porta,getsurface,true,true,6,1,"Array{ℝ³,2}","Tuple{Observables.Observable{Array{Float64,2}},Observables.Observable{Array{Float64,2}},Observables.Observable{Array{Float64,2}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/ui/ui.jl,24
Porta,#constructsphere#23,true,true,6,1,"Array{ℝ³,2}","Int64,typeof(constructsphere),Biquaternion,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/ui/body.jl,54
Porta,#constructtriad#17,true,true,0,1,"Array{ℝ³,1}","Float64,typeof(constructtriad),Biquaternion",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/ui/body.jl,16
Porta,rotate,true,true,0,1,Quaternion,"Quaternion,Quaternion",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/geometry/rotations.jl,6
Porta,update,true,true,0,1,"Array{Float64,2}","Whirl,Biquaternion",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/ui/whirl.jl,160
Porta,norm,false,false,0,1,Any,Biquaternion,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/geometry/biquaternions.jl,72
Porta,τmap,true,false,0,1,Quaternion,ComplexLine,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Porta/depot/packages/Porta/rd4sd/src/bundles/clifford.jl,69
