modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
PowerSystems,#parse_matlab_string#364,1,0.0,0.0,1,0,0,2723,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/parsers/im_io/matlab.jl,16
CategoricalArrays,getindex,2,0.0,0.0,2,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/CategoricalArrays/Fr04b/src/pool.jl,48
MathOptInterface.Bridges.Variable,added_constraint_types,1,1.0,1.0,1,0,0,123,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Bridges/Variable/rsoc_to_psd.jl,81
PowerSimulations,construct_device!,2,1.0,0.5,1,0,0,288,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/devices_models/device_constructors/hydrogeneration_constructor.jl,115
Dates,floorceil,1,1.0,1.0,1,0,0,131,/build/source/usr/share/julia/stdlib/v1.5/Dates/src/rounding.jl,190
PowerSimulations,#read_parameters#167,3,1.0,0.3333333333333333,1,0,0,230,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/core/simulation_results.jl,308
PowerSimulations,service_requirement_constraint!,2,1.0,0.0,1,0,0,1564,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/services_models/reserves.jl,75
MathOptInterface.Utilities,_keep_all,6,1.0,0.5,1,0,0,87,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Utilities/functions.jl,956
InfrastructureSystems,get_initial_times,1,0.0,0.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/InfrastructureSystems/8EVMR/src/scenarios.jl,208
PowerSimulations,get_settings,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/core/optimization_container.jl,250
Dates,tons,1,1.0,1.0,1,0,0,46,/build/source/usr/share/julia/stdlib/v1.5/Dates/src/periods.jl,466
MathOptInterface.Utilities,add_constraint,15,0.7333333333333333,0.7333333333333333,10,0,0,398,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,661
PowerSimulations,construct_device!,4,1.0,0.5,1,0,0,449,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/devices_models/device_constructors/thermalgeneration_constructor.jl,234
MathOptInterface.Utilities,copy_constraints,63,1.0,0.5396825396825397,1,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Utilities/copy.jl,401
MathOptInterface,_instantiate_and_check,2,0.0,0.0,1,0,0,250,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/instantiate.jl,58
PowerSystems,get_max_active_power,1,0.0,0.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/models/generated/PowerLoad.jl,104
JuMP.Containers,getindex,3,1.0,0.6666666666666666,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/JuMP/Xrr7O/src/Containers/DenseAxisArray.jl,19
GLPK,get,4,1.0,1.0,4,0,0,264,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/GLPK/EIflT/src/MOI_wrapper/MOI_wrapper.jl,1246
PowerSystems,get_bus,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/models/generated/GenericBattery.jl,117
PowerSimulations,decode_symbol,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/utils.jl,448
InfrastructureSystems,#get_time_series_array#157,24,0.0,0.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/InfrastructureSystems/8EVMR/src/component.jl,211
MathOptInterface.Bridges.Constraint,supports_constraint,4,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Bridges/Constraint/functionize.jl,25
SparseArrays,getindex,1,1.0,1.0,1,0,0,98,/build/source/usr/share/julia/stdlib/v1.5/SparseArrays/src/sparsevector.jl,779
ParameterJuMP,_getdual,1,1.0,1.0,1,0,0,127,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/ParameterJuMP/ToUfY/src/constraints.jl,247
PowerSimulations,_make_initial_condition_area_control,2,1.0,1.0,2,0,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/core/update_initial_conditions.jl,444
PowerModels,constraint_voltage_angle_difference,2,0.0,0.0,1,0,0,823,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerModels/qg4ZV/src/form/act.jl,81
MathOptInterface.FileFormats.MOF,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/FileFormats/MOF/MOF.jl,1
PowerSystems,get_available,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/models/generated/GenericBattery.jl,115
PowerSystems,get_efficiency,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/models/generated/GenericBattery.jl,133
PowerSystems,get_time_series_container,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/models/generated/TapTransformer.jl,115
ParameterJuMP,sync,1,1.0,1.0,1,0,0,168,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/ParameterJuMP/ToUfY/src/ParameterJuMP.jl,336
MathOptInterface.Bridges.Variable,supports_constrained_variable,2,1.0,0.5,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Bridges/Variable/rsoc_to_psd.jl,70
PowerSimulations,add_constraints!,237,0.02531645569620253,0.0,2,0,0,259,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/devices_models/devices/common/device_range_constraints.jl,75
PowerSystems,check_endpoint_voltages,2,1.0,0.0,1,0,0,765,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/utils/IO/branchdata_checks.jl,153
PowerModels,constraint_theta_ref,2,0.0,0.0,1,0,0,307,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerModels/qg4ZV/src/form/wr.jl,490
PowerSimulations,construct_device!,2,1.0,0.5,1,0,0,361,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/devices_models/device_constructors/hydrogeneration_constructor.jl,187
PowerSimulations,add_variable!,12,1.0,0.0,1,0,0,1422,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/devices_models/devices/common/add_variable.jl,110
PowerSimulations,get_branches_to_pm,1,0.0,0.0,1,0,0,1274,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/devices_models/devices/common/pm_translator.jl,143
InfrastructureSystems,make_uuid,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/InfrastructureSystems/8EVMR/src/internal.jl,124
MathOptInterface.Utilities,is_valid,16,0.8125,0.6875,2,0,0,199,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,136
InfrastructureSystems,#unregister_recorder!#3,1,0.0,0.0,1,0,0,791,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/InfrastructureSystems/8EVMR/src/utils/recorder_events.jl,120
PowerModels,constraint_voltage_magnitude_difference,3,0.0,0.0,1,0,0,1456,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerModels/qg4ZV/src/form/bf.jl,63
MathOptInterface.Bridges.Objective,set_objective_function_type,1,0.0,0.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Bridges/Objective/functionize.jl,34
PowerSystems,get_operation_cost,1,0.0,0.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/models/generated/ThermalStandard.jl,143
DataFrames,getindex,3,0.0,0.0,1,0,0,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/DataFrames/3mEXm/src/subdataframe/subdataframe.jl,174
PowerSimulations,add_slacks!,1,1.0,1.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/network_models/network_slack_variables.jl,38
PowerSimulations,_check_cache_defination,5,1.0,0.4,1,0,0,315,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/core/simulation_sequence.jl,167
MathOptInterface,constant,16,0.5,0.5,9,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/functions.jl,389
PowerSystems,check_component_removal,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/base.jl,1302
InfrastructureModels,InitializeInfrastructureModel,18,0.9444444444444444,0.9444444444444444,18,0,0,121,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/InfrastructureModels/SUXMd/src/core/base.jl,43
PowerSystems,get_ext,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/models/generated/Bus.jl,118
PowerSystems,get_services,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/models/generated/MonitoredLine.jl,119
TimeSeries,replace_dupes!,1,1.0,1.0,1,0,0,500,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/TimeSeries/46v9w/src/utilities.jl,114
MathOptInterface.Bridges,objective_functionize_bridge,4,0.0,0.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Bridges/lazy_bridge_optimizer.jl,505
PowerSystems,#parse_matpower#255,3,1.0,0.3333333333333333,1,0,0,151,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSystems/r86iN/src/parsers/pm_io/matpower.jl,8
MutableArithmetics,promote_operation_fallback,35,0.7714285714285715,0.7714285714285715,4,0,0,78,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MutableArithmetics/8xkW3/src/interface.jl,37
MathOptInterface.Utilities,operate_output_index!,2,0.0,0.0,2,0,0,109,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Utilities/functions.jl,1866
MathOptInterface.Utilities,substitute_variables,8,0.0,0.0,1,0,0,625,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Utilities/functions.jl,346
PowerSimulations,_get_ref_reservoir_energy,2,0.0,0.0,2,0,0,111,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/core/update_initial_conditions.jl,524
MathOptInterface.Bridges,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Bridges/Bridges.jl,1
MathOptInterface.Utilities,get,4,1.0,1.0,1,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,328
PowerModels,#variable_buspair_voltage_product_magnitude#881,1,1.0,0.0,1,0,0,685,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerModels/qg4ZV/src/form/wr.jl,360
PowerSimulations,_check_feedforward_chronologies,1,1.0,0.0,1,0,0,255,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/core/simulation.jl,364
MathOptInterface.Utilities,shift_constant,7,0.42857142857142855,0.42857142857142855,6,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/MathOptInterface/YDdD3/src/Utilities/sets.jl,38
Dates,tons,1,1.0,1.0,1,0,0,55,/build/source/usr/share/julia/stdlib/v1.5/Dates/src/periods.jl,465
PowerSimulations,get_execution_count,3,1.0,0.3333333333333333,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/core/simulation_stages.jl,158
PowerSimulations,_jump_value,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/PowerSimulations/IxVK1/src/utils.jl,142
InfrastructureSystems,get_interval,1,0.0,0.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/PowerSimulations/depot/packages/InfrastructureSystems/8EVMR/src/generated/ProbabilisticMetadata.jl,68
