modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
ProgressBars,postfix_repr,true,false,0,1,String,NamedTuple,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,202
ProgressBars,set_multiline_postfix,true,true,3,1,String,"ProgressBar,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,194
ProgressBars,#set_postfix#5,true,true,0,1,"NamedTuple{(:Loss,),Tuple{String}}","Base.Iterators.Pairs{Symbol,String,Tuple{Symbol},NamedTuple{(:Loss,),Tuple{String}}},typeof(set_postfix),ProgressBar",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,190
ProgressBars,go_to_start_of_line,true,true,0,1,Nothing,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,210
ProgressBars,clear_progress,true,true,3,1,Nothing,ProgressBar,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,176
ProgressBars,display_progress,true,false,28,1,Nothing,ProgressBar,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,104
ProgressBars,format_time,true,false,53,2,String,Float64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,88
ProgressBars,make_space_after_progress_bar,true,true,0,1,Nothing,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,206
ProgressBars,set_description,true,true,0,1,String,"ProgressBar,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,186
ProgressBars,newline_to_spaces,true,false,6,1,"Union{Missing, Regex, String}","AbstractString,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,217
ProgressBars,newline_to_spaces,true,true,6,1,String,"String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,217
ProgressBars,move_up_1_line,true,true,0,1,Nothing,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,208
ProgressBars,move_down_1_line,true,true,0,1,Nothing,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,209
ProgressBars,postfix_repr,true,true,0,1,String,"NamedTuple{(),Tuple{}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,202
ProgressBars,postfix_repr,true,true,0,1,String,"NamedTuple{(:Loss,),Tuple{String}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,202
ProgressBars,erase_to_end_of_line,true,true,0,1,Nothing,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,207
ProgressBars,erase_line,true,true,0,1,Nothing,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ProgressBars/depot/packages/ProgressBars/sJYzw/src/ProgressBars.jl,211
