modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
QuantEcon,bellman_operator!,true,true,0,1,"Tuple{Array{Float64,1},Array{UInt16,1}}","DiscreteDP{Float64,2,1,Float64,Int64,SparseMatrixCSC{Float64,Int64}},Array{Float64,1},Array{Float64,1},Array{UInt16,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/ddp.jl,321
QuantEcon,compute_greedy!,true,true,0,1,"Array{Int64,1}","DiscreteDP{Rational{BigInt},3,2,Rational{BigInt},Int64,Array{Rational{BigInt},3}},QuantEcon.DPSolveResult{VFI,Rational{BigInt}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/ddp.jl,409
QuantEcon,compute_greedy!,true,true,0,1,"Array{Int64,1}","DiscreteDP{Rational{BigInt},3,2,Rational{BigInt},Int64,Array{Rational{BigInt},3}},QuantEcon.DPSolveResult{PFI,Rational{BigInt}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/ddp.jl,409
QuantEcon,#solve_discrete_riccati#62,false,false,9,1,Any,"Float64,Int64,typeof(solve_discrete_riccati),Any,Any,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/matrix_eqn.jl,103
QuantEcon,check_stochastic_matrix,true,true,1,2,Bool,"SparseMatrixCSC{Int64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/mc_tools.jl,17
QuantEcon,s_wise_max!,true,true,8,1,"Tuple{Array{Float32,1},Array{UInt16,1}}","Array{Int64,1},Array{Int64,1},Array{Float64,1},Array{Float32,1},Array{UInt16,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/ddp.jl,725
QuantEcon,var_quadratic_sum,true,false,0,1,Float64,"Float64,Float64,Float64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/quadsums.jl,43
QuantEcon,ckron,true,true,0,1,"Array{Float64,1}","Vararg{Array{Float64,1},N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/util.jl,24
QuantEcon,n_states,true,true,0,1,Int64,"MarkovChain{Float64,SparseMatrixCSC{Float64,Int64},Array{Int8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/mc_tools.jl,61
QuantEcon,#simulate#36,true,true,0,1,"Array{Float64,1}","Int64,typeof(simulate),MarkovChain{Float64,SparseMatrixCSC{Float64,Int64},Array{Float64,1}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/mc_tools.jl,364
QuantEcon,#LQ#53,true,false,4,1,QuantEcon.LQ,"Float64,Nothing,Array{Float64,2},Type{QuantEcon.LQ},Float64,Array{Float64,2},Array{Float64,2},Adjoint{Float64,Array{Float64,2}},Adjoint{Float64,Array{Float64,2}},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/lqcontrol.jl,117
QuantEcon,discrete_approximation,false,false,14,1,"Tuple{Any,Array{Float64,1},Array{Float64,1}}","Array{Float64,1},QuantEcon.var""#17#22""{_A,Array{Float64,1},Int64,Int64} where _A,Array{Float64,1},AbstractArray{T,1} where T,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/markov_approx.jl,721
QuantEcon,n_states,true,true,0,1,Int64,"MarkovChain{Float64,Array{Float64,2},Array{Int32,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantEcon/depot/packages/QuantEcon/vVeHL/src/markov/mc_tools.jl,61
