modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
QuantLib,get_a,5,1.0,0.4,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/models/short_rate/short_rate.jl,85
QuantLib.Time,easter_date,1,1.0,1.0,1,0,0,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/time/BusinessCalendar.jl,86
QuantLib,EURCurrency,1,1.0,1.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/currencies/currencies.jl,126
QuantLib,perform_calculations!,3,1.0,1.0,3,0,0,96,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/instruments/Instruments.jl,21
QuantLib,step_back!,1,1.0,0.0,1,0,0,600,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/methods/bsm_lattice.jl,37
QuantLib.Time,is_holiday,2,0.5,0.5,2,0,0,94,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/time/BusinessCalendar.jl,147
QuantLib,calibrate!,1,1.0,1.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/models/short_rate/short_rate.jl,112
QuantLib,mandatory_times,1,1.0,1.0,1,0,0,291,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/pricing_engines/bond/discretized_bond.jl,58
QuantLib.Time,is_business_day,7,1.0,0.8571428571428571,1,0,0,133,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/time/BusinessCalendar.jl,125
QuantLib,fixing,3,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/indexes/indexes.jl,85
QuantLib,get_reset_dates,3,1.0,0.6666666666666666,1,0,0,372,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/cash_flows/fixed_rate_coupon.jl,117
QuantLib,get_size,1,1.0,0.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/methods/finite_differences/fd_operator.jl,524
QuantLib,probability,1,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/methods/lattice.jl,350
QuantLib.Math,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/math/Math.jl,2
QuantLib,get_reset_dates,1,1.0,0.0,1,0,0,372,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/cash_flows/cash_flows.jl,111
QuantLib,partial_rollback!,6,1.0,0.6666666666666666,6,0,0,938,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/methods/lattice.jl,286
QuantLib,maturity_date,1,1.0,1.0,1,0,0,229,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/cash_flows/cash_flows.jl,445
QuantLib,tree,2,0.5,0.5,2,0,0,1381,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/models/short_rate/one_factor/hull_white.jl,42
QuantLib.Math,sample!,1,1.0,1.0,1,0,0,84,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/math/sampled_curve.jl,17
QuantLib,accrual_start_date,9,0.8888888888888888,0.6666666666666666,2,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/cash_flows/cash_flows.jl,17
QuantLib.Time,value,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/time/Frequency.jl,26
QuantLib,clone,3,0.6666666666666666,0.6666666666666666,3,0,0,347,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/instruments/swaption.jl,80
QuantLib.Time,adjust,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/time/BusinessCalendar.jl,412
QuantLib,B,1,1.0,1.0,1,0,0,81,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/models/short_rate/two_factor.jl,117
QuantLib,apply,1,1.0,0.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/methods/finite_differences/fd_operator.jl,522
QuantLib,build_swaption,1,0.0,0.0,1,0,0,1118,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/QuantLib/depot/packages/QuantLib/9xmul/src/models/calibration_helpers.jl,201
