modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
RData,readitem,9,0.0,0.0,1,0,0,184,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/readers.jl,337
CodecBzip2,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecBzip2/OJtW8/src/CodecBzip2.jl,1
RData,getattr,5,0.0,0.0,1,0,0,92,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,260
RData,decompress,1,0.0,0.0,1,0,0,337,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/decompression.jl,27
RData,readint32,5,1.0,0.8,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/io/ASCIIIO.jl,10
CodecXz,lzmaerror,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecXz/8cXQf/src/liblzma.jl,68
RData,jlvec,1,0.0,0.0,1,0,0,1724,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/convert.jl,95
RData,readint32,5,1.0,0.8,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/io/XDRIO.jl,11
CodecXz,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecXz/8cXQf/src/CodecXz.jl,1
CodecBzip2,bzalloc,1,1.0,1.0,1,0,0,89,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecBzip2/OJtW8/src/libbzip2.jl,24
CodecXz,code,1,1.0,1.0,1,0,0,134,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecXz/8cXQf/src/liblzma.jl,92
RData,isna_float64,1,1.0,1.0,1,0,0,111,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/config.jl,24
RData,readuint32,5,1.0,0.8,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/io/ASCIIIO.jl,11
FileIO,load,1,0.0,0.0,1,1,1,89,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/FileIO/JA3Vl/src/loadsave.jl,116
RData,#fileio_load#19,5,1.0,0.0,1,0,0,2194,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/RData.jl,51
RData,getjuliatz,2,0.0,0.0,1,0,0,146,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/convert.jl,210
RData,readinteger,4,1.0,1.0,1,0,0,149,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/readers.jl,26
RData,fileio_load,1,0.0,0.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/RData.jl,90
RData,hastag,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,76
RData,hasattr,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,75
RData,makeidentifier,1,1.0,1.0,1,0,0,854,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/identifier.jl,16
RData,identifier,1,1.0,1.0,1,0,0,192,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/identifier.jl,8
RData,sexp2julia,1,0.0,0.0,1,0,0,980,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/convert.jl,185
RData,sexp2julia,1,0.0,0.0,1,0,0,94,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/convert.jl,198
RData,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/RData.jl,1
RData,getdata,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,257
RData,decompressor_stream,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/decompression.jl,15
RData,unwrap,1,0.0,0.0,1,0,0,2108,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,285
RData,getattr,3,0.0,0.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,259
CodecBzip2,decompress_init!,1,1.0,1.0,1,0,0,318,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecBzip2/OJtW8/src/libbzip2.jl,121
RData,isdataframe,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,275
RData,isna,1,1.0,1.0,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/convert.jl,21
RData,inherits,3,1.0,0.6666666666666666,1,0,0,90,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,272
RData,decompressor_stream,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/decompression.jl,18
RData,class,5,1.0,0.6,1,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,266
CodecXz,free,1,1.0,1.0,1,0,0,105,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecXz/8cXQf/src/liblzma.jl,100
RData,sxtype,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/sxtypes.jl,77
RData,readitem,9,0.0,0.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/readers.jl,347
RData,fileio_load,5,1.0,0.8,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/RData.jl,51
RData,r2juliatz,1,0.0,0.0,1,0,0,733,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/convert.jl,223
RData,readsymbol,4,1.0,1.0,1,0,0,126,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/RData/DJqWu/src/readers.jl,67
CodecXz,stream_decoder,2,1.0,0.5,1,0,0,158,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecXz/8cXQf/src/liblzma.jl,84
CodecBzip2,#Bzip2Decompressor#3,2,1.0,0.5,1,0,0,156,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecBzip2/OJtW8/src/decompression.jl,24
CodecXz,#XzDecompressorStream#4,1,1.0,1.0,1,0,0,291,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RData/depot/packages/CodecXz/8cXQf/src/decompression.jl,41
