modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Reactive,runaction,true,true,0,1,Int64,"Reactive.var""#46#47""{var""#72#79"",Signal{Int64},Tuple{Signal{Array{Int64,1}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,313
Reactive,set_value!,true,true,0,1,"Array{Float64,2}","Signal{Any},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,217
Reactive,activate!,true,true,1,2,Bool,WeakRef,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,321
Reactive,connect_merge,true,true,0,1,"Reactive.var""#merge_action#54""{Signal{Any}}","Signal{Any},Signal{Int64},Signal{Array{Float64,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,168
Reactive,connect_foldp,false,false,0,1,"Reactive.var""#46#47""{_A,Signal{Int64},Tuple{Signal{Array{Int64,1}}}} where _A","Function,Int64,Signal{Int64},Tuple{Signal{Array{Int64,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,126
Reactive,runaction,true,true,0,1,Int64,"Reactive.var""#33#34""{var""#56#58"",Signal{Int64},Tuple{Signal{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,313
Reactive,#sampleon#48,true,true,0,1,Signal{Int64},"String,typeof(sampleon),Signal{Bool},Signal{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,138
Reactive,connect_map,false,false,0,1,"Reactive.var""#33#34""{_A,_B,Tuple{Signal{Int64},Signal{Any}}} where _B where _A","Function,Signal{_A} where _A,Signal{Int64},Signal{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,39
Reactive,#foreach#37,true,false,1,1,Signal{Nothing},"Base.Iterators.Pairs{Symbol,Union{Nothing, String},Tuple{Symbol,Symbol},NamedTuple{(:init, :name),Tuple{Nothing,String}}},typeof(foreach),Reactive.var""#do_throttle#127""{Float64,Reactive.var""#97#105"",Bool,Bool,_A} where _A,Signal{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,53
Reactive,debounce,true,false,0,1,"Signal{Array{Int64,1}}","Int64,Signal{Int64},Function,Array{Int64,1},Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/time.jl,18
Reactive,#fpswhen#134,true,true,0,1,Signal{Float64},"String,typeof(fpswhen),Signal{Bool},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/time.jl,112
Reactive,#bindmap!#66,true,false,8,2,Nothing,"Bool,typeof(bindmap!),Signal{Int64},Function,Signal{Int64},Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,341
Reactive,#filter#38,true,true,2,1,Signal{Int64},"String,typeof(filter),var""#6#22"",Int64,Signal{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,62
Reactive,#merge#51,true,false,0,1,Signal{Int64},"String,typeof(merge),Signal{Int64},Signal{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,159
Reactive,#Signal#6,true,true,0,1,Signal{Int64},"String,Type{Signal},Type{Int64},Int64,NTuple{4,Signal{Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,75
Reactive,#Signal#6,true,true,0,1,Signal{Any},"String,Type{Signal},Type{Any},Int64,Tuple{Signal{Signal{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,75
Reactive,auto_name!,true,true,4,1,String,"String,Signal{Int64},Signal{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,92
Markdown,push!,true,true,0,1,"Array{Any,1}","Markdown.MD,Markdown.Code",/build/source/usr/share/julia/stdlib/v1.5/Markdown/src/parse/parse.jl,23
Reactive,#Signal#6,false,false,0,1,Signal{_A} where _A,"String,Type{Signal},Type{T} where T,Nothing,Tuple{Signal{Any}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,75
Reactive,print_error,true,false,0,1,Nothing,"Signal{Array{Int64,1}},Array{Int64,1},Any,CapturedException",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,385
Reactive,#Signal#6,true,true,0,1,"Signal{Array{Int64,1}}","String,Type{Signal},Type{Array{Int64,1}},Array{Int64,1},Tuple{Signal{Array{Int64,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,75
Reactive,unbind!,true,false,8,3,Nothing,"Signal{Any},Signal,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,402
Reactive,connect_map,true,true,0,1,"Reactive.var""#33#34""{Reactive.var""#do_throttle#127""{Float64,Reactive.var""#114#122"",Bool,Bool,Reactive.var""#dopush#126""{Signal{Any},Reactive.var""#115#123""}},Signal{Nothing},Tuple{Signal{Any}}}","Reactive.var""#do_throttle#127""{Float64,Reactive.var""#114#122"",Bool,Bool,Reactive.var""#dopush#126""{Signal{Any},Reactive.var""#115#123""}},Signal{Nothing},Signal{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,39
Reactive,filterwhen,true,true,0,1,Signal{Int64},"Signal{Bool},Int64,Signal{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,94
Reactive,map,false,false,0,1,Signal{_A} where _A,"Function,Signal{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/operators.jl,29
Reactive,close,true,false,3,1,Nothing,"Signal{Nothing},Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,210
Reactive,runaction,true,true,0,1,Int64,"Reactive.var""#33#34""{var""#59#62"",Signal{Int64},Tuple{Signal{Int64}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Reactive/depot/packages/Reactive/g1LZ6/src/core.jl,313
