modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
ReadStat,read_data_file,true,true,0,1,ReadStatDataFrame,"String,Val{:dta}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,291
ReadStat,readstat_variable_get_type,true,true,0,1,Int32,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,34
ReadStat,readstat_value_is_missing,true,true,0,1,Bool,"ReadStat.ReadStatValue,Ptr{Nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,22
ReadStat,readstat_parse,true,true,0,1,Int64,"String,Val{:sas7bdat},Ptr{Nothing},ReadStatDataFrame",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,70
ReadStat,readstat_variable_get_index,true,true,0,1,Int32,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,26
ReadStat,readstat_variable_get_measure,true,true,0,1,Int32,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,42
ReadStat,handle_variable!,true,false,2,1,Int32,"Int32,Ptr{Nothing},Cstring,Ptr{ReadStatDataFrame}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,142
ReadStat,get_format,true,true,1,2,String,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,112
ReadStat,read_data_file,true,true,0,1,ReadStatDataFrame,"String,Val{:sav}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,291
ReadStat,readstat_get_file_label,true,true,1,2,String,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,1
ReadStat,readfield!,true,true,0,1,Nothing,"DataValueArray{Int16,1},Int64,ReadStat.ReadStatValue",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,266
ReadStat,read_sas7bdat,true,true,0,1,ReadStatDataFrame,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,325
ReadStat,handle_metadata!,true,false,0,1,Int32,"Ptr{Nothing},Ptr{ReadStatDataFrame}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,95
ReadStat,Parser,true,true,0,1,Ptr{Nothing},,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,302
ReadStat,get_alignment,true,true,0,1,Int32,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,140
ReadStat,readfield!,true,true,0,1,Nothing,"DataValueArray{Float32,1},Int64,ReadStat.ReadStatValue",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,278
ReadStat,readstat_variable_get_missing_ranges_count,true,true,0,1,Int32,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,74
ReadStat,get_storagewidth,true,true,0,1,UInt64,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,136
ReadStat,handle_value!,true,false,28,1,Int32,"Int32,Ptr{Nothing},ReadStat.ReadStatValue,Ptr{ReadStatDataFrame}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,181
ReadStat,readfield!,true,true,0,1,Nothing,"DataValueArray{Int32,1},Int64,ReadStat.ReadStatValue",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,270
ReadStat,readstat_get_file_format_version,true,true,0,1,UInt64,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,10
ReadStat,readstat_parse,true,true,0,1,Int64,"String,Val{:sav},Ptr{Nothing},ReadStatDataFrame",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,62
ReadStat,get_label,true,true,1,2,String,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,107
ReadStat,readfield!,true,true,0,1,Nothing,"DataValueArray{Int8,1},Int64,ReadStat.ReadStatValue",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,262
ReadStat,readfield!,true,true,0,1,Nothing,"DataValueArray{Float64,1},Int64,ReadStat.ReadStatValue",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,274
ReadStat,readstat_get_modified_time,true,true,0,1,UInt64,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,6
ReadStat,parse_data_file!,true,true,1,1,Bool,"ReadStatDataFrame,Ptr{Nothing},String,Val{:sav}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,316
ReadStat,read_dta,true,true,0,1,ReadStatDataFrame,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,322
ReadStat,get_type,false,false,6,7,Type,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,117
ReadStat,handle_info!,true,false,0,1,Int32,"Int32,Int32,Ptr{ReadStatDataFrame}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,88
ReadStat,readstat_variable_get_name,true,true,0,1,String,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,30
ReadStat,read_sav,true,true,0,1,ReadStatDataFrame,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,323
ReadStat,parse_data_file!,true,true,1,1,Bool,"ReadStatDataFrame,Ptr{Nothing},String,Val{:dta}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,316
ReadStat,get_measure,true,true,0,1,Int32,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,138
ReadStat,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,1
ReadStat,parse_data_file!,true,true,1,1,Bool,"ReadStatDataFrame,Ptr{Nothing},String,Val{:sas7bdat}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,316
ReadStat,readfield!,true,true,1,2,Nothing,"DataValueArray{String,1},Int64,ReadStat.ReadStatValue",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,255
ReadStat,get_type,false,false,0,1,DataType,ReadStat.ReadStatValue,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,165
ReadStat,get_name,true,true,0,1,Symbol,Ptr{Nothing},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,105
ReadStat,readstat_parse,true,true,0,1,Int64,"String,Val{:dta},Ptr{Nothing},ReadStatDataFrame",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/C_interface.jl,58
ReadStat,as_native,false,false,0,1,Any,ReadStat.ReadStatValue,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReadStat/depot/packages/ReadStat/tO99v/src/ReadStat.jl,179
