modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Rebugger,breakpoint_style,true,true,0,1,Char,"JuliaInterpreter.FrameCode,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/printing.jl,223
Rebugger,#method_capture_from_callee#9,true,true,1,1,"Union{Nothing, UUID}","Bool,typeof(Rebugger.method_capture_from_callee),Method,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/debug.jl,424
Rebugger,capture_stacktrace!,true,false,8,2,"Union{Nothing, Array{UUID,1}}","Rebugger.var""#3#4""{Module,Expr},Array{UUID,1},Array{Method,1},Array{Expr,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/debug.jl,230
Rebugger,findline,true,false,7,3,"Union{Nothing, LineNumberNode}","Expr,typeof(Base.Iterators.reverse)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/debug.jl,69
Rebugger,refresh,true,false,1,0,Union{},"Nothing,Int64,Tuple{Array{T,N} where T where N,Union{Int32, Int64},Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/ui.jl,351
Rebugger,breakpoint_action,true,false,14,1,Nothing,"typeof(remove),Frame",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/ui.jl,373
Rebugger,_safe_deepcopy,true,true,0,1,Tuple{Tuple{}},"Rebugger.WrappedIdDict,Tuple{}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/deepcopy.jl,18
Rebugger,_safe_deepcopy,false,false,0,1,"Tuple{Int64,Any}","Rebugger.WrappedIdDict,Int64,Base.Iterators.Pairs{Symbol,Bool,Tuple{Symbol},NamedTuple{(:passthrough,),Tuple{Bool}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/deepcopy.jl,18
Rebugger,safe_deepcopy,false,false,0,1,"Tuple{Any,Any}","Array{Int64,1},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/deepcopy.jl,13
Rebugger,findline,true,false,7,3,"Union{Nothing, LineNumberNode}","Expr,typeof(identity)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/debug.jl,69
Rebugger,add_history,true,false,0,1,Nothing,"Any,AbstractString",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/ui.jl,183
Rebugger,safe_deepcopy,false,false,0,1,"Tuple{Float64,Any,Vararg{Any,N} where N}","Float64,Array{Float64,2},Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/deepcopy.jl,13
Rebugger,eval_noinfo,false,false,0,1,Any,"Module,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/debug.jl,659
Rebugger,get_rebugger_modeswitch_dict,true,true,3,1,"Dict{Any,Any}",,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/ui.jl,488
Rebugger,header,false,false,0,1,AbstractHeader,HeaderREPL,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/ui.jl,43
Rebugger,_safe_deepcopy,false,false,0,1,Tuple{Any},"Rebugger.WrappedIdDict,Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1},Nothing,typeof(*),Tuple{Array{Int64,1},Array{Int64,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/deepcopy.jl,18
Rebugger,header,true,true,0,1,Rebugger.InterpretHeader,HeaderREPL{Rebugger.InterpretHeader},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Rebugger/depot/packages/Rebugger/ApBeQ/src/ui.jl,43
