modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Recommendation,check_build_status,11,1.0,1.0,1,0,0,97,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/base_recommender.jl,6
Recommendation,count_true_positive,2,1.0,0.5,1,0,0,237,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/base.jl,18
Recommendation,isbuilt,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/threshold_percentage.jl,23
Recommendation,build!,1,1.0,0.0,1,0,0,287,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/most_popular.jl,21
Recommendation,#build!#1,1,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/base_recommender.jl,14
Recommendation,measure,1,1.0,0.0,1,0,0,360,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/ranking.jl,174
Recommendation,set_user_attribute,2,1.0,1.0,2,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/data_accessor.jl,45
Recommendation,create_matrix,1,1.0,1.0,1,0,0,427,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/data_accessor.jl,32
Recommendation,isbuilt,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/item_knn.jl,41
Recommendation,predict,1,0.0,0.0,1,0,0,117,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/mf.jl,76
Recommendation,build!,1,1.0,0.0,1,0,0,322,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/item_mean.jl,20
Recommendation,measure,1,1.0,0.0,1,0,0,319,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/ranking.jl,151
Recommendation,ranking,1,0.0,0.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/most_popular.jl,29
Recommendation,build!,1,1.0,0.0,1,0,0,491,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/co_occurrence.jl,25
Recommendation,measure,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/ranking.jl,151
Recommendation,build!,1,1.0,0.0,1,0,0,380,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/threshold_percentage.jl,25
Recommendation,recommend,9,1.0,0.0,1,0,0,362,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/base_recommender.jl,18
Recommendation,validate_size,3,0.0,0.0,1,0,0,365,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/evaluation/evaluate.jl,3
Recommendation,isfilled,4,1.0,0.5,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/utils.jl,17
Recommendation,measure,1,1.0,1.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/ranking.jl,40
Recommendation,predict,1,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/base_recommender.jl,27
Recommendation,isbuilt,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/svd.jl,31
Recommendation,set_item_attribute,1,1.0,1.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/data_accessor.jl,49
Recommendation,predict,1,0.0,0.0,1,0,0,1104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/user_knn.jl,71
Recommendation,measure,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/ranking.jl,91
Recommendation,isbuilt,1,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/user_knn.jl,44
Recommendation,ranking,6,0.16666666666666666,0.16666666666666666,2,0,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/base_recommender.jl,32
Recommendation,predict,1,0.0,0.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/user_mean.jl,29
Recommendation,evaluate,1,0.0,0.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/evaluation/evaluate.jl,16
Recommendation,build!,1,1.0,1.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/base_recommender.jl,14
Recommendation,evaluate,1,0.0,0.0,1,0,0,568,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/evaluation/evaluate.jl,16
Recommendation,measure,1,1.0,1.0,1,0,0,364,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/ranking.jl,91
Recommendation,build!,1,0.0,0.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/mf.jl,38
Recommendation,ranking,1,0.0,0.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/co_occurrence.jl,38
Recommendation,build!,1,1.0,0.0,1,0,0,325,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/user_mean.jl,20
Recommendation,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/Recommendation.jl,1
Recommendation,#build!#9,1,0.0,0.0,1,0,0,1313,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/mf.jl,38
Recommendation,isbuilt,1,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/user_mean.jl,18
Recommendation,build!,1,0.0,0.0,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/item_knn.jl,43
Recommendation,ranking,1,0.0,0.0,1,0,0,79,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/baseline/threshold_percentage.jl,34
Recommendation,measure,1,0.0,0.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/ranking.jl,123
Recommendation,evaluate,3,0.0,0.0,1,0,0,686,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/evaluation/evaluate.jl,35
Recommendation,build!,1,1.0,0.0,1,0,0,901,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/model/user_knn.jl,46
Recommendation,measure,1,1.0,0.0,1,0,0,364,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Recommendation/depot/packages/Recommendation/0bXIK/src/metric/ranking.jl,61
