modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ReinforcementLearningCore,#QBasedPolicy#136,2,0.5,0.5,2,0,0,53,util.jl,448
ReinforcementLearningBase,extract_name,1,0.0,0.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,59
ReinforcementLearningBase,extract_name,1,0.0,0.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,51
ReinforcementLearningBase,is_body_missing,1,1.0,1.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,63
ReinforcementLearningZoo,#BasicDQNLearner#51,2,0.5,0.5,2,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningZoo/M308M/src/algorithms/dqns/basic_dqn.jl,43
ReinforcementLearningBase,extract_name,1,0.0,0.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,53
ReinforcementLearningBase,extract_name,1,0.0,0.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,52
ReinforcementLearningEnvironments,reward,1,1.0,1.0,1,0,0,80,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningEnvironments/xB2IU/src/environments/examples/CartPoleEnv.jl,95
ReinforcementLearningBase,@multi_agent_env_api,1,1.0,0.0,1,4,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,19
LoopVectorization,copyto!,1,1.0,1.0,1,0,0,95,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/LoopVectorization/s8Gx6/src/constructors.jl,13
ReinforcementLearningCore,#DoEveryNEpisode#171,1,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/core/hooks.jl,270
ReinforcementLearningCore,#_#114,3,0.6666666666666666,0.6666666666666666,3,0,1,163,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/policies/q_based_policies/learners/approximators/neural_network_approximator.jl,23
ReinforcementLearningCore,check,1,1.0,1.0,1,0,0,897,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/policies/q_based_policies/q_based_policy.jl,66
ReinforcementLearningCore,consecutive_view,5,0.8,0.8,5,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/utils/base.jl,111
ReinforcementLearningCore,device,3,1.0,0.6666666666666666,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/utils/device.jl,25
CommonRLInterface.Wrappers,@forward_to_wrapped,1,1.0,0.0,1,4,0,202,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/CommonRLInterface/aRBRq/src/wrappers.jl,42
ReinforcementLearningCore,update!,3,1.0,1.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/policies/q_based_policies/learners/abstract_learner.jl,22
ReinforcementLearningBase,extract_name,1,0.0,0.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,48
ReinforcementLearningCore,check,2,1.0,1.0,1,0,0,36,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/core/run.jl,14
ReinforcementLearningEnvironments,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningEnvironments/xB2IU/src/ReinforcementLearningEnvironments.jl,1
AbstractTrees,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/AbstractTrees/oHb1F/src/AbstractTrees.jl,7
ReinforcementLearningCore,check,1,1.0,1.0,1,0,0,156,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/policies/agents/agent.jl,26
ReinforcementLearningCore,update!,1,1.0,1.0,1,0,0,183,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/policies/agents/agent.jl,95
ReinforcementLearningCore,get_ϵ,1,1.0,1.0,1,0,0,83,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/policies/q_based_policies/explorers/epsilon_greedy_explorer.jl,98
ReinforcementLearningBase,ActionStyle,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/interface.jl,323
LinearAlgebra,copyto!,2,1.0,1.0,2,0,0,184,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/matmul.jl,607
ReinforcementLearningEnvironments,__init__,1,0.0,0.0,1,0,0,508,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningEnvironments/xB2IU/src/ReinforcementLearningEnvironments.jl,19
CommonRLInterface.Wrappers,@quick_forward,1,1.0,0.0,1,4,0,1114,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/CommonRLInterface/aRBRq/src/quick_wrapper.jl,32
ReinforcementLearningBase,extract_name,1,0.0,0.0,1,0,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,54
ReinforcementLearningBase,interfacem,1,1.0,0.0,1,0,0,490,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningBase/PGdVt/src/inline_export.jl,23
ReinforcementLearningCore,update!,4,1.0,1.0,1,0,0,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/policies/q_based_policies/q_based_policy.jl,57
ReinforcementLearningEnvironments,action_space,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningEnvironments/xB2IU/src/environments/examples/CartPoleEnv.jl,84
StableRNGs,seed!,1,1.0,0.0,1,0,0,236,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/StableRNGs/uwZ1I/src/StableRNGs.jl,39
ReinforcementLearningBase,reset!,1,1.0,0.0,1,0,0,42,none,0
ReinforcementLearningCore,device,1,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/ReinforcementLearningCore/NWrFY/src/utils/device.jl,27
ReinforcementLearningCore,device,1,0.0,0.0,1,0,1,87,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/MacroTools/gME9C/src/examples/forward.jl,17
Flux,glorot_uniform,1,1.0,1.0,1,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/Flux/goUGu/src/utils.jl,67
ReinforcementLearningCore,#getindex#50,2,0.0,0.0,1,0,1,178,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ReinforcementLearning/depot/packages/MacroTools/gME9C/src/examples/forward.jl,17
