modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ResumableFunctions,transform_arg,7,0.14285714285714285,0.0,7,0,0,533,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,77
ResumableFunctions,@resumable,1,1.0,0.0,1,0,0,3484,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/macro.jl,25
ResumableFunctions,_is_yield,1,1.0,1.0,1,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,199
ResumableFunctions,transform_slots_let,1,1.0,0.0,1,0,0,754,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,48
ResumableFunctions,transform_let,5,0.6,0.6,4,0,0,240,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,63
ResumableFunctions,_is_yield,6,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,197
ResumableFunctions,remove_catch_exc,6,0.8333333333333334,0.0,6,0,0,449,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/utils.jl,70
ResumableFunctions,transform_for,6,0.16666666666666666,0.0,6,0,0,844,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,13
ResumableFunctions,transform_yield,7,0.8571428571428571,0.7142857142857143,7,0,0,463,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,168
ResumableFunctions,hasreturnvalue,6,0.8333333333333334,0.0,6,0,0,895,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/utils.jl,100
ResumableFunctions,get_param_name,2,1.0,0.0,1,0,0,504,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/utils.jl,4
ResumableFunctions,get_slots,1,1.0,0.0,1,0,0,1789,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/utils.jl,32
ResumableFunctions,make_arg_any,6,0.8333333333333334,0.0,6,0,0,332,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/utils.jl,78
ResumableFunctions,transform_try,7,0.0,0.0,1,0,0,1946,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,135
ResumableFunctions,transform_nosave,8,0.125,0.0,8,0,0,320,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,4
ResumableFunctions,transform_exc,7,0.8571428571428571,0.7142857142857143,7,0,0,298,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,95
ResumableFunctions,transform_yield,6,0.6666666666666666,0.6666666666666666,5,0,0,233,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,186
ResumableFunctions,transform_slots,6,0.8333333333333334,0.6666666666666666,6,0,0,629,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/transforms.jl,34
ResumableFunctions,get_args,1,1.0,0.0,1,0,0,803,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/utils.jl,12
ResumableFunctions,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ResumableFunctions/depot/packages/ResumableFunctions/I2udB/src/ResumableFunctions.jl,4
